title,university,form,link,category
Buddhism and Modern Psychology,Princeton University,course,https://www.coursera.org/learn/science-of-meditation,arts-and-humanities/history
Fashion as Design,The Museum of Modern Art,course,https://www.coursera.org/learn/fashion-design,arts-and-humanities/history
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,course,https://www.coursera.org/learn/painting,arts-and-humanities/history
English Composition I,Duke University,course,https://www.coursera.org/learn/english-composition,arts-and-humanities/history
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,course,https://www.coursera.org/learn/modern-world,arts-and-humanities/history
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,course,https://www.coursera.org/learn/introancientegypt,arts-and-humanities/history
Roman Architecture,Yale University,course,https://www.coursera.org/learn/roman-architecture,arts-and-humanities/history
Indigenous Canada,University of Alberta,course,https://www.coursera.org/learn/indigenous-canada,arts-and-humanities/history
Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,course,https://www.coursera.org/learn/plato,arts-and-humanities/history
Egiptología (Egyptology),Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/egypt,arts-and-humanities/history
Global Diplomacy – Diplomacy in the Modern World,University of London,course,https://www.coursera.org/learn/global-diplomacy,arts-and-humanities/history
Magic in the Middle Ages,Universitat de Barcelona,course,https://www.coursera.org/learn/magic-middle-ages,arts-and-humanities/history
Understanding Einstein: The Special Theory of Relativity,Stanford University,course,https://www.coursera.org/learn/einstein-relativity,arts-and-humanities/history
Mountains 101,University of Alberta,course,https://www.coursera.org/learn/mountains-101,arts-and-humanities/history
Modern & Contemporary American Poetry (“ModPo”),University of Pennsylvania,course,https://www.coursera.org/learn/modpo,arts-and-humanities/history
Healing with the Arts,University of Florida,course,https://www.coursera.org/learn/healing-with-the-arts,arts-and-humanities/history
Age of Cathedrals,Yale University,course,https://www.coursera.org/learn/age-of-cathedrals,arts-and-humanities/history
Introduction to English Common Law,University of London,course,https://www.coursera.org/learn/intro-common-law,arts-and-humanities/history
Feminism and Social Justice,"University of California, Santa Cruz",course,https://www.coursera.org/learn/feminism-social-justice,arts-and-humanities/history
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,course,https://www.coursera.org/learn/terrorism,arts-and-humanities/history
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),Yale University,course,https://www.coursera.org/learn/western-christianity-200-1650,arts-and-humanities/history
The Ancient Greeks,Wesleyan University,course,https://www.coursera.org/learn/ancient-greeks,arts-and-humanities/history
Wonders of Ancient Egypt,University of Pennsylvania,course,https://www.coursera.org/learn/wonders-ancient-egypt,arts-and-humanities/history
Tesoros de la Física y sus Descubridores I,Universidad de los Andes,course,https://www.coursera.org/learn/tesoros-de-la-fisica,arts-and-humanities/history
Ideas from the History of Graphic Design,California Institute of the Arts,course,https://www.coursera.org/learn/graphic-design-history,arts-and-humanities/history
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",Tel Aviv University,course,https://www.coursera.org/learn/holocaust-introduction-1,arts-and-humanities/history
Russian History: from Lenin to Putin,"University of California, Santa Cruz",course,https://www.coursera.org/learn/russian-history-lenin-putin,arts-and-humanities/history
"The Modern World, Part Two: Global History since 1910",University of Virginia,course,https://www.coursera.org/learn/modern-world-2,arts-and-humanities/history
The Music of the Beatles,University of Rochester,course,https://www.coursera.org/learn/the-beatles,arts-and-humanities/history
Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,course,https://www.coursera.org/learn/melodic-forms-simple-harmony,arts-and-humanities/history
Graphic Design Elements for Non-Designers,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/graphic-design-elements-non-designers,arts-and-humanities/history
Big History: Connecting Knowledge,Macquarie University,course,https://www.coursera.org/learn/big-history,arts-and-humanities/history
"History of Rock, Part One",University of Rochester,course,https://www.coursera.org/learn/history-of-rock,arts-and-humanities/history
"Gabriel García Márquez entre el poder, la historia y el amor",Universidad de los Andes,course,https://www.coursera.org/learn/gabriel-garcia-marquez-poder-historia-amor,arts-and-humanities/history
América Latina en los cambios internacionales: amenazas y oportunidades.,Universidad de Chile,course,https://www.coursera.org/learn/america-latina,arts-and-humanities/history
Речевой этикет: вежливость и коммуникативные стратегии,National Research University Higher School of Economics,course,https://www.coursera.org/learn/rechevoj-etiket,arts-and-humanities/history
Archaeoastronomy,Politecnico di Milano,course,https://www.coursera.org/learn/archaeoastronomy,arts-and-humanities/history
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,course,https://www.coursera.org/learn/aristotle,arts-and-humanities/history
"Søren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",University of Copenhagen,course,https://www.coursera.org/learn/kierkegaard,arts-and-humanities/history
