title,university,form,link,category
Modern Art & Ideas,The Museum of Modern Art,course,https://www.coursera.org/learn/modern-art-ideas,arts-and-humanities/music-and-art
Seeing Through Photographs,The Museum of Modern Art,course,https://www.coursera.org/learn/photography,arts-and-humanities/music-and-art
Fashion as Design,The Museum of Modern Art,course,https://www.coursera.org/learn/fashion-design,arts-and-humanities/music-and-art
What Is Contemporary Art?,The Museum of Modern Art,course,https://www.coursera.org/learn/contemporary-art,arts-and-humanities/music-and-art
Graphic Design,California Institute of the Arts,specialization,https://www.coursera.org/specializations/graphic-design,arts-and-humanities/music-and-art
Introduction to Classical Music,Yale University,course,https://www.coursera.org/learn/introclassicalmusic,arts-and-humanities/music-and-art
Fundamentals of Graphic Design,California Institute of the Arts,course,https://www.coursera.org/learn/fundamentals-of-graphic-design,arts-and-humanities/music-and-art
Guitar for Beginners,Berklee College of Music,course,https://www.coursera.org/learn/guitar,arts-and-humanities/music-and-art
Fundamentals of Music Theory,The University of Edinburgh,course,https://www.coursera.org/learn/edinburgh-music-theory,arts-and-humanities/music-and-art
UI / UX Design,California Institute of the Arts,specialization,https://www.coursera.org/specializations/ui-ux-design,arts-and-humanities/music-and-art
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,course,https://www.coursera.org/learn/painting,arts-and-humanities/music-and-art
Visual Elements of User Interface Design,California Institute of the Arts,course,https://www.coursera.org/learn/visual-elements-user-interface-design,arts-and-humanities/music-and-art
Creative Writing,Wesleyan University,specialization,https://www.coursera.org/specializations/creative-writing,arts-and-humanities/music-and-art
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,specialization,https://www.coursera.org/specializations/photography-basics,arts-and-humanities/music-and-art
The DIY Musician,Berklee College of Music,specialization,https://www.coursera.org/specializations/diy-musician,arts-and-humanities/music-and-art
Основы фотографии,Novosibirsk State University,course,https://www.coursera.org/learn/photo,arts-and-humanities/music-and-art
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,course,https://www.coursera.org/learn/human-language,arts-and-humanities/music-and-art
Getting Started With Music Theory,Michigan State University,course,https://www.coursera.org/learn/music-theory,arts-and-humanities/music-and-art
Write Your First Novel,Michigan State University,course,https://www.coursera.org/learn/write-your-first-novel,arts-and-humanities/music-and-art
Creative Writing: The Craft of Plot,Wesleyan University,course,https://www.coursera.org/learn/craft-of-plot,arts-and-humanities/music-and-art
"Cameras, Exposure, and Photography",Michigan State University,course,https://www.coursera.org/learn/exposure-photography,arts-and-humanities/music-and-art
Electronic Music Production,Berklee College of Music,specialization,https://www.coursera.org/specializations/electronic-music-production,arts-and-humanities/music-and-art
Music Production,Berklee College of Music,specialization,https://www.coursera.org/specializations/music-production,arts-and-humanities/music-and-art
Making Architecture,IE Business School,course,https://www.coursera.org/learn/making-architecture,arts-and-humanities/music-and-art
The Business of Music Production,Berklee College of Music,specialization,https://www.coursera.org/specializations/business-music-production,arts-and-humanities/music-and-art
Guitar Scales and Chord Progressions,Berklee College of Music,course,https://www.coursera.org/learn/guitar-scales-chord-progressions,arts-and-humanities/music-and-art
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,course,https://www.coursera.org/learn/art-activity,arts-and-humanities/music-and-art
Modern & Contemporary American Poetry (“ModPo”),University of Pennsylvania,course,https://www.coursera.org/learn/modpo,arts-and-humanities/music-and-art
Art & Ideas: Teaching with Themes,The Museum of Modern Art,course,https://www.coursera.org/learn/ideas,arts-and-humanities/music-and-art
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,course,https://www.coursera.org/learn/poetry-workshop,arts-and-humanities/music-and-art
Introduction to Typography,California Institute of the Arts,course,https://www.coursera.org/learn/typography,arts-and-humanities/music-and-art
Songwriting: Writing the Lyrics,Berklee College of Music,course,https://www.coursera.org/learn/songwriting-lyrics,arts-and-humanities/music-and-art
Introducción a la guitarra,Berklee College of Music,course,https://www.coursera.org/learn/guitarra,arts-and-humanities/music-and-art
Developing Your Musicianship,Berklee College of Music,specialization,https://www.coursera.org/specializations/musicianship-specialization,arts-and-humanities/music-and-art
UX Design Fundamentals,California Institute of the Arts,course,https://www.coursera.org/learn/ux-design-fundamentals,arts-and-humanities/music-and-art
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),Michigan State University,course,https://www.coursera.org/learn/script-writing,arts-and-humanities/music-and-art
Design and Make Infographics (Project-Centered Course),Michigan State University,course,https://www.coursera.org/learn/infographic-design,arts-and-humanities/music-and-art
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),course,https://www.coursera.org/learn/transmedia-storytelling,arts-and-humanities/music-and-art
Jazz Improvisation,Berklee College of Music,course,https://www.coursera.org/learn/jazz-improvisation,arts-and-humanities/music-and-art
Game Design: Art and Concepts,California Institute of the Arts,specialization,https://www.coursera.org/specializations/game-design,arts-and-humanities/music-and-art
Getting Started with Essay Writing,"University of California, Irvine",course,https://www.coursera.org/learn/getting-started-with-essay-writing,arts-and-humanities/music-and-art
The Language of Design: Form and Meaning,California Institute of the Arts,course,https://www.coursera.org/learn/design-language,arts-and-humanities/music-and-art
The Art of Music Production,Berklee College of Music,course,https://www.coursera.org/learn/producing-music,arts-and-humanities/music-and-art
Write A Feature Length Screenplay For Film Or Television,Michigan State University,course,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,arts-and-humanities/music-and-art
Introduction to Imagemaking,California Institute of the Arts,course,https://www.coursera.org/learn/image-making,arts-and-humanities/music-and-art
Developing Your Musicianship,Berklee College of Music,course,https://www.coursera.org/learn/develop-your-musicianship,arts-and-humanities/music-and-art
Introduction to Ableton Live,Berklee College of Music,course,https://www.coursera.org/learn/ableton-live,arts-and-humanities/music-and-art
The Technology of Music Production,Berklee College of Music,course,https://www.coursera.org/learn/technology-of-music-production,arts-and-humanities/music-and-art
Usos Didácticos del Cine: Introducción al Análisis,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/usos-didacticos-del-cine,arts-and-humanities/music-and-art
The Music of the Beatles,University of Rochester,course,https://www.coursera.org/learn/the-beatles,arts-and-humanities/music-and-art
Music Business,Berklee College of Music,specialization,https://www.coursera.org/specializations/music-business,arts-and-humanities/music-and-art
Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,course,https://www.coursera.org/learn/melodic-forms-simple-harmony,arts-and-humanities/music-and-art
Introduction to Game Design,California Institute of the Arts,course,https://www.coursera.org/learn/game-design,arts-and-humanities/music-and-art
Music and Social Action,Yale University,course,https://www.coursera.org/learn/music-and-social-action,arts-and-humanities/music-and-art
Fashion-иллюстрация: технический рисунок,National Research Tomsk State University,course,https://www.coursera.org/learn/modnaya-illyustratsiya,arts-and-humanities/music-and-art
"History of Rock, Part One",University of Rochester,course,https://www.coursera.org/learn/history-of-rock,arts-and-humanities/music-and-art
Web Design: Strategy and Information Architecture,California Institute of the Arts,course,https://www.coursera.org/learn/web-design-strategy,arts-and-humanities/music-and-art
