title,university,form,link,category
Greek and Roman Mythology,University of Pennsylvania,course,https://www.coursera.org/learn/mythology,arts-and-humanities/philosophy
Introduction to Philosophy,The University of Edinburgh,course,https://www.coursera.org/learn/philosophy,arts-and-humanities/philosophy
Think Again I: How to Understand Arguments,Duke University,course,https://www.coursera.org/learn/understanding-arguments,arts-and-humanities/philosophy
Moral Foundations of Politics,Yale University,course,https://www.coursera.org/learn/moral-politics,arts-and-humanities/philosophy
De-Mystifying Mindfulness,Universiteit Leiden,course,https://www.coursera.org/learn/mindfulness,arts-and-humanities/philosophy
"¿Cómo persuadir? Jugando con palabras, imágenes y números",Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/como-persuadir,arts-and-humanities/philosophy
Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,course,https://www.coursera.org/learn/plato,arts-and-humanities/philosophy
Meditation: A way to achieve your goals in your life,Korea Advanced Institute of Science and Technology(KAIST),course,https://www.coursera.org/learn/self-reflection-meditation,arts-and-humanities/philosophy
Психология сознания (Psychology of consciousness),Saint Petersburg State University,course,https://www.coursera.org/learn/psikhologiya-soznaniya,arts-and-humanities/philosophy
"Social Norms, Social Change I",University of Pennsylvania,course,https://www.coursera.org/learn/norms,arts-and-humanities/philosophy
Pensamiento Científico,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/ciencia,arts-and-humanities/philosophy
Effective Altruism,Princeton University,course,https://www.coursera.org/learn/altruism,arts-and-humanities/philosophy
Основы философии: о чем спорят философы сегодня,National Research University Higher School of Economics,course,https://www.coursera.org/learn/osnovy-filosofii,arts-and-humanities/philosophy
The Modern and the Postmodern (Part 1),Wesleyan University,course,https://www.coursera.org/learn/modern-postmodern-1,arts-and-humanities/philosophy
Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,The University of Edinburgh,course,https://www.coursera.org/learn/know-thyself-the-examined-life,arts-and-humanities/philosophy
Emotions: a Philosophical Introduction,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/emotions,arts-and-humanities/philosophy
Representaciones culturales de las sexualidades,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/representaciones-culturales,arts-and-humanities/philosophy
Philosophy of Science,University of Pennsylvania,course,https://www.coursera.org/learn/philosophy-of-science,arts-and-humanities/philosophy
Music and Social Action,Yale University,course,https://www.coursera.org/learn/music-and-social-action,arts-and-humanities/philosophy
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,The University of Edinburgh,course,https://www.coursera.org/learn/know-thyself-the-unconscious,arts-and-humanities/philosophy
"Gabriel García Márquez entre el poder, la historia y el amor",Universidad de los Andes,course,https://www.coursera.org/learn/gabriel-garcia-marquez-poder-historia-amor,arts-and-humanities/philosophy
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,course,https://www.coursera.org/learn/aristotle,arts-and-humanities/philosophy
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,course,https://www.coursera.org/learn/philosophy-cognitive-sciences,arts-and-humanities/philosophy
"Søren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",University of Copenhagen,course,https://www.coursera.org/learn/kierkegaard,arts-and-humanities/philosophy
"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques",University of Geneva,course,https://www.coursera.org/learn/ethique,arts-and-humanities/philosophy
Humanidades digitales,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/humanidades-digitales,arts-and-humanities/philosophy
"Philosophy, Science and Religion: Science and Philosophy",The University of Edinburgh,course,https://www.coursera.org/learn/philosophy-science-religion-1,arts-and-humanities/philosophy
Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences,The University of Edinburgh,course,https://www.coursera.org/learn/philosophy-physical-sciences,arts-and-humanities/philosophy
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,course,https://www.coursera.org/learn/philosophy-science-religion-2,arts-and-humanities/philosophy
Love as a Force for Social Justice,Stanford University,course,https://www.coursera.org/learn/love-social-justice,arts-and-humanities/philosophy
"Revolutionary Ideas: Utility, Justice, Equality, Freedom",Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/revolutionary-ideas-utility-justice-equality-freedom,arts-and-humanities/philosophy
Психология признания и самозанятости,National Research Tomsk State University,course,https://www.coursera.org/learn/psihologiya-priznaniya-i-samozanyatosti,arts-and-humanities/philosophy
Философия культуры (Philosophy of Culture),National Research University Higher School of Economics,course,https://www.coursera.org/learn/filosofiya-kultury,arts-and-humanities/philosophy
L'avenir de la décision : connaître et agir en complexité,ESSEC Business School,course,https://www.coursera.org/learn/lavenir-de-la-decision,arts-and-humanities/philosophy
Think Again IV: How to Avoid Fallacies,Duke University,course,https://www.coursera.org/learn/logical-fallacies,arts-and-humanities/philosophy
Think Again II: How to Reason Deductively,Duke University,course,https://www.coursera.org/learn/deductive-reasoning,arts-and-humanities/philosophy
Organising an Empire: The Assyrian Way,Ludwig-Maximilians-Universität München (LMU),course,https://www.coursera.org/learn/organising-empire-assyrian-way,arts-and-humanities/philosophy
Think Again III: How to Reason Inductively,Duke University,course,https://www.coursera.org/learn/inductive-reasoning,arts-and-humanities/philosophy
Intellectual Humility: Theory,The University of Edinburgh,course,https://www.coursera.org/learn/intellectual-humility-theory,arts-and-humanities/philosophy
"Social Norms, Social Change II",University of Pennsylvania,course,https://www.coursera.org/learn/change,arts-and-humanities/philosophy
The Modern and the Postmodern (Part 2),Wesleyan University,course,https://www.coursera.org/learn/modern-postmodern-2,arts-and-humanities/philosophy
Violences et religions,University of Geneva,course,https://www.coursera.org/learn/violences-religions,arts-and-humanities/philosophy
Reason and Persuasion: Thinking Through Three Dialogues By Plato,National University of Singapore,course,https://www.coursera.org/learn/plato-dialogues,arts-and-humanities/philosophy
Designing the Future of Work,UNSW Sydney (The University of New South Wales),course,https://www.coursera.org/learn/designing-future-of-work,arts-and-humanities/philosophy
"莊子─姿勢、意識與感情 (Zhuangzi─Posture, Awareness, and Sentiment)",National Taiwan University,course,https://www.coursera.org/learn/zhuangzi,arts-and-humanities/philosophy
"Philosophy, Science and Religion: Religion and Science",The University of Edinburgh,course,https://www.coursera.org/learn/philosophy-science-religion-3,arts-and-humanities/philosophy
The Importance and Power of Music in our Society,Universiteit Leiden,course,https://www.coursera.org/learn/importance-power-music-our-society,arts-and-humanities/philosophy
Moses' Face: Moses' images as reflected in Jewish literature,Hebrew University of Jerusalem,course,https://www.coursera.org/learn/moses,arts-and-humanities/philosophy
Inequality and Democracy,Utrecht University,course,https://www.coursera.org/learn/inequality-and-democracy,arts-and-humanities/philosophy
"Ethics, Technology and Engineering",Eindhoven University of Technology,course,https://www.coursera.org/learn/ethics-technology-engineering,arts-and-humanities/philosophy
Science & Religion 101,University of Alberta,course,https://www.coursera.org/learn/science-and-religion-101,arts-and-humanities/philosophy
"Revolutionary Ideas: Borders, Elections, Constitutions, Prisons",Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/revolutionary-ideas-borders-elections-constitutions-prisons,arts-and-humanities/philosophy
Skepticism,"University of California, Irvine",course,https://www.coursera.org/learn/skepticism,arts-and-humanities/philosophy
活用希臘哲學 (Understanding the Greek Philosophy),National Taiwan University,course,https://www.coursera.org/learn/xila-zhexue,arts-and-humanities/philosophy
How to Change the World,Wesleyan University,course,https://www.coursera.org/learn/world-change,arts-and-humanities/philosophy
莊子─人情 (Zhuangzi─Between People),National Taiwan University,course,https://www.coursera.org/learn/zhuangzi2,arts-and-humanities/philosophy
東亞儒家：人文精神一(East Asian Confucianisms: Humanism (1)),National Taiwan University,course,https://www.coursera.org/learn/east-asian-confucianisms-humanism1,arts-and-humanities/philosophy
Luther and the West,Northwestern University,course,https://www.coursera.org/learn/luther-and-the-west,arts-and-humanities/philosophy
Семантика (Московская семантическая школа и близкие теории),National Research University Higher School of Economics,course,https://www.coursera.org/learn/moscow-semantic-school,arts-and-humanities/philosophy
哲学导论（中文版）,The University of Edinburgh,course,https://www.coursera.org/learn/zhexue-daolun,arts-and-humanities/philosophy
Intellectual Humility: Practice,The University of Edinburgh,course,https://www.coursera.org/learn/intellectual-humility-practice,arts-and-humanities/philosophy
Reasoning Across the Disciplines,The University of North Carolina at Chapel Hill,course,https://www.coursera.org/learn/critical-reasoning,arts-and-humanities/philosophy
Relativism,"University of California, Irvine",course,https://www.coursera.org/learn/relativism,arts-and-humanities/philosophy
Intellectual Humility: Science,The University of Edinburgh,course,https://www.coursera.org/learn/intellectual-humility-science,arts-and-humanities/philosophy
Ecologie Politique: défi de la durabilité pour les démocraties,University of Lausanne,course,https://www.coursera.org/learn/ecologie-politique,arts-and-humanities/philosophy
When Disaster Meets Conflict,Erasmus University Rotterdam,course,https://www.coursera.org/learn/whendisastermeetsconflict,arts-and-humanities/philosophy
The Politics of Skepticism,Erasmus University Rotterdam,course,https://www.coursera.org/learn/erasmus-philosophy-skepticism,arts-and-humanities/philosophy
紅樓夢(The Red Chamber Dream),National Taiwan University,course,https://www.coursera.org/learn/the-red-chamber-dream,arts-and-humanities/philosophy
中国哲学经典著作导读,Xi'an Jiaotong University,course,https://www.coursera.org/learn/chinese-philosophy,arts-and-humanities/philosophy
On Being a Scientist,Universiteit Leiden,course,https://www.coursera.org/learn/scientist,arts-and-humanities/philosophy
Soul Beliefs: Causes and Consequences - Unit 2: Belief Systems,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/soulbeliefs2,arts-and-humanities/philosophy
Мой друг - робот: введение в социальную робототехнику / My Friend is a Robot: Introduction to Social Robotics,National Research Tomsk State University,course,https://www.coursera.org/learn/moy-drug-robot,arts-and-humanities/philosophy
東亞儒家：人文精神二(East Asian Confucianisms: Humanism (2)),National Taiwan University,course,https://www.coursera.org/learn/east-asian-confucianisms-humanism2,arts-and-humanities/philosophy
Re-imaging God in Korean Context,Yonsei University,course,https://www.coursera.org/learn/god-korean-context,arts-and-humanities/philosophy
理解马克思,Nanjing University,course,https://www.coursera.org/learn/ma-ke-si,arts-and-humanities/philosophy
品读道家的智慧,Xi'an Jiaotong University,course,https://www.coursera.org/learn/daojiao,arts-and-humanities/philosophy
Mind of the Universe - Genetic Privacy: should we be concerned?,Universiteit Leiden,course,https://www.coursera.org/learn/mind-of-the-universe-genetic-privacy,arts-and-humanities/philosophy
悖论：思维的魔方,Peking University,course,https://www.coursera.org/learn/bei-lun,arts-and-humanities/philosophy
《新教伦理与资本主义精神》导读,Fudan University,course,https://www.coursera.org/learn/max-weber,arts-and-humanities/philosophy
Mind of the Universe: Science in Progress,Erasmus University Rotterdam,course,https://www.coursera.org/learn/mind-of-the-universe-science-in-progress,arts-and-humanities/philosophy
