title,university,form,link,category
English for Career Development,University of Pennsylvania,course,https://www.coursera.org/learn/careerdevelopment,business/business-essentials
Successful Negotiation: Essential Strategies and Skills,University of Michigan,course,https://www.coursera.org/learn/negotiation-skills,business/business-essentials
Improve Your English Communication Skills,Georgia Institute of Technology,specialization,https://www.coursera.org/specializations/improve-english,business/business-essentials
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,course,https://www.coursera.org/learn/negotiation,business/business-essentials
Business Foundations,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-business-foundations,business/business-essentials
Excel Skills for Business,Macquarie University,specialization,https://www.coursera.org/specializations/excel,business/business-essentials
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,course,https://www.coursera.org/learn/speak-english-professionally,business/business-essentials
Excel Skills for Business: Essentials,Macquarie University,course,https://www.coursera.org/learn/excel-essentials,business/business-essentials
Career Success,"University of California, Irvine",specialization,https://www.coursera.org/specializations/career-success,business/business-essentials
Write Professional Emails in English,Georgia Institute of Technology,course,https://www.coursera.org/learn/professional-emails-english,business/business-essentials
Project Management & Other Tools for Career Development,"University of California, Irvine",specialization,https://www.coursera.org/specializations/project-management-success,business/business-essentials
Business Analytics,University of Pennsylvania,specialization,https://www.coursera.org/specializations/business-analytics,business/business-essentials
Project Management Principles and Practices,"University of California, Irvine",specialization,https://www.coursera.org/specializations/project-management,business/business-essentials
The Strategy of Content Marketing,"University of California, Davis",course,https://www.coursera.org/learn/content-marketing,business/business-essentials
Excel to MySQL: Analytic Techniques for Business,Duke University,specialization,https://www.coursera.org/specializations/excel-mysql,business/business-essentials
Introduction to Financial Accounting,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-accounting,business/business-essentials
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/gestionempresarialpyme,business/business-essentials
Data Analysis and Presentation Skills: the PwC Approach,PwC,specialization,https://www.coursera.org/specializations/pwc-analytics,business/business-essentials
Foundations of Positive Psychology,University of Pennsylvania,specialization,https://www.coursera.org/specializations/positivepsychology,business/business-essentials
Business and Financial Modeling,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,business/business-essentials
Fundamentos de Finanzas Empresariales,Universidad de los Andes,course,https://www.coursera.org/learn/finanzas-empresariales,business/business-essentials
Excel Skills for Business: Intermediate I,Macquarie University,course,https://www.coursera.org/learn/excel-intermediate-1,business/business-essentials
Fundamentals of Project Planning and Management,University of Virginia,course,https://www.coursera.org/learn/uva-darden-project-management,business/business-essentials
Financial Accounting Fundamentals,University of Virginia,course,https://www.coursera.org/learn/uva-darden-financial-accounting,business/business-essentials
Supply Chain Management,Rutgers the State University of New Jersey,specialization,https://www.coursera.org/specializations/supply-chain-management,business/business-essentials
Business Statistics and Analysis,Rice University,specialization,https://www.coursera.org/specializations/business-statistics-analysis,business/business-essentials
Data Visualization with Tableau,"University of California, Davis",specialization,https://www.coursera.org/specializations/data-visualization,business/business-essentials
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity","University of California, Irvine",course,https://www.coursera.org/learn/work-smarter-not-harder,business/business-essentials
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,course,https://www.coursera.org/learn/negociacion,business/business-essentials
Introduction to Web Development,"University of California, Davis",course,https://www.coursera.org/learn/web-development,business/business-essentials
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,business/business-essentials
