title,university,form,link,category
Business Foundations,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-business-foundations,business/business-strategy
AI For Everyone,deeplearning.ai,course,https://www.coursera.org/learn/ai-for-everyone,business/business-strategy
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,business/business-strategy
Design Thinking for Innovation,University of Virginia,course,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,business/business-strategy
Entrepreneurship,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,business/business-strategy
Human Resource Management: HR for People Managers,University of Minnesota,specialization,https://www.coursera.org/specializations/human-resource-management,business/business-strategy
Digital Transformation,BCG,course,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,business/business-strategy
Customer Analytics,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-customer-analytics,business/business-strategy
Supply Chain Management,Rutgers the State University of New Jersey,specialization,https://www.coursera.org/specializations/supply-chain-management,business/business-strategy
Supply Chain Logistics,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/supply-chain-logistics,business/business-strategy
Marketing Gerencial,Universidad de Chile,course,https://www.coursera.org/learn/marketing-gerencial,business/business-strategy
Business Metrics for Data-Driven Companies,Duke University,course,https://www.coursera.org/learn/analytics-business-metrics,business/business-strategy
Organizational Leadership,Northwestern University,specialization,https://www.coursera.org/specializations/organizational-leadership,business/business-strategy
Model Thinking,University of Michigan,course,https://www.coursera.org/learn/model-thinking,business/business-strategy
Introduction to Operations Management,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-operations,business/business-strategy
Costos para los Negocios,Universidad de Chile,course,https://www.coursera.org/learn/costosparanegocios,business/business-strategy
Business Strategy,University of Virginia,specialization,https://www.coursera.org/specializations/business-strategy,business/business-strategy
Construction Project Management,Columbia University,course,https://www.coursera.org/learn/construction-project-management,business/business-strategy
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,course,https://www.coursera.org/learn/advanced-valuation-and-strategy,business/business-strategy
New Models of Business in Society,University of Virginia,course,https://www.coursera.org/learn/uva-darden-business-society,business/business-strategy
Business Technology Management,Indian School of Business,specialization,https://www.coursera.org/specializations/business-technology-managment,business/business-strategy
Sustainable Fashion,Copenhagen Business School,course,https://www.coursera.org/learn/sustainable-fashion,business/business-strategy
Behavioral Finance,Duke University,course,https://www.coursera.org/learn/duke-behavioral-finance,business/business-strategy
Innovation Management,Erasmus University Rotterdam,course,https://www.coursera.org/learn/innovation-management,business/business-strategy
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/innovation-creativity-entrepreneurship,business/business-strategy
Marketing e vendas B2B: Fechando novos negócios,Universidade de São Paulo,course,https://www.coursera.org/learn/marketing-vendas-b2b,business/business-strategy
Branding: The Creative Journey,IE Business School,specialization,https://www.coursera.org/specializations/branding-the-creative-journey,business/business-strategy
Foundations of Business Strategy,University of Virginia,course,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,business/business-strategy
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/gestion-organizaciones-efectivas,business/business-strategy
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,course,https://www.coursera.org/learn/leadership-collaboration,business/business-strategy
Operations Analytics,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-operations-analytics,business/business-strategy
Strategic Management and Innovation,Copenhagen Business School,specialization,https://www.coursera.org/specializations/strategic-management,business/business-strategy
Introdução ao Marketing Analítico,Insper,course,https://www.coursera.org/learn/marketing-analitico,business/business-strategy
Sports Marketing,Northwestern University,course,https://www.coursera.org/learn/sports-marketing,business/business-strategy
Blockchain Revolution,INSEAD,specialization,https://www.coursera.org/specializations/blockchain-revolution-enterprise,business/business-strategy
Strategic Management,Copenhagen Business School,course,https://www.coursera.org/learn/strategic-management,business/business-strategy
Negociación 4.0,Universidad Austral,course,https://www.coursera.org/learn/negociacion-iae,business/business-strategy
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,course,https://www.coursera.org/learn/design-strategy,business/business-strategy
Cybersecurity and Its Ten Domains,University System of Georgia,course,https://www.coursera.org/learn/cyber-security-domain,business/business-strategy
Digital Advertising Strategy,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/digital-advertising-strategy,business/business-strategy
Supply Chain Operations,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/operations,business/business-strategy
Inove na gestão de equipes e negócios: O crescimento da empresa,Universidade de São Paulo,course,https://www.coursera.org/learn/gestao-equipes-negocios,business/business-strategy
Leading: Human Resource Management and Leadership,Macquarie University,specialization,https://www.coursera.org/specializations/hr-management-leadership,business/business-strategy
Market Research,"University of California, Davis",specialization,https://www.coursera.org/specializations/market-research,business/business-strategy
Global Challenges in Business,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/global-challenges-business,business/business-strategy
Intellectual Property Law,University of Pennsylvania,specialization,https://www.coursera.org/specializations/introduction-intellectual-property,business/business-strategy
How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),The State University of New York,course,https://www.coursera.org/learn/skills-management,business/business-strategy
Circular Economy - Sustainable Materials Management,Lund University,course,https://www.coursera.org/learn/circular-economy,business/business-strategy
Gestão de Operações,Insper,course,https://www.coursera.org/learn/gestao-de-operacoes,business/business-strategy
Brand Identity and Strategy,IE Business School,course,https://www.coursera.org/learn/brand-identity-strategy,business/business-strategy
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),specialization,https://www.coursera.org/specializations/competitive-strategy,business/business-strategy
Business Transformation with Google Cloud,Google Cloud,course,https://www.coursera.org/learn/business-transformation-google-cloud,business/business-strategy
Conceitos Básicos de Logística e Supply Chain,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/conceitos-basicos-logistica,business/business-strategy
Leadership Communication for Maximum Impact: Storytelling,Northwestern University,course,https://www.coursera.org/learn/leadership-storytelling,business/business-strategy
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,course,https://www.coursera.org/learn/internetgiants,business/business-strategy
Construction Cost Estimating and Cost Control,Columbia University,course,https://www.coursera.org/learn/construction-cost-estimating,business/business-strategy
Welcome to Game Theory,The University of Tokyo,course,https://www.coursera.org/learn/game-theory-introduction,business/business-strategy
Análisis de Datos para la toma de decisiones,Tecnológico de Monterrey,specialization,https://www.coursera.org/specializations/analisis-datos,business/business-strategy
Pricing Strategy Optimization,University of Virginia,specialization,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy,business/business-strategy
Цифровой маркетинг и социальные сети,Peter the Great St. Petersburg Polytechnic University,course,https://www.coursera.org/learn/cifrovoj-marketing,business/business-strategy
Cybersecurity: Developing a Program for Your Business,University System of Georgia,specialization,https://www.coursera.org/specializations/cybersecurity-developing-program-for-business,business/business-strategy
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,course,https://www.coursera.org/learn/corp-sustainability,business/business-strategy
Strategic Business Analytics,ESSEC Business School,specialization,https://www.coursera.org/specializations/strategic-analytics,business/business-strategy
Digital Transformation in Financial Services,Copenhagen Business School,specialization,https://www.coursera.org/specializations/digital-transformation-financial-services,business/business-strategy
International Business I,University of New Mexico,course,https://www.coursera.org/learn/international-business,business/business-strategy
Supply Chain Planning,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/planning,business/business-strategy
Influencer Marketing Strategy,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/influencer-marketing-strategy,business/business-strategy
Competitive Strategy,Ludwig-Maximilians-Universität München (LMU),course,https://www.coursera.org/learn/competitive-strategy,business/business-strategy
Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),University System of Georgia,course,https://www.coursera.org/learn/business-model-canvas,business/business-strategy
Global Trends for Business and Society,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-global-trends-business,business/business-strategy
Business Model Innovation,HEC Paris,course,https://www.coursera.org/learn/business-model,business/business-strategy
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,specialization,https://www.coursera.org/specializations/fintech,business/business-strategy
Operations Management: Analysis and Improvement Methods,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/operations-management,business/business-strategy
Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),course,https://www.coursera.org/learn/supply-chain-management,business/business-strategy
Formulación y evaluación de proyectos complejos,Universidad de los Andes,course,https://www.coursera.org/learn/formulacion-evaluacion-proyectos-ingenieria,business/business-strategy
Fundamentos Empresariales,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-fundamentos-empresariales,business/business-strategy
Business Strategy,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/strategy-business,business/business-strategy
The fundamentals of hotel distribution,ESSEC Business School,course,https://www.coursera.org/learn/hotel-distribution,business/business-strategy
