title,university,form,link,category
English for Business and Entrepreneurship,University of Pennsylvania,course,https://www.coursera.org/learn/business,business/entrepreneurship
Design Thinking for Innovation,University of Virginia,course,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,business/entrepreneurship
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/gestionempresarialpyme,business/entrepreneurship
Entrepreneurship,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,business/entrepreneurship
"Brand Management: Aligning Business, Brand and Behaviour",University of London,course,https://www.coursera.org/learn/brand,business/entrepreneurship
The DIY Musician,Berklee College of Music,specialization,https://www.coursera.org/specializations/diy-musician,business/entrepreneurship
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/emprendimiento-social-negocios-sustentable-canvas-sociales,business/entrepreneurship
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,course,https://www.coursera.org/learn/how-to-create-a-website,business/entrepreneurship
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,course,https://www.coursera.org/learn/social-innovation,business/entrepreneurship
Design: Creation of Artifacts in Society,University of Pennsylvania,course,https://www.coursera.org/learn/design,business/entrepreneurship
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,course,https://www.coursera.org/learn/ux-ui-design-de-interface,business/entrepreneurship
Criação de Startups: Como desenvolver negócios inovadores,Universidade de São Paulo,course,https://www.coursera.org/learn/criacao-startups,business/entrepreneurship
Desarrollo rápido de productos innovadores para mercados emergentes,Tecnológico de Monterrey,course,https://www.coursera.org/learn/innovacion,business/entrepreneurship
Devenir entrepreneur du changement,HEC Paris,course,https://www.coursera.org/learn/entrepreneur-changement,business/entrepreneurship
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-launching-startup,business/entrepreneurship
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,course,https://www.coursera.org/learn/social-impact,business/entrepreneurship
Consolidando empresas: Estrutura jurídica e financeira,Universidade de São Paulo,course,https://www.coursera.org/learn/consolidando-empresas,business/entrepreneurship
Patrocinio Deportivo,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/patrocinio-deportivo,business/entrepreneurship
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",specialization,https://www.coursera.org/specializations/business-entrepreneurship,business/entrepreneurship
