title,university,form,link,category
Financial Markets,Yale University,course,https://www.coursera.org/learn/financial-markets-global,business/finance
Contabilidad para no contadores,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/contabilidad,business/finance
Finanzas personales,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/finanzas-personales,business/finance
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,business/finance
Financial Engineering and Risk Management Part I,Columbia University,course,https://www.coursera.org/learn/financial-engineering-1,business/finance
Business and Financial Modeling,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,business/finance
Fundamentos de Finanzas Empresariales,Universidad de los Andes,course,https://www.coursera.org/learn/finanzas-empresariales,business/finance
Financial Accounting Fundamentals,University of Virginia,course,https://www.coursera.org/learn/uva-darden-financial-accounting,business/finance
The Global Financial Crisis,Yale University,course,https://www.coursera.org/learn/global-financial-crisis,business/finance
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,business/finance
Personal & Family Financial Planning,University of Florida,course,https://www.coursera.org/learn/family-planning,business/finance
Investment Management,University of Geneva,specialization,https://www.coursera.org/specializations/investment-management,business/finance
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/python-statistics-financial-analysis,business/finance
Marketing Gerencial,Universidad de Chile,course,https://www.coursera.org/learn/marketing-gerencial,business/finance
Private Equity and Venture Capital,Università Bocconi,course,https://www.coursera.org/learn/private-equity,business/finance
Introduction to Corporate Finance,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-finance,business/finance
Financial Management,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/financial-management,business/finance
Trading Strategies in Emerging Markets,Indian School of Business,specialization,https://www.coursera.org/specializations/trading-strategy,business/finance
Финансовые рынки и институты (Financial Markets and Institutions),National Research University Higher School of Economics,course,https://www.coursera.org/learn/finansovye-rynki,business/finance
Finance for Non-Finance Professionals,Rice University,course,https://www.coursera.org/learn/finance-for-non-finance,business/finance
Administração Financeira,Insper,course,https://www.coursera.org/learn/administracao-financeira,business/finance
Understanding Financial Markets,University of Geneva,course,https://www.coursera.org/learn/understanding-financial-markets,business/finance
Trading Basics,Indian School of Business,course,https://www.coursera.org/learn/trading-basics,business/finance
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,specialization,https://www.coursera.org/specializations/finansovyye-instrumenty,business/finance
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,course,https://www.coursera.org/learn/advanced-valuation-and-strategy,business/finance
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/managerial-economics-business-analysis,business/finance
Value Chain Management,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/value-chain-management,business/finance
Machine Learning for Trading,Google Cloud,specialization,https://www.coursera.org/specializations/machine-learning-trading,business/finance
Behavioral Finance,Duke University,course,https://www.coursera.org/learn/duke-behavioral-finance,business/finance
Investment Management with Python and Machine Learning,EDHEC Business School,specialization,https://www.coursera.org/specializations/investment-management-python-machine-learning,business/finance
Financial Markets and Investment Strategy,Indian School of Business,specialization,https://www.coursera.org/specializations/investment-strategy,business/finance
Corporate Finance Essentials,IESE Business School,course,https://www.coursera.org/learn/corporate-finance-essentials,business/finance
Forensic Accounting and Fraud Examination,West Virginia University,course,https://www.coursera.org/learn/forensic-accounting,business/finance
Financial Accounting: Foundations,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/financial-accounting-basics,business/finance
Investment and Portfolio Management,Rice University,specialization,https://www.coursera.org/specializations/investment-portolio-management,business/finance
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,course,https://www.coursera.org/learn/introduction-portfolio-construction-python,business/finance
Управление личными финансами,National Research University Higher School of Economics,course,https://www.coursera.org/learn/upravlenie-lichnymi-finansami,business/finance
Rethinking International Tax Law,Universiteit Leiden,course,https://www.coursera.org/learn/international-taxation,business/finance
"Introduction to Trading, Machine Learning & GCP",Google Cloud,course,https://www.coursera.org/learn/introduction-trading-machine-learning-gcp,business/finance
Introduction to Financial Markets,Indian School of Business,course,https://www.coursera.org/learn/financial-markets-intro,business/finance
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/financial-planning,business/finance
Accounting Analytics,University of Pennsylvania,course,https://www.coursera.org/learn/accounting-analytics,business/finance
Основы корпоративных финансов (Fundamentals of Corporate Finance),National Research University Higher School of Economics,course,https://www.coursera.org/learn/osnovy-korporativnykh-finansov,business/finance
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,course,https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations,business/finance
Global Financial Markets and Instruments,Rice University,course,https://www.coursera.org/learn/global-financial-markets-instruments,business/finance
Finance for Non-Financial Professionals,"University of California, Irvine",course,https://www.coursera.org/learn/finance-for-non-finance-managers,business/finance
