title,university,form,link,category
Project Management & Other Tools for Career Development,"University of California, Irvine",specialization,https://www.coursera.org/specializations/project-management-success,business/leadership-and-management
Achieving Personal and Professional Success,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-success,business/leadership-and-management
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,business/leadership-and-management
Project Management Principles and Practices,"University of California, Irvine",specialization,https://www.coursera.org/specializations/project-management,business/leadership-and-management
Leading People and Teams,University of Michigan,specialization,https://www.coursera.org/specializations/leading-teams,business/leadership-and-management
Initiating and Planning Projects,"University of California, Irvine",course,https://www.coursera.org/learn/project-planning,business/leadership-and-management
Management of Fashion and Luxury Companies,Università Bocconi,course,https://www.coursera.org/learn/mafash,business/leadership-and-management
Creative Problem Solving,University of Minnesota,course,https://www.coursera.org/learn/creative-problem-solving,business/leadership-and-management
Human Resource Management: HR for People Managers,University of Minnesota,specialization,https://www.coursera.org/specializations/human-resource-management,business/leadership-and-management
Fundamentals of Project Planning and Management,University of Virginia,course,https://www.coursera.org/learn/uva-darden-project-management,business/leadership-and-management
Communication Strategies for a Virtual Age,University of Toronto,course,https://www.coursera.org/learn/communication-strategies-virtual-age,business/leadership-and-management
Managing the Company of the Future,University of London,course,https://www.coursera.org/learn/company-future-management,business/leadership-and-management
Digital Transformation,BCG,course,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,business/leadership-and-management
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/strategic-leadership,business/leadership-and-management
The Science of Success: What Researchers Know that You Should Know,University of Michigan,course,https://www.coursera.org/learn/success,business/leadership-and-management
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,course,https://www.coursera.org/learn/teamwork-skills-effective-communication,business/leadership-and-management
Construction Management,Columbia University,specialization,https://www.coursera.org/specializations/construction-management,business/leadership-and-management
Inspiring and Motivating Individuals,University of Michigan,course,https://www.coursera.org/learn/motivate-people-teams,business/leadership-and-management
Applied Machine Learning in Python,University of Michigan,course,https://www.coursera.org/learn/python-machine-learning,business/leadership-and-management
Financial Management,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/financial-management,business/leadership-and-management
Project Management: The Basics for Success,"University of California, Irvine",course,https://www.coursera.org/learn/project-management-basics,business/leadership-and-management
Food & Beverage Management,Università Bocconi,course,https://www.coursera.org/learn/food-beverage-management,business/leadership-and-management
Preparing to Manage Human Resources,University of Minnesota,course,https://www.coursera.org/learn/managing-human-resources,business/leadership-and-management
Organizational Leadership,Northwestern University,specialization,https://www.coursera.org/specializations/organizational-leadership,business/leadership-and-management
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/emprendimiento-social-negocios-sustentable-canvas-sociales,business/leadership-and-management
The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,course,https://www.coursera.org/learn/people-management,business/leadership-and-management
Inspired Leadership,Case Western Reserve University,specialization,https://www.coursera.org/specializations/inspired-leadership,business/leadership-and-management
Claves para Gestionar Personas,IESE Business School,course,https://www.coursera.org/learn/gestionar-personas,business/leadership-and-management
Dynamic Public Speaking,University of Washington,specialization,https://www.coursera.org/specializations/public-speaking,business/leadership-and-management
Digital Product Management: Modern Fundamentals,University of Virginia,course,https://www.coursera.org/learn/uva-darden-digital-product-management,business/leadership-and-management
Introduction to Operations Management,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-operations,business/leadership-and-management
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,course,https://www.coursera.org/learn/neuromarketing,business/leadership-and-management
Construction Project Management,Columbia University,course,https://www.coursera.org/learn/construction-project-management,business/leadership-and-management
Converting Challenges into Opportunities,University of California San Diego,course,https://www.coursera.org/learn/converting-challenges-into-opportunities,business/leadership-and-management
People Analytics,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-people-analytics,business/leadership-and-management
Six Sigma Yellow Belt,University System of Georgia,specialization,https://www.coursera.org/specializations/six-sigma-fundamentals,business/leadership-and-management
"Influencing: Storytelling, Change Management and Governance",Macquarie University,specialization,https://www.coursera.org/specializations/influencing-storytelling-change-management,business/leadership-and-management
Success,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-succcess,business/leadership-and-management
New Models of Business in Society,University of Virginia,course,https://www.coursera.org/learn/uva-darden-business-society,business/leadership-and-management
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/everyday-leadership-foundation,business/leadership-and-management
Value Chain Management,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/value-chain-management,business/leadership-and-management
Claves de la Dirección de Empresas,IESE Business School,specialization,https://www.coursera.org/specializations/direccion-empresas,business/leadership-and-management
Теория Лжи. Профайлинг,National Research Tomsk State University,course,https://www.coursera.org/learn/teoriya-lzhi-profajling,business/leadership-and-management
Business Technology Management,Indian School of Business,specialization,https://www.coursera.org/specializations/business-technology-managment,business/leadership-and-management
Managing Innovation and Design Thinking,HEC Paris,specialization,https://www.coursera.org/specializations/managing-innovation-design-thinking,business/leadership-and-management
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/innovation-creativity-entrepreneurship,business/leadership-and-management
A Crash Course in Data Science,Johns Hopkins University,course,https://www.coursera.org/learn/data-science-course,business/leadership-and-management
Foundations of Management,IESE Business School,specialization,https://www.coursera.org/specializations/foundations-management,business/leadership-and-management
Habilidades Gerenciales,Universidad Nacional Autónoma de México,specialization,https://www.coursera.org/specializations/habilidades,business/leadership-and-management
The Art of Sales: Mastering the Selling Process,Northwestern University,specialization,https://www.coursera.org/specializations/the-art-of-sales-mastering-the-selling-process,business/leadership-and-management
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,course,https://www.coursera.org/learn/recruiting-hiring-onboarding-employees,business/leadership-and-management
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/gestion-organizaciones-efectivas,business/leadership-and-management
