title,university,form,link,category
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-contagious-viral-marketing,business/marketing
Graphic Design,California Institute of the Arts,specialization,https://www.coursera.org/specializations/graphic-design,business/marketing
Digital Marketing,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/digital-marketing,business/marketing
Introduction to Marketing,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-marketing,business/marketing
Marketing Digital,Universidade de São Paulo,course,https://www.coursera.org/learn/estrategia-marketing-digital,business/marketing
Marketing in a Digital World,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/marketing-digital,business/marketing
Marketing Analytics,University of Virginia,course,https://www.coursera.org/learn/uva-darden-market-analytics,business/marketing
The Strategy of Content Marketing,"University of California, Davis",course,https://www.coursera.org/learn/content-marketing,business/marketing
Introduction to Personal Branding,University of Virginia,course,https://www.coursera.org/learn/personal-branding,business/marketing
"Brand Management: Aligning Business, Brand and Behaviour",University of London,course,https://www.coursera.org/learn/brand,business/marketing
Gamification,University of Pennsylvania,course,https://www.coursera.org/learn/gamification,business/marketing
Search Engine Optimization (SEO),"University of California, Davis",specialization,https://www.coursera.org/specializations/seo,business/marketing
Social Media Marketing,Northwestern University,specialization,https://www.coursera.org/specializations/social-media-marketing,business/marketing
Marketing Mix Implementation,IE Business School,specialization,https://www.coursera.org/specializations/marketing-mix,business/marketing
Introduction to Search Engine Optimization,"University of California, Davis",course,https://www.coursera.org/learn/search-engine-optimization,business/marketing
Digital Analytics for Marketing Professionals: Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/marketing-analytics,business/marketing
Marketing Verde,Universidad de los Andes,course,https://www.coursera.org/learn/marketing-verde,business/marketing
What is Social?,Northwestern University,course,https://www.coursera.org/learn/what-is-social,business/marketing
Costos para los Negocios,Universidad de Chile,course,https://www.coursera.org/learn/costosparanegocios,business/marketing
Marketing Strategy,IE Business School,specialization,https://www.coursera.org/specializations/marketing-strategy,business/marketing
Branding: The Creative Journey,IE Business School,specialization,https://www.coursera.org/specializations/branding-the-creative-journey,business/marketing
Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/digital-analytics,business/marketing
Introdução ao Marketing Analítico,Insper,course,https://www.coursera.org/learn/marketing-analitico,business/marketing
Sports Marketing,Northwestern University,course,https://www.coursera.org/learn/sports-marketing,business/marketing
Search Engine Optimization Fundamentals,"University of California, Davis",course,https://www.coursera.org/learn/seo-fundamentals,business/marketing
Market Research and Consumer Behavior,IE Business School,course,https://www.coursera.org/learn/market-research,business/marketing
Marketing con Redes Sociales,Tecnológico de Monterrey,specialization,https://www.coursera.org/specializations/marketing-redes-sociales,business/marketing
Основы Digital Маркетинга,National Research University Higher School of Economics,specialization,https://www.coursera.org/specializations/fundamentals-digital-marketing,business/marketing
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/marketing-plan,business/marketing
Customer Segmentation and Prospecting,Northwestern University,course,https://www.coursera.org/learn/customer-segmentation-prospecting,business/marketing
Brand and Product Management,IE Business School,course,https://www.coursera.org/learn/brand-management,business/marketing
Marketing Digital,Universidad Austral,specialization,https://www.coursera.org/specializations/marketing-digital,business/marketing
"Integrated Marketing Communications: Advertising, Public Relations, Digital Marketing and more",IE Business School,course,https://www.coursera.org/learn/integrated-marketing-communications,business/marketing
"Маркетинг. Часть 1. Основные категории, принципы и подходы",Peter the Great St. Petersburg Polytechnic University,course,https://www.coursera.org/learn/marketing-printsipy,business/marketing
Strategic Innovation: Building and Sustaining Innovative Organizations,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/strategic-innovation-building-and-sustaining-innovative-organizations,business/marketing
Digital Advertising Strategy,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/digital-advertising-strategy,business/marketing
Market Research,"University of California, Davis",specialization,https://www.coursera.org/specializations/market-research,business/marketing
Presentation skills: Speechwriting and Storytelling,National Research Tomsk State University,course,https://www.coursera.org/learn/speechwriting,business/marketing
Patrocinio Deportivo,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/patrocinio-deportivo,business/marketing
Introducción a las redes sociales. Sus objetivos y métricas.,Tecnológico de Monterrey,course,https://www.coursera.org/learn/intro-redes-sociales,business/marketing
Цифровой SMM-проект: виртуальная платформа для бизнес-коммуникаций,National Research Tomsk State University,specialization,https://www.coursera.org/specializations/digital-smm,business/marketing
Маркетинговая стратегия в digital среде (Digital marketing strategy),National Research University Higher School of Economics,course,https://www.coursera.org/learn/digital-marketing-strategy,business/marketing
Arts and Heritage Management,Università Bocconi,course,https://www.coursera.org/learn/arts-heritage,business/marketing
Brand Identity and Strategy,IE Business School,course,https://www.coursera.org/learn/brand-identity-strategy,business/marketing
"Основы SMM: тренды, аудитории, платформы",National Research Tomsk State University,course,https://www.coursera.org/learn/tsu-smm-osnovy,business/marketing
Pricing Strategy Optimization,University of Virginia,specialization,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy,business/marketing
Цифровой маркетинг и социальные сети,Peter the Great St. Petersburg Polytechnic University,course,https://www.coursera.org/learn/cifrovoj-marketing,business/marketing
