title,university,form,link,category
Deep Learning,deeplearning.ai,specialization,https://www.coursera.org/specializations/deep-learning,computer-science/algorithms
Neural Networks and Deep Learning,deeplearning.ai,course,https://www.coursera.org/learn/neural-networks-deep-learning,computer-science/algorithms
"Algorithms, Part I",Princeton University,course,https://www.coursera.org/learn/algorithms-part1,computer-science/algorithms
IBM Applied AI,IBM,not specified,https://www.coursera.org/specializations/applied-artifical-intelligence-ibm-watson-ai,computer-science/algorithms
IBM AI Engineering,IBM,not specified,https://www.coursera.org/specializations/ai-engineer,computer-science/algorithms
Machine Learning with Python,IBM,course,https://www.coursera.org/learn/machine-learning-with-python,computer-science/algorithms
Data Structures and Algorithms,University of California San Diego,specialization,https://www.coursera.org/specializations/data-structures-algorithms,computer-science/algorithms
Convolutional Neural Networks,deeplearning.ai,course,https://www.coursera.org/learn/convolutional-neural-networks,computer-science/algorithms
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,course,https://www.coursera.org/learn/deep-neural-network,computer-science/algorithms
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/aprendiendo-programar-python,computer-science/algorithms
Основы программирования на Python,National Research University Higher School of Economics,course,https://www.coursera.org/learn/python-osnovy-programmirovaniya,computer-science/algorithms
Algorithmic Toolbox,University of California San Diego,course,https://www.coursera.org/learn/algorithmic-toolbox,computer-science/algorithms
Sequence Models,deeplearning.ai,course,https://www.coursera.org/learn/nlp-sequence-models,computer-science/algorithms
Algorithms,Stanford University,specialization,https://www.coursera.org/specializations/algorithms,computer-science/algorithms
AI Foundations for Everyone,IBM,specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,computer-science/algorithms
Introduction to Programming in C,Duke University,specialization,https://www.coursera.org/specializations/c-programming,computer-science/algorithms
Introduction to Artificial Intelligence (AI),IBM,course,https://www.coursera.org/learn/introduction-to-ai,computer-science/algorithms
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,course,https://www.coursera.org/learn/algorithms-divide-conquer,computer-science/algorithms
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r,computer-science/algorithms
Programming Fundamentals,Duke University,course,https://www.coursera.org/learn/programming-fundamentals,computer-science/algorithms
Digital Signal Processing,École Polytechnique Fédérale de Lausanne,course,https://www.coursera.org/learn/dsp,computer-science/algorithms
Computer Science: Programming with a Purpose,Princeton University,course,https://www.coursera.org/learn/cs-programming-java,computer-science/algorithms
Data Structures,University of California San Diego,course,https://www.coursera.org/learn/data-structures,computer-science/algorithms
Fundamentals of Computing,Rice University,specialization,https://www.coursera.org/specializations/computer-fundamentals,computer-science/algorithms
"Algorithms, Part II",Princeton University,course,https://www.coursera.org/learn/algorithms-part2,computer-science/algorithms
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,computer-science/algorithms
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,course,https://www.coursera.org/learn/build-a-computer,computer-science/algorithms
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,specialization,https://www.coursera.org/specializations/discrete-mathematics,computer-science/algorithms
Reinforcement Learning,University of Alberta,specialization,https://www.coursera.org/specializations/reinforcement-learning,computer-science/algorithms
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,course,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,computer-science/algorithms
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/cs-fundamentals,computer-science/algorithms
An Introduction to Interactive Programming in Python (Part 1),Rice University,course,https://www.coursera.org/learn/interactive-python-1,computer-science/algorithms
Fundamentals of Reinforcement Learning,University of Alberta,course,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,computer-science/algorithms
Bioinformatics,University of California San Diego,specialization,https://www.coursera.org/specializations/bioinformatics,computer-science/algorithms
Computer Vision Basics,University at Buffalo,course,https://www.coursera.org/learn/computer-vision-basics,computer-science/algorithms
Introducción a la Minería de Datos,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/mineria-de-datos-introduccion,computer-science/algorithms
Computational Thinking for Problem Solving,University of Pennsylvania,course,https://www.coursera.org/learn/computational-thinking-problem-solving,computer-science/algorithms
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,course,https://www.coursera.org/learn/multivariate-calculus-machine-learning,computer-science/algorithms
Fundamentals of Digital Image and Video Processing,Northwestern University,course,https://www.coursera.org/learn/digital,computer-science/algorithms
Mathematical Thinking in Computer Science,University of California San Diego,course,https://www.coursera.org/learn/what-is-a-proof,computer-science/algorithms
Finding Hidden Messages in DNA (Bioinformatics I),University of California San Diego,course,https://www.coursera.org/learn/dna-analysis,computer-science/algorithms
Introduction to Genomic Technologies,Johns Hopkins University,course,https://www.coursera.org/learn/introduction-genomics,computer-science/algorithms
Building Arduino robots and devices,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/arduino,computer-science/algorithms
SAS Programmer,SAS,not specified,https://www.coursera.org/specializations/sas-programming,computer-science/algorithms
Competitive Programmer's Core Skills,Saint Petersburg State University,course,https://www.coursera.org/learn/competitive-programming-core-skills,computer-science/algorithms
"Cloud Computing Concepts, Part 1",University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/cloud-computing,computer-science/algorithms
Deep Neural Networks with PyTorch,IBM,course,https://www.coursera.org/learn/deep-neural-networks-with-pytorch,computer-science/algorithms
Getting Started with SAS Programming,SAS,course,https://www.coursera.org/learn/sas-programming-basics,computer-science/algorithms
Discrete Optimization,The University of Melbourne,course,https://www.coursera.org/learn/discrete-optimization,computer-science/algorithms
Algorithms for Battery Management Systems,University of Colorado System,specialization,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,computer-science/algorithms
Probabilistic Graphical Models,Stanford University,specialization,https://www.coursera.org/specializations/probabilistic-graphical-models,computer-science/algorithms
Developing AI Applications on Azure,LearnQuest,course,https://www.coursera.org/learn/developing-ai-applications-azure,computer-science/algorithms
Getting Started with AI using IBM Watson,IBM,course,https://www.coursera.org/learn/ai-with-ibm-watson,computer-science/algorithms
Scalable Machine Learning on Big Data using Apache Spark,IBM,course,https://www.coursera.org/learn/machine-learning-big-data-apache-spark,computer-science/algorithms
