title,university,form,link,category
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,specialization,https://www.coursera.org/specializations/web-design,computer-science/design-and-product
Fundamentals of Graphic Design,California Institute of the Arts,course,https://www.coursera.org/learn/fundamentals-of-graphic-design,computer-science/design-and-product
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,course,https://www.coursera.org/learn/html-css-javascript-for-web-developers,computer-science/design-and-product
UI / UX Design,California Institute of the Arts,specialization,https://www.coursera.org/specializations/ui-ux-design,computer-science/design-and-product
Web Applications for Everybody,University of Michigan,specialization,https://www.coursera.org/specializations/web-applications,computer-science/design-and-product
Gamification,University of Pennsylvania,course,https://www.coursera.org/learn/gamification,computer-science/design-and-product
Visual Elements of User Interface Design,California Institute of the Arts,course,https://www.coursera.org/learn/visual-elements-user-interface-design,computer-science/design-and-product
Introduction to the Internet of Things and Embedded Systems,"University of California, Irvine",course,https://www.coursera.org/learn/iot,computer-science/design-and-product
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,course,https://www.coursera.org/learn/python-plotting,computer-science/design-and-product
Software Product Management,University of Alberta,specialization,https://www.coursera.org/specializations/product-management,computer-science/design-and-product
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,computer-science/design-and-product
Introduction to User Experience Design,Georgia Institute of Technology,course,https://www.coursera.org/learn/user-experience-design,computer-science/design-and-product
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,course,https://www.coursera.org/learn/autodesk-autocad-design-drafting,computer-science/design-and-product
Computer Architecture,Princeton University,course,https://www.coursera.org/learn/comparch,computer-science/design-and-product
Растровая графика. Adobe Photoshop CC,Peter the Great St. Petersburg Polytechnic University,course,https://www.coursera.org/learn/rastrovaya-grafika-adobe-photoshop,computer-science/design-and-product
Agile Development,University of Virginia,specialization,https://www.coursera.org/specializations/agile-development,computer-science/design-and-product
Building Web Applications in PHP,University of Michigan,course,https://www.coursera.org/learn/web-applications-php,computer-science/design-and-product
Interaction Design,University of California San Diego,specialization,https://www.coursera.org/specializations/interaction-design,computer-science/design-and-product
Introduction to Typography,California Institute of the Arts,course,https://www.coursera.org/learn/typography,computer-science/design-and-product
Introduction to Self-Driving Cars,University of Toronto,course,https://www.coursera.org/learn/intro-self-driving-cars,computer-science/design-and-product
Game Design and Development,Michigan State University,specialization,https://www.coursera.org/specializations/game-development,computer-science/design-and-product
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,course,https://www.coursera.org/learn/ux-ui-design-de-interface,computer-science/design-and-product
Introduction to Structured Query Language (SQL),University of Michigan,course,https://www.coursera.org/learn/intro-sql,computer-science/design-and-product
CAD and Digital Manufacturing,Autodesk,specialization,https://www.coursera.org/specializations/cad-design-digital-manufacturing,computer-science/design-and-product
User Experience Research and Design,University of Michigan,specialization,https://www.coursera.org/specializations/michiganux,computer-science/design-and-product
