title,university,form,link,category
Developing Applications with Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/developing-apps-gcp,computer-science/mobile-and-web-development
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,specialization,https://www.coursera.org/specializations/web-design,computer-science/mobile-and-web-development
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,course,https://www.coursera.org/learn/introduction-tensorflow,computer-science/mobile-and-web-development
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,specialization,https://www.coursera.org/specializations/full-stack-react,computer-science/mobile-and-web-development
Introduction to HTML5,University of Michigan,course,https://www.coursera.org/learn/html,computer-science/mobile-and-web-development
Ruby on Rails Web Development,Johns Hopkins University,specialization,https://www.coursera.org/specializations/ruby-on-rails,computer-science/mobile-and-web-development
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,specialization,https://www.coursera.org/specializations/full-stack-mobile-app-development,computer-science/mobile-and-web-development
Build Your First Android App (Project-Centered Course),CentraleSupélec,course,https://www.coursera.org/learn/android-app,computer-science/mobile-and-web-development
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,course,https://www.coursera.org/learn/html-css-javascript-for-web-developers,computer-science/mobile-and-web-development
"Programming Foundations with JavaScript, HTML and CSS",Duke University,course,https://www.coursera.org/learn/duke-programming-web,computer-science/mobile-and-web-development
Web Applications for Everybody,University of Michigan,specialization,https://www.coursera.org/specializations/web-applications,computer-science/mobile-and-web-development
Introduction to CSS3,University of Michigan,course,https://www.coursera.org/learn/introcss,computer-science/mobile-and-web-development
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/bootstrap-4,computer-science/mobile-and-web-development
Introduction to Web Development,"University of California, Davis",course,https://www.coursera.org/learn/web-development,computer-science/mobile-and-web-development
Программирование на Python,Moscow Institute of Physics and Technology,specialization,https://www.coursera.org/specializations/programming-in-python,computer-science/mobile-and-web-development
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,course,https://www.coursera.org/learn/how-to-create-a-website,computer-science/mobile-and-web-development
Android App Development,Vanderbilt University,specialization,https://www.coursera.org/specializations/android-app-development,computer-science/mobile-and-web-development
Front-End Web Development with React,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/front-end-react,computer-science/mobile-and-web-development
Interactivity with JavaScript,University of Michigan,course,https://www.coursera.org/learn/javascript,computer-science/mobile-and-web-development
Responsive Website Development and Design,University of London,specialization,https://www.coursera.org/specializations/website-development,computer-science/mobile-and-web-development
Software Development Lifecycle,University of Minnesota,specialization,https://www.coursera.org/specializations/software-development-lifecycle,computer-science/mobile-and-web-development
"Programming Languages, Part A",University of Washington,course,https://www.coursera.org/learn/programming-languages,computer-science/mobile-and-web-development
Java for Android,Vanderbilt University,course,https://www.coursera.org/learn/java-for-android,computer-science/mobile-and-web-development
Building Web Applications in PHP,University of Michigan,course,https://www.coursera.org/learn/web-applications-php,computer-science/mobile-and-web-development
Game Design and Development,Michigan State University,specialization,https://www.coursera.org/specializations/game-development,computer-science/mobile-and-web-development
Introduction to Structured Query Language (SQL),University of Michigan,course,https://www.coursera.org/learn/intro-sql,computer-science/mobile-and-web-development
Погружение в Python,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/diving-in-python,computer-science/mobile-and-web-development
"Responsive Website Basics: Code with HTML, CSS, and JavaScript",University of London,course,https://www.coursera.org/learn/website-coding,computer-science/mobile-and-web-development
