title,university,form,link,category
Python for Everybody,University of Michigan,specialization,https://www.coursera.org/specializations/python,computer-science/software-development
Programming for Everybody (Getting Started with Python),University of Michigan,course,https://www.coursera.org/learn/python,computer-science/software-development
"Algorithms, Part I",Princeton University,course,https://www.coursera.org/learn/algorithms-part1,computer-science/software-development
Applied Data Science,IBM,specialization,https://www.coursera.org/specializations/applied-data-science,computer-science/software-development
Developing Applications with Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/developing-apps-gcp,computer-science/software-development
Applied Data Science with Python,University of Michigan,specialization,https://www.coursera.org/specializations/data-science-python,computer-science/software-development
Python Data Structures,University of Michigan,course,https://www.coursera.org/learn/python-data,computer-science/software-development
Introduction to Data Science in Python,University of Michigan,course,https://www.coursera.org/learn/python-data-analysis,computer-science/software-development
TensorFlow in Practice,deeplearning.ai,specialization,https://www.coursera.org/specializations/tensorflow-in-practice,computer-science/software-development
Python 3 Programming,University of Michigan,specialization,https://www.coursera.org/specializations/python-3-programming,computer-science/software-development
Java Programming and Software Engineering Fundamentals,Duke University,specialization,https://www.coursera.org/specializations/java-programming,computer-science/software-development
Data Structures and Algorithms,University of California San Diego,specialization,https://www.coursera.org/specializations/data-structures-algorithms,computer-science/software-development
Open Source tools for Data Science,IBM,course,https://www.coursera.org/learn/open-source-tools-for-data-science,computer-science/software-development
Introduction to Programming with MATLAB,Vanderbilt University,course,https://www.coursera.org/learn/matlab,computer-science/software-development
Data Analysis with Python,IBM,course,https://www.coursera.org/learn/data-analysis-with-python,computer-science/software-development
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,course,https://www.coursera.org/learn/introduction-tensorflow,computer-science/software-development
Python Basics,University of Michigan,course,https://www.coursera.org/learn/python-basics,computer-science/software-development
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/aprendiendo-programar-python,computer-science/software-development
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,specialization,https://www.coursera.org/specializations/full-stack-react,computer-science/software-development
Using Python to Access Web Data,University of Michigan,course,https://www.coursera.org/learn/python-network-data,computer-science/software-development
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",specialization,https://www.coursera.org/specializations/iot,computer-science/software-development
Algorithmic Toolbox,University of California San Diego,course,https://www.coursera.org/learn/algorithmic-toolbox,computer-science/software-development
Learn to Program: The Fundamentals,University of Toronto,course,https://www.coursera.org/learn/learn-to-program,computer-science/software-development
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,specialization,https://www.coursera.org/specializations/full-stack-mobile-app-development,computer-science/software-development
Object Oriented Programming in Java,University of California San Diego,specialization,https://www.coursera.org/specializations/object-oriented-programming,computer-science/software-development
Build Your First Android App (Project-Centered Course),CentraleSupélec,course,https://www.coursera.org/learn/android-app,computer-science/software-development
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,course,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,computer-science/software-development
Using Databases with Python,University of Michigan,course,https://www.coursera.org/learn/python-databases,computer-science/software-development
Algorithms,Stanford University,specialization,https://www.coursera.org/specializations/algorithms,computer-science/software-development
Code Yourself! An Introduction to Programming,The University of Edinburgh,course,https://www.coursera.org/learn/intro-programming,computer-science/software-development
Introduction to Programming in C,Duke University,specialization,https://www.coursera.org/specializations/c-programming,computer-science/software-development
Introducción a Java,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/introduccion-java,computer-science/software-development
Java Programming: Solving Problems with Software,Duke University,course,https://www.coursera.org/learn/java-programming,computer-science/software-development
Introduction to Logic,Stanford University,course,https://www.coursera.org/learn/logic-introduction,computer-science/software-development
Getting Started with AWS Machine Learning,Amazon Web Services,course,https://www.coursera.org/learn/aws-machine-learning,computer-science/software-development
"C++ For C Programmers, Part A","University of California, Santa Cruz",course,https://www.coursera.org/learn/c-plus-plus-a,computer-science/software-development
Programming Fundamentals,Duke University,course,https://www.coursera.org/learn/programming-fundamentals,computer-science/software-development
Introduction to the Internet of Things and Embedded Systems,"University of California, Irvine",course,https://www.coursera.org/learn/iot,computer-science/software-development
Computer Science: Programming with a Purpose,Princeton University,course,https://www.coursera.org/learn/cs-programming-java,computer-science/software-development
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",course,https://www.coursera.org/learn/c-for-everyone,computer-science/software-development
The Arduino Platform and C Programming,"University of California, Irvine",course,https://www.coursera.org/learn/arduino-platform,computer-science/software-development
Convolutional Neural Networks in TensorFlow,deeplearning.ai,course,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,computer-science/software-development
