title,university,form,link,category
IBM Data Science,IBM,not specified,https://www.coursera.org/specializations/ibm-data-science,data-science/data-analysis
Introduction to Data Science,IBM,specialization,https://www.coursera.org/specializations/introduction-data-science,data-science/data-analysis
What is Data Science?,IBM,course,https://www.coursera.org/learn/what-is-datascience,data-science/data-analysis
Excel Skills for Business,Macquarie University,specialization,https://www.coursera.org/specializations/excel,data-science/data-analysis
Data Science,Johns Hopkins University,specialization,https://www.coursera.org/specializations/jhu-data-science,data-science/data-analysis
Applied Data Science with Python,University of Michigan,specialization,https://www.coursera.org/specializations/data-science-python,data-science/data-analysis
Data Science: Foundations using R,Johns Hopkins University,specialization,https://www.coursera.org/specializations/data-science-foundations-r,data-science/data-analysis
Excel Skills for Business: Essentials,Macquarie University,course,https://www.coursera.org/learn/excel-essentials,data-science/data-analysis
Python for Data Science and AI,IBM,course,https://www.coursera.org/learn/python-for-applied-data-science-ai,data-science/data-analysis
Python Data Structures,University of Michigan,course,https://www.coursera.org/learn/python-data,data-science/data-analysis
Introduction to Data Science in Python,University of Michigan,course,https://www.coursera.org/learn/python-data-analysis,data-science/data-analysis
Data Structures and Algorithms,University of California San Diego,specialization,https://www.coursera.org/specializations/data-structures-algorithms,data-science/data-analysis
The Data Scientist’s Toolbox,Johns Hopkins University,course,https://www.coursera.org/learn/data-scientists-tools,data-science/data-analysis
Marketing Digital,Universidade de São Paulo,course,https://www.coursera.org/learn/estrategia-marketing-digital,data-science/data-analysis
Open Source tools for Data Science,IBM,course,https://www.coursera.org/learn/open-source-tools-for-data-science,data-science/data-analysis
Data Analysis with Python,IBM,course,https://www.coursera.org/learn/data-analysis-with-python,data-science/data-analysis
Databases and SQL for Data Science,IBM,course,https://www.coursera.org/learn/sql-data-science,data-science/data-analysis
Business Analytics,University of Pennsylvania,specialization,https://www.coursera.org/specializations/business-analytics,data-science/data-analysis
R Programming,Johns Hopkins University,course,https://www.coursera.org/learn/r-programming,data-science/data-analysis
Marketing Analytics,University of Virginia,course,https://www.coursera.org/learn/uva-darden-market-analytics,data-science/data-analysis
Learn SQL Basics for Data Science,"University of California, Davis",specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,data-science/data-analysis
Fundamentos de Excel para Negocios,Universidad Austral,course,https://www.coursera.org/learn/excel-para-negocios,data-science/data-analysis
Data Science Methodology,IBM,course,https://www.coursera.org/learn/data-science-methodology,data-science/data-analysis
SQL for Data Science,"University of California, Davis",course,https://www.coursera.org/learn/sql-for-data-science,data-science/data-analysis
Excel to MySQL: Analytic Techniques for Business,Duke University,specialization,https://www.coursera.org/specializations/excel-mysql,data-science/data-analysis
Data Analysis and Presentation Skills: the PwC Approach,PwC,specialization,https://www.coursera.org/specializations/pwc-analytics,data-science/data-analysis
Applied Data Science Capstone,IBM,course,https://www.coursera.org/learn/applied-data-science-capstone,data-science/data-analysis
Structuring Machine Learning Projects,deeplearning.ai,course,https://www.coursera.org/learn/machine-learning-projects,data-science/data-analysis
Data Visualization with Python,IBM,course,https://www.coursera.org/learn/python-for-data-visualization,data-science/data-analysis
Data Science Math Skills,Duke University,course,https://www.coursera.org/learn/datasciencemathskills,data-science/data-analysis
Using Databases with Python,University of Michigan,course,https://www.coursera.org/learn/python-databases,data-science/data-analysis
AI Foundations for Everyone,IBM,specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,data-science/data-analysis
Statistics with R,Duke University,specialization,https://www.coursera.org/specializations/statistics,data-science/data-analysis
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,course,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,data-science/data-analysis
Excel Skills for Business: Intermediate I,Macquarie University,course,https://www.coursera.org/learn/excel-intermediate-1,data-science/data-analysis
Customer Analytics,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-customer-analytics,data-science/data-analysis
Data Visualization with Tableau,"University of California, Davis",specialization,https://www.coursera.org/specializations/data-visualization,data-science/data-analysis
Search Engine Optimization (SEO),"University of California, Davis",specialization,https://www.coursera.org/specializations/seo,data-science/data-analysis
Big Data,University of California San Diego,specialization,https://www.coursera.org/specializations/big-data,data-science/data-analysis
Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,course,https://www.coursera.org/learn/excel-aplicado-negocios-avanzado,data-science/data-analysis
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r,data-science/data-analysis
Fundamentals of Quantitative Modeling,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-quantitative-modeling,data-science/data-analysis
Fundamentals of Visualization with Tableau,"University of California, Davis",course,https://www.coursera.org/learn/data-visualization-tableau,data-science/data-analysis
Introduction to Data Analysis Using Excel,Rice University,course,https://www.coursera.org/learn/excel-data-analysis,data-science/data-analysis
Introduction to Probability and Data,Duke University,course,https://www.coursera.org/learn/probability-intro,data-science/data-analysis
Statistics with Python,University of Michigan,specialization,https://www.coursera.org/specializations/statistics-with-python,data-science/data-analysis
Geographic Information Systems (GIS),"University of California, Davis",specialization,https://www.coursera.org/specializations/gis,data-science/data-analysis
Applied Machine Learning in Python,University of Michigan,course,https://www.coursera.org/learn/python-machine-learning,data-science/data-analysis
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/python-statistics-financial-analysis,data-science/data-analysis
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,course,https://www.coursera.org/learn/python-plotting,data-science/data-analysis
Genomic Data Science,Johns Hopkins University,specialization,https://www.coursera.org/specializations/genomic-data-science,data-science/data-analysis
Data Science: Statistics and Machine Learning,Johns Hopkins University,specialization,https://www.coursera.org/specializations/data-science-statistics-machine-learning,data-science/data-analysis
Business Metrics for Data-Driven Companies,Duke University,course,https://www.coursera.org/learn/analytics-business-metrics,data-science/data-analysis
Data Structures,University of California San Diego,course,https://www.coursera.org/learn/data-structures,data-science/data-analysis
Introduction to Search Engine Optimization,"University of California, Davis",course,https://www.coursera.org/learn/search-engine-optimization,data-science/data-analysis
Data-driven Decision Making,PwC,course,https://www.coursera.org/learn/decision-making,data-science/data-analysis
Introduction to Big Data,University of California San Diego,course,https://www.coursera.org/learn/big-data-introduction,data-science/data-analysis
Математика и Python для анализа данных,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/mathematics-and-python,data-science/data-analysis
Cloud Computing Basics (Cloud 101),LearnQuest,course,https://www.coursera.org/learn/cloud-computing-basics,data-science/data-analysis
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/cs-fundamentals,data-science/data-analysis
Data Warehousing for Business Intelligence,University of Colorado System,specialization,https://www.coursera.org/specializations/data-warehousing,data-science/data-analysis
Executive Data Science,Johns Hopkins University,specialization,https://www.coursera.org/specializations/executive-data-science,data-science/data-analysis
People Analytics,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-people-analytics,data-science/data-analysis
Understanding and Visualizing Data with Python,University of Michigan,course,https://www.coursera.org/learn/understanding-visualization-data,data-science/data-analysis
Excel Skills for Business: Intermediate II,Macquarie University,course,https://www.coursera.org/learn/excel-intermediate-2,data-science/data-analysis
Mastering Data Analysis in Excel,Duke University,course,https://www.coursera.org/learn/analytics-excel,data-science/data-analysis
Problem Solving with Excel,PwC,course,https://www.coursera.org/learn/excel-analysis,data-science/data-analysis
Introduction to Spreadsheets and Models,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,data-science/data-analysis
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,course,https://www.coursera.org/learn/python-data-visualization,data-science/data-analysis
Excel Skills for Business: Advanced,Macquarie University,course,https://www.coursera.org/learn/excel-advanced,data-science/data-analysis
How to Win a Data Science Competition: Learn from Top Kagglers,National Research University Higher School of Economics,course,https://www.coursera.org/learn/competitive-data-science,data-science/data-analysis
Getting Started with Google Sheets,Google Cloud,course,https://www.coursera.org/learn/getting-started-with-google-sheets,data-science/data-analysis
Advanced Data Science with IBM,IBM,specialization,https://www.coursera.org/specializations/advanced-data-science-ibm,data-science/data-analysis
A Crash Course in Data Science,Johns Hopkins University,course,https://www.coursera.org/learn/data-science-course,data-science/data-analysis
Industrial IoT on Google Cloud Platform,Google Cloud,course,https://www.coursera.org/learn/iiot-google-cloud-platform,data-science/data-analysis
Getting and Cleaning Data,Johns Hopkins University,course,https://www.coursera.org/learn/data-cleaning,data-science/data-analysis
Data Visualization and Communication with Tableau,Duke University,course,https://www.coursera.org/learn/analytics-tableau,data-science/data-analysis
Advanced Business Analytics,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/data-analytics-business,data-science/data-analysis
Forensic Accounting and Fraud Examination,West Virginia University,course,https://www.coursera.org/learn/forensic-accounting,data-science/data-analysis
