title,university,form,link,category
Machine Learning,Stanford University,course,https://www.coursera.org/learn/machine-learning,data-science/machine-learning
IBM Data Science,IBM,not specified,https://www.coursera.org/specializations/ibm-data-science,data-science/machine-learning
Deep Learning,deeplearning.ai,specialization,https://www.coursera.org/specializations/deep-learning,data-science/machine-learning
Neural Networks and Deep Learning,deeplearning.ai,course,https://www.coursera.org/learn/neural-networks-deep-learning,data-science/machine-learning
Applied Data Science,IBM,specialization,https://www.coursera.org/specializations/applied-data-science,data-science/machine-learning
IBM Applied AI,IBM,not specified,https://www.coursera.org/specializations/applied-artifical-intelligence-ibm-watson-ai,data-science/machine-learning
Data Science: Foundations using R,Johns Hopkins University,specialization,https://www.coursera.org/specializations/data-science-foundations-r,data-science/machine-learning
IBM AI Engineering,IBM,not specified,https://www.coursera.org/specializations/ai-engineer,data-science/machine-learning
TensorFlow in Practice,deeplearning.ai,specialization,https://www.coursera.org/specializations/tensorflow-in-practice,data-science/machine-learning
Machine Learning with Python,IBM,course,https://www.coursera.org/learn/machine-learning-with-python,data-science/machine-learning
Convolutional Neural Networks,deeplearning.ai,course,https://www.coursera.org/learn/convolutional-neural-networks,data-science/machine-learning
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,course,https://www.coursera.org/learn/deep-neural-network,data-science/machine-learning
Mathematics for Machine Learning,Imperial College London,specialization,https://www.coursera.org/specializations/mathematics-machine-learning,data-science/machine-learning
Advanced Machine Learning,National Research University Higher School of Economics,specialization,https://www.coursera.org/specializations/aml,data-science/machine-learning
Sequence Models,deeplearning.ai,course,https://www.coursera.org/learn/nlp-sequence-models,data-science/machine-learning
Mathematics for Machine Learning: Linear Algebra,Imperial College London,course,https://www.coursera.org/learn/linear-algebra-machine-learning,data-science/machine-learning
Data Engineering with Google Cloud,Google Cloud,not specified,https://www.coursera.org/specializations/gcp-data-engineering,data-science/machine-learning
Applied Data Science Capstone,IBM,course,https://www.coursera.org/learn/applied-data-science-capstone,data-science/machine-learning
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,specialization,https://www.coursera.org/specializations/gcp-data-machine-learning,data-science/machine-learning
Structuring Machine Learning Projects,deeplearning.ai,course,https://www.coursera.org/learn/machine-learning-projects,data-science/machine-learning
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,course,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,data-science/machine-learning
Introduction to Artificial Intelligence (AI),IBM,course,https://www.coursera.org/learn/introduction-to-ai,data-science/machine-learning
Machine Learning,University of Washington,specialization,https://www.coursera.org/specializations/machine-learning,data-science/machine-learning
Big Data,University of California San Diego,specialization,https://www.coursera.org/specializations/big-data,data-science/machine-learning
Getting Started with AWS Machine Learning,Amazon Web Services,course,https://www.coursera.org/learn/aws-machine-learning,data-science/machine-learning
Машинное обучение и анализ данных,Moscow Institute of Physics and Technology,specialization,https://www.coursera.org/specializations/machine-learning-data-analysis,data-science/machine-learning
