title,university,form,link,category
R Programming,Johns Hopkins University,course,https://www.coursera.org/learn/r-programming,data-science/probability-and-statistics
Learn SQL Basics for Data Science,"University of California, Davis",specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,data-science/probability-and-statistics
Methods and Statistics in Social Sciences,University of Amsterdam,specialization,https://www.coursera.org/specializations/social-science,data-science/probability-and-statistics
Statistics with R,Duke University,specialization,https://www.coursera.org/specializations/statistics,data-science/probability-and-statistics
Business Statistics and Analysis,Rice University,specialization,https://www.coursera.org/specializations/business-statistics-analysis,data-science/probability-and-statistics
Understanding Clinical Research: Behind the Statistics,University of Cape Town,course,https://www.coursera.org/learn/clinical-research,data-science/probability-and-statistics
Basic Statistics,University of Amsterdam,course,https://www.coursera.org/learn/basic-statistics,data-science/probability-and-statistics
Introduction to Probability and Data,Duke University,course,https://www.coursera.org/learn/probability-intro,data-science/probability-and-statistics
Statistics with Python,University of Michigan,specialization,https://www.coursera.org/specializations/statistics-with-python,data-science/probability-and-statistics
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",course,https://www.coursera.org/learn/bayesian-statistics,data-science/probability-and-statistics
Probability and Statistics: To p or not to p?,University of London,course,https://www.coursera.org/learn/probability-statistics,data-science/probability-and-statistics
Understanding and Visualizing Data with Python,University of Michigan,course,https://www.coursera.org/learn/understanding-visualization-data,data-science/probability-and-statistics
Econometrics: Methods and Applications,Erasmus University Rotterdam,course,https://www.coursera.org/learn/erasmus-econometrics,data-science/probability-and-statistics
Getting and Cleaning Data,Johns Hopkins University,course,https://www.coursera.org/learn/data-cleaning,data-science/probability-and-statistics
Statistical Inference,Johns Hopkins University,course,https://www.coursera.org/learn/statistical-inference,data-science/probability-and-statistics
Inferential Statistics,Duke University,course,https://www.coursera.org/learn/inferential-statistics-intro,data-science/probability-and-statistics
Practical Time Series Analysis,The State University of New York,course,https://www.coursera.org/learn/practical-time-series-analysis,data-science/probability-and-statistics
Biostatistics in Public Health,Johns Hopkins University,specialization,https://www.coursera.org/specializations/biostatistics-public-health,data-science/probability-and-statistics
Statistical Analysis with R for Public Health,Imperial College London,specialization,https://www.coursera.org/specializations/statistical-analysis-r-public-health,data-science/probability-and-statistics
Exploratory Data Analysis,Johns Hopkins University,course,https://www.coursera.org/learn/exploratory-data-analysis,data-science/probability-and-statistics
Fitting Statistical Models to Data with Python,University of Michigan,course,https://www.coursera.org/learn/fitting-statistical-models-data-python,data-science/probability-and-statistics
Linear Regression and Modeling,Duke University,course,https://www.coursera.org/learn/linear-regression-model,data-science/probability-and-statistics
Machine Learning: Regression,University of Washington,course,https://www.coursera.org/learn/ml-regression,data-science/probability-and-statistics
Improving your statistical inferences,Eindhoven University of Technology,course,https://www.coursera.org/learn/statistical-inferences,data-science/probability-and-statistics
Exploring and Producing Data for Business Decision Making,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/business-data,data-science/probability-and-statistics
Summary Statistics in Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/summary-statistics,data-science/probability-and-statistics
Regression Models,Johns Hopkins University,course,https://www.coursera.org/learn/regression-models,data-science/probability-and-statistics
Estadística aplicada a los negocios,Universidad Austral,course,https://www.coursera.org/learn/estadistica-aplicada-negocios,data-science/probability-and-statistics
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,course,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health,data-science/probability-and-statistics
Data Visualization,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/datavisualization,data-science/probability-and-statistics
An Intuitive Introduction to Probability,University of Zurich,course,https://www.coursera.org/learn/introductiontoprobability,data-science/probability-and-statistics
Reproducible Research,Johns Hopkins University,course,https://www.coursera.org/learn/reproducible-research,data-science/probability-and-statistics
A Crash Course in Causality: Inferring Causal Effects from Observational Data,University of Pennsylvania,course,https://www.coursera.org/learn/crash-course-in-causality,data-science/probability-and-statistics
"Probability Theory, Statistics and Exploratory Data Analysis",National Research University Higher School of Economics,course,https://www.coursera.org/learn/probability-theory-statistics,data-science/probability-and-statistics
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",course,https://www.coursera.org/learn/mcmc-bayesian-statistics,data-science/probability-and-statistics
Bayesian Statistics,Duke University,course,https://www.coursera.org/learn/bayesian,data-science/probability-and-statistics
Построение выводов по данным,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/stats-for-data-analysis,data-science/probability-and-statistics
Inferential Statistics,University of Amsterdam,course,https://www.coursera.org/learn/inferential-statistics,data-science/probability-and-statistics
Методология научных исследований и котики,National Research Tomsk State University,course,https://www.coursera.org/learn/metodologiya-nauchnyh-issledovanij-kotiki,data-science/probability-and-statistics
Experimentation for Improvement,McMaster University,course,https://www.coursera.org/learn/experimentation,data-science/probability-and-statistics
Developing Data Products,Johns Hopkins University,course,https://www.coursera.org/learn/data-products,data-science/probability-and-statistics
Enjoyable Econometrics,Erasmus University Rotterdam,course,https://www.coursera.org/learn/enjoyable-econometrics,data-science/probability-and-statistics
Information Theory,The Chinese University of Hong Kong,course,https://www.coursera.org/learn/information-theory,data-science/probability-and-statistics
Просто о статистике (с использованием R),Saint Petersburg State University,specialization,https://www.coursera.org/specializations/prosto-o-statistike,data-science/probability-and-statistics
Statistics for Genomic Data Science,Johns Hopkins University,course,https://www.coursera.org/learn/statistical-genomics,data-science/probability-and-statistics
Causal Inference,Columbia University,course,https://www.coursera.org/learn/causal-inference,data-science/probability-and-statistics
Знакомство с R и базовая статистика,Saint Petersburg State University,course,https://www.coursera.org/learn/znakomstvo-r-bazovaya-statistika,data-science/probability-and-statistics
Анализ данных,Novosibirsk State University,specialization,https://www.coursera.org/specializations/analiz-dannykh,data-science/probability-and-statistics
Hypothesis Testing in Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/hypothesis-testing-public-health,data-science/probability-and-statistics
Математические методы в психологии. Основы применения (Mathematical Methods in Psychology: Basics of Applying),Saint Petersburg State University,course,https://www.coursera.org/learn/matematicheskiye-metody-v-psikhologii,data-science/probability-and-statistics
Linear Regression in R for Public Health,Imperial College London,course,https://www.coursera.org/learn/linear-regression-r-public-health,data-science/probability-and-statistics
Survival Analysis in R for Public Health,Imperial College London,course,https://www.coursera.org/learn/survival-analysis-r-public-health,data-science/probability-and-statistics
Logistic Regression in R for Public Health,Imperial College London,course,https://www.coursera.org/learn/logistic-regression-r-public-health,data-science/probability-and-statistics
Введение в данные,Novosibirsk State University,course,https://www.coursera.org/learn/vvedeniye-dannyye,data-science/probability-and-statistics
Data Science Ethics,University of Michigan,course,https://www.coursera.org/learn/data-science-ethics,data-science/probability-and-statistics
Improving Your Statistical Questions,Eindhoven University of Technology,course,https://www.coursera.org/learn/improving-statistical-questions,data-science/probability-and-statistics
Simple Regression Analysis in Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/simple-regression-analysis-public-health,data-science/probability-and-statistics
Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,course,https://www.coursera.org/learn/linear-models,data-science/probability-and-statistics
Статистические методы в гуманитарных исследованиях,National Research Tomsk State University,course,https://www.coursera.org/learn/statistics-for-humanities,data-science/probability-and-statistics
Financial Risk Management with R,Duke University,course,https://www.coursera.org/learn/financial-risk-management-with-r,data-science/probability-and-statistics
Multiple Regression Analysis in Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/multiple-regression-analysis-public-health,data-science/probability-and-statistics
Power and Sample Size for Multilevel and Longitudinal Study Designs,University of Florida,course,https://www.coursera.org/learn/power-sample-size,data-science/probability-and-statistics
Regression Modeling in Practice,Wesleyan University,course,https://www.coursera.org/learn/regression-modeling-practice,data-science/probability-and-statistics
Measuring Causal Effects in the Social Sciences,University of Copenhagen,course,https://www.coursera.org/learn/causal-effects,data-science/probability-and-statistics
Исследование статистических взаимосвязей,Novosibirsk State University,course,https://www.coursera.org/learn/statisticheskikh-vzaimosvyazey,data-science/probability-and-statistics
Mathematical Biostatistics Boot Camp 2,Johns Hopkins University,course,https://www.coursera.org/learn/biostatistics-2,data-science/probability-and-statistics
Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,course,https://www.coursera.org/learn/linear-models-2,data-science/probability-and-statistics
Тренды и классификации,Novosibirsk State University,course,https://www.coursera.org/learn/trendy-klassifikatsii,data-science/probability-and-statistics
Statistics with R Capstone,Duke University,course,https://www.coursera.org/learn/statistics-project,data-science/probability-and-statistics
Линейная регрессия,Saint Petersburg State University,course,https://www.coursera.org/learn/lineynaya-regressiya,data-science/probability-and-statistics
