title,university,form,link,category
Cloud Architecture with Google Cloud,Google Cloud,not specified,https://www.coursera.org/specializations/gcp-cloud-architect,information-technology/cloud-computing
Cloud Engineering with Google Cloud,Google Cloud,not specified,https://www.coursera.org/specializations/cloud-engineering-gcp,information-technology/cloud-computing
Security in Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/security-google-cloud-platform,information-technology/cloud-computing
Architecting with Google Kubernetes Engine,Google Cloud,specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,information-technology/cloud-computing
Networking in Google Cloud,Google Cloud,specialization,https://www.coursera.org/specializations/networking-google-cloud-platform,information-technology/cloud-computing
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals,information-technology/cloud-computing
Google IT Automation with Python,Google,not specified,https://www.coursera.org/specializations/google-it-automation,information-technology/cloud-computing
Crash Course on Python,Google,course,https://www.coursera.org/learn/python-crash-course,information-technology/cloud-computing
AWS Fundamentals,Amazon Web Services,specialization,https://www.coursera.org/specializations/aws-fundamentals,information-technology/cloud-computing
Essential Google Cloud Infrastructure: Foundation,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-foundation,information-technology/cloud-computing
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,information-technology/cloud-computing
Essential Google Cloud Infrastructure: Core Services,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-core-services,information-technology/cloud-computing
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,information-technology/cloud-computing
Using Python to Interact with the Operating System,Google,course,https://www.coursera.org/learn/python-operating-system,information-technology/cloud-computing
Machine Learning for Business Professionals,Google Cloud,course,https://www.coursera.org/learn/machine-learning-business-professionals,information-technology/cloud-computing
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,course,https://www.coursera.org/learn/cloud-infrastructure-design-process,information-technology/cloud-computing
Cloud Computing Basics (Cloud 101),LearnQuest,course,https://www.coursera.org/learn/cloud-computing-basics,information-technology/cloud-computing
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,information-technology/cloud-computing
Introduction to Git and GitHub,Google,course,https://www.coursera.org/learn/introduction-git-github,information-technology/cloud-computing
Getting Started with Google Kubernetes Engine,Google Cloud,course,https://www.coursera.org/learn/google-kubernetes-engine,information-technology/cloud-computing
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,information-technology/cloud-computing
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,course,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,information-technology/cloud-computing
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,course,https://www.coursera.org/learn/preparing-cloud-associate-cloud-engineer-exam,information-technology/cloud-computing
How Google does Machine Learning,Google Cloud,course,https://www.coursera.org/learn/google-machine-learning,information-technology/cloud-computing
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,course,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,information-technology/cloud-computing
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,course,https://www.coursera.org/learn/site-reliability-engineering-slos,information-technology/cloud-computing
Building Batch Data Pipelines on GCP,Google Cloud,course,https://www.coursera.org/learn/batch-data-pipelines-gcp,information-technology/cloud-computing
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications,information-technology/cloud-computing
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,course,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,information-technology/cloud-computing
Introduction to Cloud Identity,Google Cloud,course,https://www.coursera.org/learn/cloud-identity,information-technology/cloud-computing
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,specialization,https://www.coursera.org/specializations/emerging-technologies,information-technology/cloud-computing
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,course,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,information-technology/cloud-computing
Business Transformation with Google Cloud,Google Cloud,course,https://www.coursera.org/learn/business-transformation-google-cloud,information-technology/cloud-computing
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,course,https://www.coursera.org/learn/streaming-analytics-systems-gcp,information-technology/cloud-computing
La Disrupción del Blockchain,Universidad Austral,course,https://www.coursera.org/learn/blockchain-espanol,information-technology/cloud-computing
Managing Security in Google Cloud Platform,Google Cloud,course,https://www.coursera.org/learn/managing-security-in-google-cloud-platform,information-technology/cloud-computing
Troubleshooting and Debugging Techniques,Google,course,https://www.coursera.org/learn/troubleshooting-debugging-techniques,information-technology/cloud-computing
Migrating to Google Cloud Platform,Google Cloud,course,https://www.coursera.org/learn/migrating-to-gcp,information-technology/cloud-computing
"Smart Analytics, Machine Learning, and AI on GCP",Google Cloud,course,https://www.coursera.org/learn/smart-analytics-machine-learning-ai-gcp,information-technology/cloud-computing
AWS Computer Vision: Getting Started with GluonCV,Amazon Web Services,course,https://www.coursera.org/learn/aws-computer-vision-gluoncv,information-technology/cloud-computing
Networking in Google Cloud: Defining and Implementing Networks,Google Cloud,course,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,information-technology/cloud-computing
Intro to TensorFlow,Google Cloud,course,https://www.coursera.org/learn/intro-tensorflow,information-technology/cloud-computing
Launching into Machine Learning,Google Cloud,course,https://www.coursera.org/learn/launching-machine-learning,information-technology/cloud-computing
Applied AI with DeepLearning,IBM,course,https://www.coursera.org/learn/ai,information-technology/cloud-computing
Production Machine Learning Systems,Google Cloud,course,https://www.coursera.org/learn/gcp-production-ml-systems,information-technology/cloud-computing
Introduction and Programming with IoT Boards,Pohang University of Science and Technology,course,https://www.coursera.org/learn/introduction-iot-boards,information-technology/cloud-computing
Configuration Management and the Cloud,Google,course,https://www.coursera.org/learn/configuration-management-cloud,information-technology/cloud-computing
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-cloud-migration,information-technology/cloud-computing
Big Data: el impacto de los datos masivos en la sociedad actual,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/impacto-datos-masivos,information-technology/cloud-computing
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk,information-technology/cloud-computing
Automating Real-World Tasks with Python,Google,course,https://www.coursera.org/learn/automating-real-world-tasks-python,information-technology/cloud-computing
IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies,Yonsei University,course,https://www.coursera.org/learn/iot-wireless-cloud-computing,information-technology/cloud-computing
Full Stack Web Development en Español,Universidad Austral,specialization,https://www.coursera.org/specializations/fullstack-web-development-espanol,information-technology/cloud-computing
Feature Engineering,Google Cloud,course,https://www.coursera.org/learn/feature-engineering,information-technology/cloud-computing
Networking in Google Cloud: Hybrid Connectivity and Network Management,Google Cloud,course,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,information-technology/cloud-computing
Architecting with Google Cloud Platform 日本語版,Google Cloud,specialization,https://www.coursera.org/specializations/gcp-architecture-jp,information-technology/cloud-computing
"Functions, Methods, and Interfaces in Go","University of California, Irvine",course,https://www.coursera.org/learn/golang-functions-methods,information-technology/cloud-computing
Architecting Hybrid Cloud Infrastructure with Anthos,Google Cloud,specialization,https://www.coursera.org/specializations/architecting-hybrid-cloud-infrastructure-anthos,information-technology/cloud-computing
Concurrency in Go,"University of California, Irvine",course,https://www.coursera.org/learn/golang-concurrency,information-technology/cloud-computing
Cybersecurity Compliance Framework & System Administration,IBM,course,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration,information-technology/cloud-computing
Hybrid Cloud Infrastructure Foundations with Anthos,Google Cloud,course,https://www.coursera.org/learn/hybrid-cloud-infrastructure-foundations-anthos,information-technology/cloud-computing
Art and Science of Machine Learning,Google Cloud,course,https://www.coursera.org/learn/art-science-ml,information-technology/cloud-computing
Mitigating Security Vulnerabilities on Google Cloud Platform,Google Cloud,course,https://www.coursera.org/learn/mitigating-security-vulnerabilites-gcp,information-technology/cloud-computing
Brand & Content Marketing,IE Business School,course,https://www.coursera.org/learn/brand-and-content-marketing,information-technology/cloud-computing
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-jp,information-technology/cloud-computing
Google Cloud Platform Fundamentals: Core Infrastructure 日本語版,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals-jp,information-technology/cloud-computing
Smart Device & Mobile Emerging Technologies,Yonsei University,course,https://www.coursera.org/learn/smart-device-mobile-emerging-technologies,information-technology/cloud-computing
Sequence Models for Time Series and Natural Language Processing,Google Cloud,course,https://www.coursera.org/learn/sequence-models-tensorflow-gcp,information-technology/cloud-computing
Architecting with Google Cloud Platform en Español,Google Cloud,specialization,https://www.coursera.org/specializations/gcp-architecture-es,information-technology/cloud-computing
Image Understanding with TensorFlow on GCP,Google Cloud,course,https://www.coursera.org/learn/image-understanding-tensorflow-gcp,information-technology/cloud-computing
Recommendation Systems with TensorFlow on GCP,Google Cloud,course,https://www.coursera.org/learn/recommendation-models-gcp,information-technology/cloud-computing
Гибкие методологии разработки высокотехнологичных продуктов,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/gibkie-metodologii-razrabotki-produktov,information-technology/cloud-computing
Google Cloud Product Fundamentals,Google Cloud,course,https://www.coursera.org/learn/google-cloud-product-fundamentals,information-technology/cloud-computing
Introduction to Enterprise Computing,IBM,course,https://www.coursera.org/learn/introduction-enterprise-computing,information-technology/cloud-computing
Architecting with Google Kubernetes Engine en Español,Google Cloud,specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-es,information-technology/cloud-computing
Project: Custom Prediction Routine on Google AI Platform,Rhyme,course,https://www.coursera.org/learn/custom-prediction-routine-google-ai-platform,information-technology/cloud-computing
IT Infrastructure and Emerging Trends,University of Minnesota,course,https://www.coursera.org/learn/it-infrastructure-and-emerging-trends,information-technology/cloud-computing
Google Cloud Platform Fundamentals: Core Infrastructure en Español,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals-es,information-technology/cloud-computing
AR (Augmented Reality) & Video Streaming Services Emerging Technologies,Yonsei University,course,https://www.coursera.org/learn/ar-technologies-video-streaming,information-technology/cloud-computing
Elastic Cloud Infrastructure: Scaling and Automation 日本語版,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-jp,information-technology/cloud-computing
Hybrid Cloud Service Mesh with Anthos,Google Cloud,course,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,information-technology/cloud-computing
Essential Cloud Infrastructure: Foundation 日本語版,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-foundation-jp,information-technology/cloud-computing
Essential Cloud Infrastructure: Core Services 日本語版,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-core-services-jp,information-technology/cloud-computing
Hybrid Cloud Multi-Cluster with Anthos,Google Cloud,course,https://www.coursera.org/learn/hybrid-cloud-multi-cluster-anthos,information-technology/cloud-computing
Cloud Security Basics,University of Minnesota,course,https://www.coursera.org/learn/cloud-security-basics,information-technology/cloud-computing
Getting Started on Mainframe with z/OS Commands and Panels,IBM,course,https://www.coursera.org/learn/z-commands-and-panels,information-technology/cloud-computing
Basic System Programming on IBM Z,IBM,course,https://www.coursera.org/learn/system-programming,information-technology/cloud-computing
Machine Learning with TensorFlow on Google Cloud Platform en Español,Google Cloud,specialization,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-es,information-technology/cloud-computing
Getting Started with Google Kubernetes Engine en Español,Google Cloud,course,https://www.coursera.org/learn/google-kubernetes-engine-es,information-technology/cloud-computing
Elastic Cloud Infrastructure: Containers and Services 日本語版,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-containers-services-jp,information-technology/cloud-computing
Architecting Google Cloud Platform em Português Brasileiro,Google Cloud,specialization,https://www.coursera.org/specializations/gcp-architecture-br,information-technology/cloud-computing
"Desarrollo de Aplicaciones Mobile Multiplataforma con Nativescript, Angular y Redux",Universidad Austral,course,https://www.coursera.org/learn/aplicaciones-mobile-multiplataforma-nativescript-angular-redux,information-technology/cloud-computing
Architecting with Google Kubernetes Engine en Portuguese,Google Cloud,specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-br,information-technology/cloud-computing
Architecting with Google Cloud Platform en Français,Google Cloud,specialization,https://www.coursera.org/specializations/gcp-architecture-fr,information-technology/cloud-computing
Google Cloud Platform Fundamentals: Core Infrastructure em Português Brasileiro,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals-br,information-technology/cloud-computing
Essential Cloud Infrastructure: Foundation en Español,Google Cloud,course,https://www.coursera.org/learn/gcp-infrastructure-foundation-es,information-technology/cloud-computing
Architecting with Google Cloud Platform bahasa Indonesia,Google Cloud,specialization,https://www.coursera.org/specializations/gcp-architecture-bhid,information-technology/cloud-computing
Machine Learning with TensorFlow Google Cloud Platform 日本語版,Google Cloud,specialization,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-jp,information-technology/cloud-computing
Blockchain for the decision maker,EIT Digital,course,https://www.coursera.org/learn/blockchain-decision-maker,information-technology/cloud-computing
Google Cloud Fundamentals for Azure Professionals: Core Infrastructure,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals-azure,information-technology/cloud-computing
How Google does Machine Learning en Español,Google Cloud,course,https://www.coursera.org/learn/google-machine-learning-es,information-technology/cloud-computing
Machine Learning with TensorFlow on Google Cloud Platform en Français,Google Cloud,specialization,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-fr,information-technology/cloud-computing
Google Cloud Platform Fundamentals: Core Infrastructure en Français,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals-fr,information-technology/cloud-computing
How Google does Machine Learning 日本語版,Google Cloud,course,https://www.coursera.org/learn/google-machine-learning-jp,information-technology/cloud-computing
Intro to TensorFlow en Español,Google Cloud,course,https://www.coursera.org/learn/intro-tensorflow-es,information-technology/cloud-computing
Machine Learning with TensorFlow on Google Cloud Platform em Português Brasileiro,Google Cloud,specialization,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-br,information-technology/cloud-computing
Google Cloud Platform Fundamentals: Core Infrastructure dalam bahasa Indonesia,Google Cloud,course,https://www.coursera.org/learn/gcp-fundamentals-core-infrastructure-id,information-technology/cloud-computing
