title,university,form,link,category
Databases and SQL for Data Science,IBM,course,https://www.coursera.org/learn/sql-data-science,information-technology/data-management
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/competencias-digitales-ofimatica,information-technology/data-management
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-fintech,information-technology/data-management
Introducción a la Minería de Datos,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/mineria-de-datos-introduccion,information-technology/data-management
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,course,https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,information-technology/data-management
From Data to Insights with Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,information-technology/data-management
Building Batch Data Pipelines on GCP,Google Cloud,course,https://www.coursera.org/learn/batch-data-pipelines-gcp,information-technology/data-management
Modern Big Data Analysis with SQL,Cloudera,specialization,https://www.coursera.org/specializations/cloudera-big-data-analysis-sql,information-technology/data-management
Information Systems,University of Minnesota,specialization,https://www.coursera.org/specializations/information-systems,information-technology/data-management
Exploring and Preparing your Data with BigQuery,Google Cloud,course,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,information-technology/data-management
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,course,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,information-technology/data-management
Introduction to MongoDB,MongoDB Inc.,course,https://www.coursera.org/learn/introduction-mongodb,information-technology/data-management
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-cloud-migration,information-technology/data-management
Analysis for Business Systems,University of Minnesota,course,https://www.coursera.org/learn/analysis-for-business-systems,information-technology/data-management
Creating New BigQuery Datasets and Visualizing Insights,Google Cloud,course,https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,information-technology/data-management
Machine Learning: Algorithms in the Real World,Alberta Machine Intelligence Institute,specialization,https://www.coursera.org/specializations/machine-learning-algorithms-real-world,information-technology/data-management
Information Visualization: Foundations,New York University Tandon School of Engineering,course,https://www.coursera.org/learn/information-visualization-fundamentals,information-technology/data-management
Digital transformation of megapolises: from zero to #1 in UN digital e-government ranking,National Research University Higher School of Economics,course,https://www.coursera.org/learn/digital-transformation-of-megapolises,information-technology/data-management
Маркетинг инновационных продуктов,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/marketing-innov-produktov,information-technology/data-management
Achieving Advanced Insights with BigQuery,Google Cloud,course,https://www.coursera.org/learn/gcp-advanced-insights-bigquery,information-technology/data-management
IBM z/OS Mainframe Practitioner,IBM,not specified,https://www.coursera.org/specializations/ibm-z-mainframe,information-technology/data-management
Information Visualization: Programming with D3.js,New York University Tandon School of Engineering,course,https://www.coursera.org/learn/information-visualization-programming-d3js,information-technology/data-management
Big Data Emerging Technologies,Yonsei University,course,https://www.coursera.org/learn/big-data-emerging-technologies,information-technology/data-management
Applying Machine Learning to your Data with GCP,Google Cloud,course,https://www.coursera.org/learn/data-insights-gcp-apply-ml,information-technology/data-management
Making the Case for Robotic Process Automation,Association of International Certified Professional Accountants,course,https://www.coursera.org/learn/robotic-process-automation,information-technology/data-management
Introduction to Enterprise Computing,IBM,course,https://www.coursera.org/learn/introduction-enterprise-computing,information-technology/data-management
Data in Database,Arizona State University,course,https://www.coursera.org/learn/data-in-database,information-technology/data-management
Основы и практическое применение блокчейна,Saint Petersburg State University,course,https://www.coursera.org/learn/blokcheyna,information-technology/data-management
Mastering Digital Twins,EIT Digital,course,https://www.coursera.org/learn/mastering-digital-twins,information-technology/data-management
Information Visualization: Applied Perception,New York University Tandon School of Engineering,course,https://www.coursera.org/learn/information-visualization-applied-perception,information-technology/data-management
Security and Privacy for Big Data - Part 1,EIT Digital,course,https://www.coursera.org/learn/security-privacy-big-data,information-technology/data-management
Getting Started on Mainframe with z/OS Commands and Panels,IBM,course,https://www.coursera.org/learn/z-commands-and-panels,information-technology/data-management
MongoDB Aggregation Framework,MongoDB Inc.,course,https://www.coursera.org/learn/mongodb-aggregation-framework,information-technology/data-management
Введение в информационный поиск,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/vvedeniye-informatsionnyy-poisk,information-technology/data-management
Security and Privacy for Big Data - Part 2,EIT Digital,course,https://www.coursera.org/learn/security-privacy-big-data-protection,information-technology/data-management
Preparing for the Google Cloud Professional Data Engineer Exam 日本語版,Google Cloud,course,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam-jp,information-technology/data-management
Project: Business Operations Support in Google Sheets,Rhyme,course,https://www.coursera.org/learn/business-operations-support-in-google-sheets,information-technology/data-management
Preparing for the Google Cloud Professional Data Engineer Exam en Español,Google Cloud,course,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam-es,information-technology/data-management
From Data to Insights with Google Cloud Platform 日本語版,Google Cloud,specialization,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform-jp,information-technology/data-management
Exploring and Preparing your Data with BigQuery 日本語版,Google Cloud,course,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery-jp,information-technology/data-management
