title,university,form,link,category
Networking in Google Cloud,Google Cloud,specialization,https://www.coursera.org/specializations/networking-google-cloud-platform,information-technology/networking
The Bits and Bytes of Computer Networking,Google,course,https://www.coursera.org/learn/computer-networking,information-technology/networking
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,information-technology/networking
Cisco Networking Basics,Cisco,specialization,https://www.coursera.org/specializations/networking-basics,information-technology/networking
Internet Connection: How to Get Online?,Cisco,course,https://www.coursera.org/learn/internet-connection-how-to-get-online,information-technology/networking
Network Protocols and Architecture,Cisco,course,https://www.coursera.org/learn/network-protocols-architecture,information-technology/networking
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,specialization,https://www.coursera.org/specializations/emerging-technologies,information-technology/networking
Networking in Google Cloud: Defining and Implementing Networks,Google Cloud,course,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,information-technology/networking
Introduction and Programming with IoT Boards,Pohang University of Science and Technology,course,https://www.coursera.org/learn/introduction-iot-boards,information-technology/networking
Introduction to Cisco Networking,Cisco,course,https://www.coursera.org/learn/cisco-networking-introduction,information-technology/networking
Сетевое администрирование: от теории к практике,National Research Tomsk State University,course,https://www.coursera.org/learn/network-administration,information-technology/networking
Networking and Security Architecture with VMware NSX,VMware,course,https://www.coursera.org/learn/networking-security-architecture-vmware-nsx,information-technology/networking
Data Communications and Network Services,Cisco,course,https://www.coursera.org/learn/data-communication-network-services,information-technology/networking
Networking in Google Cloud: Hybrid Connectivity and Network Management,Google Cloud,course,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,information-technology/networking
Home Networking Basics,Cisco,course,https://www.coursera.org/learn/home-networking-basics,information-technology/networking
Intel® Network Academy - Network Transformation 101,Intel,course,https://www.coursera.org/learn/network-transformation-101,information-technology/networking
Los bits y bytes de las redes informáticas,Crece con Google,course,https://www.coursera.org/learn/redes-informaticas,information-technology/networking
Programming with Cloud IoT Platforms,Pohang University of Science and Technology,course,https://www.coursera.org/learn/cloud-iot-platform,information-technology/networking
Transacting on the Blockchain,INSEAD,course,https://www.coursera.org/learn/transacting-blockchain,information-technology/networking
Estrutura e Funcionamento das Redes de Computadores,Cresça com o Google,course,https://www.coursera.org/learn/redes-computadores,information-technology/networking
