title,university,form,link,category
Technical Support Fundamentals,Google,course,https://www.coursera.org/learn/technical-support-fundamentals,information-technology/security
Security in Google Cloud Platform,Google Cloud,specialization,https://www.coursera.org/specializations/security-google-cloud-platform,information-technology/security
IT Security: Defense against the digital dark arts,Google,course,https://www.coursera.org/learn/it-security,information-technology/security
IT Fundamentals for Cybersecurity,IBM,specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,information-technology/security
Introduction to Cloud Identity,Google Cloud,course,https://www.coursera.org/learn/cloud-identity,information-technology/security
Cybersecurity for Business,University of Colorado System,specialization,https://www.coursera.org/specializations/cyber-security-business,information-technology/security
Computer Security and Systems Management,University of Colorado System,specialization,https://www.coursera.org/specializations/computer-security-systems-management,information-technology/security
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/information-systems-audit,information-technology/security
Aspectos básicos de la asistencia técnica,Crece con Google,course,https://www.coursera.org/learn/asistencia-tecnica,information-technology/security
Blockchain: Foundations and Use Cases,ConsenSys Academy,course,https://www.coursera.org/learn/blockchain-foundations-and-use-cases,information-technology/security
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,specialization,https://www.coursera.org/specializations/sscp-training,information-technology/security
Palo Alto Networks Cybersecurity,Palo Alto Networks,specialization,https://www.coursera.org/specializations/palo-alto-networks-cybersecurity,information-technology/security
Introduction to Cybersecurity for Business,University of Colorado System,course,https://www.coursera.org/learn/intro-cyber-security-business,information-technology/security
Secure Coding Practices,"University of California, Davis",specialization,https://www.coursera.org/specializations/secure-coding-practices,information-technology/security
Networking and Security Architecture with VMware NSX,VMware,course,https://www.coursera.org/learn/networking-security-architecture-vmware-nsx,information-technology/security
Linux Server Management and Security,University of Colorado System,course,https://www.coursera.org/learn/linux-server-management-security,information-technology/security
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,course,https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk,information-technology/security
Введение в технологию блокчейн,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/introduction-to-blockchain,information-technology/security
Palo Alto Networks Academy Cybersecurity Foundation,Palo Alto Networks,course,https://www.coursera.org/learn/cybersecurity-foundation,information-technology/security
Network Security & Database Vulnerabilities,IBM,course,https://www.coursera.org/learn/network-security-database-vulnerabilities,information-technology/security
International Security Management,Erasmus University Rotterdam,course,https://www.coursera.org/learn/international-security-management,information-technology/security
"Cybersecurity Roles, Processes & Operating System Security",IBM,course,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,information-technology/security
Fundamentos do Suporte Técnico,Cresça com o Google,course,https://www.coursera.org/learn/fundamentos-do-suporte-tecnico,information-technology/security
Cybersecurity Compliance Framework & System Administration,IBM,course,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration,information-technology/security
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,course,https://www.coursera.org/learn/incident-response-recovery-risks-sscp,information-technology/security
Enterprise System Management and Security,University of Colorado System,course,https://www.coursera.org/learn/enterprise-system-management-security,information-technology/security
Detecting and Mitigating Cyber Threats and Attacks,University of Colorado System,course,https://www.coursera.org/learn/detecting-cyber-attacks,information-technology/security
Principles of Secure Coding,"University of California, Davis",course,https://www.coursera.org/learn/secure-coding-principles,information-technology/security
Cybersecurity Awareness and Innovation,EIT Digital,course,https://www.coursera.org/learn/cybersecurity,information-technology/security
Seguridad informática: defensa contra las artes oscuras digitales,Crece con Google,course,https://www.coursera.org/learn/seguridad-informatica,information-technology/security
Identifying Security Vulnerabilities,"University of California, Davis",course,https://www.coursera.org/learn/identifying-security-vulnerabilities,information-technology/security
Access Controls,(ISC)²,course,https://www.coursera.org/learn/access-control-sscp,information-technology/security
Cyber Threats and Attack Vectors,University of Colorado System,course,https://www.coursera.org/learn/cyber-threats-attack-vectors,information-technology/security
Windows Server Management and Security,University of Colorado System,course,https://www.coursera.org/learn/windows-server-management-security,information-technology/security
IT Infrastructure and Emerging Trends,University of Minnesota,course,https://www.coursera.org/learn/it-infrastructure-and-emerging-trends,information-technology/security
Security Awareness Training,(ISC)²,course,https://www.coursera.org/learn/security-awareness-training,information-technology/security
Palo Alto Networks Cybersecurity Gateway I,Palo Alto Networks,course,https://www.coursera.org/learn/cybersecurity-gateway-1,information-technology/security
Palo Alto Networks Cybersecurity Essentials I,Palo Alto Networks,course,https://www.coursera.org/learn/cybersecurity-essentials-1,information-technology/security
Proactive Computer Security,University of Colorado System,course,https://www.coursera.org/learn/proactive-computer-security,information-technology/security
Security and Privacy for Big Data - Part 1,EIT Digital,course,https://www.coursera.org/learn/security-privacy-big-data,information-technology/security
Blockchain 360: A State of the Art for Professionals,EIT Digital,course,https://www.coursera.org/learn/blockchain-professionals,information-technology/security
Cryptography,(ISC)²,course,https://www.coursera.org/learn/cryptography-sscp,information-technology/security
Security Operations and Administration,(ISC)²,course,https://www.coursera.org/learn/security-operations-administration-sscp,information-technology/security
Security and Privacy for Big Data - Part 2,EIT Digital,course,https://www.coursera.org/learn/security-privacy-big-data-protection,information-technology/security
Segurança de TI: Defesa Contra as Artes Obscuras do Mundo Digital,Cresça com o Google,course,https://www.coursera.org/learn/seguranca-de-it,information-technology/security
"Planning, Auditing and Maintaining Enterprise Systems",University of Colorado System,course,https://www.coursera.org/learn/planning-auditing-maintaining-enterprise-systems,information-technology/security
Security and Privacy in TOR Network,University of Colorado System,course,https://www.coursera.org/learn/security-and-privacy-in-tor-network,information-technology/security
DDoS Attacks and Defenses,University of Colorado System,course,https://www.coursera.org/learn/ddos-attacks-and-defense,information-technology/security
Palo Alto Networks Cybersecurity Essentials II,Palo Alto Networks,course,https://www.coursera.org/learn/cybersecurity-essentials-2,information-technology/security
Networks and Communications Security,(ISC)²,course,https://www.coursera.org/learn/network-security-communications-sscp,information-technology/security
