title,university,form,link,category
Google IT Support,Google,not specified,https://www.coursera.org/specializations/google-it-support,information-technology/support-and-operations
Technical Support Fundamentals,Google,course,https://www.coursera.org/learn/technical-support-fundamentals,information-technology/support-and-operations
Google IT Automation with Python,Google,not specified,https://www.coursera.org/specializations/google-it-automation,information-technology/support-and-operations
Crash Course on Python,Google,course,https://www.coursera.org/learn/python-crash-course,information-technology/support-and-operations
Operating Systems and You: Becoming a Power User,Google,course,https://www.coursera.org/learn/os-power-user,information-technology/support-and-operations
System Administration and IT Infrastructure Services,Google,course,https://www.coursera.org/learn/system-administration-it-infrastructure-services,information-technology/support-and-operations
Using Python to Interact with the Operating System,Google,course,https://www.coursera.org/learn/python-operating-system,information-technology/support-and-operations
Agile with Atlassian Jira,Atlassian,course,https://www.coursera.org/learn/agile-atlassian-jira,information-technology/support-and-operations
Introduction to Git and GitHub,Google,course,https://www.coursera.org/learn/introduction-git-github,information-technology/support-and-operations
Continuous Delivery & DevOps,University of Virginia,course,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,information-technology/support-and-operations
The Introduction to Quantum Computing,Saint Petersburg State University,course,https://www.coursera.org/learn/quantum-computing-algorithms,information-technology/support-and-operations
Soporte de Tecnologías de la Información de Google,Crece con Google,not specified,https://www.coursera.org/specializations/soporte-de-tecnologias-de-informacion-google,information-technology/support-and-operations
Information Systems,University of Minnesota,specialization,https://www.coursera.org/specializations/information-systems,information-technology/support-and-operations
Troubleshooting and Debugging Techniques,Google,course,https://www.coursera.org/learn/troubleshooting-debugging-techniques,information-technology/support-and-operations
Aspectos básicos de la asistencia técnica,Crece con Google,course,https://www.coursera.org/learn/asistencia-tecnica,information-technology/support-and-operations
DevOps Culture and Mindset,"University of California, Davis",course,https://www.coursera.org/learn/devops-culture-and-mindset,information-technology/support-and-operations
Suporte em TI do Google,Cresça com o Google,not specified,https://www.coursera.org/specializations/suporte-em-ti-do-google,information-technology/support-and-operations
Configuration Management and the Cloud,Google,course,https://www.coursera.org/learn/configuration-management-cloud,information-technology/support-and-operations
FinTech Law and Policy,Duke University,course,https://www.coursera.org/learn/fintechlawandpolicy,information-technology/support-and-operations
IBM Customer Engagement Specialist Professional Certificate,IBM,course,https://www.coursera.org/learn/ibm-customer-engagement-specialist,information-technology/support-and-operations
Automating Real-World Tasks with Python,Google,course,https://www.coursera.org/learn/automating-real-world-tasks-python,information-technology/support-and-operations
Enterprise Systems,University of Minnesota,course,https://www.coursera.org/learn/enterprise-systems,information-technology/support-and-operations
IBM IT Assessment: Identifying the Right Career for You!,IBM,course,https://www.coursera.org/learn/ibm-it-assessment,information-technology/support-and-operations
Fundamentos do Suporte Técnico,Cresça com o Google,course,https://www.coursera.org/learn/fundamentos-do-suporte-tecnico,information-technology/support-and-operations
IS/IT Governance,University of Minnesota,course,https://www.coursera.org/learn/is-it-governance,information-technology/support-and-operations
IBM z/OS Mainframe Practitioner,IBM,not specified,https://www.coursera.org/specializations/ibm-z-mainframe,information-technology/support-and-operations
An Introduction to Accessibility and Inclusive Design,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/accessibility,information-technology/support-and-operations
Sistemas operativos y tú: Convertirse en un usuario avanzado,Crece con Google,course,https://www.coursera.org/learn/sistemas-operativos,information-technology/support-and-operations
Customer-Centric IT Strategy,University of Virginia,course,https://www.coursera.org/learn/uva-darden-customer-centric-it-strategy,information-technology/support-and-operations
Security Awareness Training,(ISC)²,course,https://www.coursera.org/learn/security-awareness-training,information-technology/support-and-operations
"Coding for Designers, Managers, and Entrepreneurs",University of Virginia,specialization,https://www.coursera.org/specializations/coding-for-managers,information-technology/support-and-operations
Hybrid Cloud Service Mesh with Anthos,Google Cloud,course,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,information-technology/support-and-operations
Sistemas Operacionais e Você: Tornando-se um Usuário Avançado,Cresça com o Google,course,https://www.coursera.org/learn/sistemas-operacionais,information-technology/support-and-operations
Esports,"University of California, Irvine",specialization,https://www.coursera.org/specializations/esports,information-technology/support-and-operations
Desarrollo de páginas con Angular,Universidad Austral,course,https://www.coursera.org/learn/desarrollar-paginas-web-con-angular,information-technology/support-and-operations
Install and Manage Google Cloud's Apigee API Platform,Google Cloud,specialization,https://www.coursera.org/specializations/apigee-api-gcp-onprem,information-technology/support-and-operations
Administración de sistemas y servicios de infraestructura de TI,Crece con Google,course,https://www.coursera.org/learn/administracion-de-sistema-y-servicios-de-infraestructura,information-technology/support-and-operations
Basic System Programming on IBM Z,IBM,course,https://www.coursera.org/learn/system-programming,information-technology/support-and-operations
On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform,Google Cloud,course,https://www.coursera.org/learn/onprem-fundamentals-apigee-gcp,information-technology/support-and-operations
Administração de Sistemas e Serviços de Infraestrutura de TI,Cresça com o Google,course,https://www.coursera.org/learn/administracao-de-sistemas-servicos-infraestrutura-ti,information-technology/support-and-operations
