title,university,form,link,category
English for Career Development,University of Pennsylvania,course,https://www.coursera.org/learn/careerdevelopment,language-learning/learning-english
Improve Your English Communication Skills,Georgia Institute of Technology,specialization,https://www.coursera.org/specializations/improve-english,language-learning/learning-english
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,course,https://www.coursera.org/learn/speak-english-professionally,language-learning/learning-english
English for Business and Entrepreneurship,University of Pennsylvania,course,https://www.coursera.org/learn/business,language-learning/learning-english
Write Professional Emails in English,Georgia Institute of Technology,course,https://www.coursera.org/learn/professional-emails-english,language-learning/learning-english
Grammar and Punctuation,"University of California, Irvine",course,https://www.coursera.org/learn/grammar-punctuation,language-learning/learning-english
Tricky American English Pronunciation,"University of California, Irvine",course,https://www.coursera.org/learn/tricky-american-english-pronunciation,language-learning/learning-english
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,course,https://www.coursera.org/learn/stem,language-learning/learning-english
Arizona State University TESOL,Arizona State University,not specified,https://www.coursera.org/specializations/arizona-state-university-tesol,language-learning/learning-english
English for Journalism,University of Pennsylvania,course,https://www.coursera.org/learn/journalism,language-learning/learning-english
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,specialization,https://www.coursera.org/specializations/tesol,language-learning/learning-english
Learn English: Intermediate Grammar,"University of California, Irvine",specialization,https://www.coursera.org/specializations/intermediate-grammar,language-learning/learning-english
English Composition I,Duke University,course,https://www.coursera.org/learn/english-composition,language-learning/learning-english
Business English Communication Skills,University of Washington,specialization,https://www.coursera.org/specializations/business-english,language-learning/learning-english
Writing in English at University,Lund University,course,https://www.coursera.org/learn/writing-english-university,language-learning/learning-english
Perfect Tenses and Modals,"University of California, Irvine",course,https://www.coursera.org/learn/perfect-tenses-modals,language-learning/learning-english
Business English: Networking,University of Washington,course,https://www.coursera.org/learn/business-english-intro,language-learning/learning-english
Learn English,Tsinghua University,specialization,https://www.coursera.org/specializations/learn-english,language-learning/learning-english
English for Media Literacy,University of Pennsylvania,course,https://www.coursera.org/learn/media,language-learning/learning-english
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,specialization,https://www.coursera.org/specializations/tesol-certificate-2,language-learning/learning-english
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",specialization,https://www.coursera.org/specializations/advanced-grammar-punctuation,language-learning/learning-english
Clinical Terminology for International and U.S. Students,University of Pittsburgh,course,https://www.coursera.org/learn/clinical-terminology,language-learning/learning-english
Business English for Non-Native Speakers,The Hong Kong University of Science and Technology,specialization,https://www.coursera.org/specializations/business-english-speakers,language-learning/learning-english
Conversational English Skills,Tsinghua University,course,https://www.coursera.org/learn/conversational-english-skills,language-learning/learning-english
Lesson | Small Talk & Conversational Vocabulary,Georgia Institute of Technology,course,https://www.coursera.org/learn/lesson-small-talk-and-conversational-vocabulary,language-learning/learning-english
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",specialization,https://www.coursera.org/specializations/speaklistenenglish,language-learning/learning-english
Business English,Arizona State University,specialization,https://www.coursera.org/specializations/english-for-business,language-learning/learning-english
Verb Tenses and Passives,"University of California, Irvine",course,https://www.coursera.org/learn/verb-passives,language-learning/learning-english
Teach English Now! Teaching Language Online,Arizona State University,course,https://www.coursera.org/learn/teachlanguageonline,language-learning/learning-english
English for Teaching Purposes,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/teaching-english,language-learning/learning-english
"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,course,https://www.coursera.org/learn/tesol-writing,language-learning/learning-english
Academic Listening and Note-Taking,"University of California, Irvine",course,https://www.coursera.org/learn/note-taking,language-learning/learning-english
