title,university,form,link,category
Chinese for Beginners,Peking University,course,https://www.coursera.org/learn/learn-chinese,language-learning/other-languages
First Step Korean,Yonsei University,course,https://www.coursera.org/learn/learn-korean,language-learning/other-languages
Étudier en France: French Intermediate course B1-B2,École Polytechnique,course,https://www.coursera.org/learn/etudier-en-france,language-learning/other-languages
Greek and Roman Mythology,University of Pennsylvania,course,https://www.coursera.org/learn/mythology,language-learning/other-languages
Fundamentos de la escritura,Tecnológico de Monterrey,course,https://www.coursera.org/learn/escritura-esp,language-learning/other-languages
Learn to Speak Korean 1,Yonsei University,course,https://www.coursera.org/learn/learn-speak-korean1,language-learning/other-languages
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",specialization,https://www.coursera.org/specializations/learn-spanish,language-learning/other-languages
Spanish Vocabulary: Meeting People,"University of California, Davis",course,https://www.coursera.org/learn/spanish-vocabulary-meeting-people,language-learning/other-languages
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,course,https://www.coursera.org/learn/human-language,language-learning/other-languages
Learn Chinese: HSK Test Preparation,Peking University,specialization,https://www.coursera.org/specializations/hsk-learn-chinese,language-learning/other-languages
"Corrección, estilo y variaciones de la lengua española",Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/correccion-estilo-variaciones,language-learning/other-languages
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,specialization,https://www.coursera.org/specializations/russian-for-beginners-a1,language-learning/other-languages
Learn Mandarin Chinese,Shanghai Jiao Tong University,specialization,https://www.coursera.org/specializations/learn-mandarin,language-learning/other-languages
Психолингвистика (Psycholinguistics),Saint Petersburg State University,course,https://www.coursera.org/learn/psikholingvistika,language-learning/other-languages
Mandarin Chinese 1: Chinese for Beginners,Shanghai Jiao Tong University,course,https://www.coursera.org/learn/mandarin-chinese-1,language-learning/other-languages
Russian for beginners 1. Русский язык: A1,Saint Petersburg State University,course,https://www.coursera.org/learn/russian-a1-part1,language-learning/other-languages
Chinese for HSK 1,Peking University,course,https://www.coursera.org/learn/hsk-1,language-learning/other-languages
Fundamentos de la escritura académica,Tecnológico de Monterrey,course,https://www.coursera.org/learn/escritura-academica-esp,language-learning/other-languages
Chinese Characters for beginner 汉字,Peking University,course,https://www.coursera.org/learn/hanzi,language-learning/other-languages
Programming with Google Go,"University of California, Irvine",specialization,https://www.coursera.org/specializations/google-golang,language-learning/other-languages
Spanish for Successful Communication in Healthcare Settings,Rice University,course,https://www.coursera.org/learn/spanish-in-healthcare-settings,language-learning/other-languages
Chinese for HSK 4,Peking University,course,https://www.coursera.org/learn/hsk-4,language-learning/other-languages
Getting Started with Go,"University of California, Irvine",course,https://www.coursera.org/learn/golang-getting-started,language-learning/other-languages
Learning Chinese : Start From Scratch (零到一學中文),National Taiwan University,course,https://www.coursera.org/learn/learn-chinese-mandarin,language-learning/other-languages
Chinese for HSK 5,Peking University,course,https://www.coursera.org/learn/chinese-for-hsk5,language-learning/other-languages
Pluralidades em Português Brasileiro,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/brasileiro-portugues,language-learning/other-languages
Я говорю по-русски/ I speak Russian,National Research Tomsk State University,course,https://www.coursera.org/learn/ya-govoryu-po-russki,language-learning/other-languages
Русский как иностранный,Saint Petersburg State University,specialization,https://www.coursera.org/specializations/russkiy-kak-inostrannyy,language-learning/other-languages
Китайский для начинающих (Chinese for beginners),Saint Petersburg State University,course,https://www.coursera.org/learn/kitayskiy-dlya-nachinayushchikh,language-learning/other-languages
Spanish Vocabulary: Cultural Experience,"University of California, Davis",course,https://www.coursera.org/learn/spanish-vocabulary-cultural-experience,language-learning/other-languages
Russian Alphabet,Saint Petersburg State University,course,https://www.coursera.org/learn/russian-alphabet,language-learning/other-languages
Mandarin Chinese 2: Chinese for Beginners,Shanghai Jiao Tong University,course,https://www.coursera.org/learn/mandarin-chinese-2,language-learning/other-languages
Chinese for HSK 3 PART I,Peking University,course,https://www.coursera.org/learn/hsk-3,language-learning/other-languages
Mandarin Chinese 3: Chinese for Beginners,Shanghai Jiao Tong University,course,https://www.coursera.org/learn/mandarin-chinese-3,language-learning/other-languages
Русский как иностранный: B1+. Russian as a foreign language: B1+,Saint Petersburg State University,course,https://www.coursera.org/learn/russkiy-kak-inostrannyy-b1,language-learning/other-languages
Learn Mandarin Chinese: Capstone Project,Shanghai Jiao Tong University,course,https://www.coursera.org/learn/learn-mandarin-project,language-learning/other-languages
Chinese for HSK 6,Peking University,course,https://www.coursera.org/learn/chinese-for-hsk-6,language-learning/other-languages
More Chinese for Beginners,Peking University,course,https://www.coursera.org/learn/more-chinese-for-beginners,language-learning/other-languages
Chinese for HSK 2,Peking University,course,https://www.coursera.org/learn/hsk-2,language-learning/other-languages
"Ислам: история, культура, практика (Islam: history, culture, praxis)",Saint Petersburg State University,course,https://www.coursera.org/learn/islam-istoriya-kultura,language-learning/other-languages
Русский язык как инструмент успешной коммуникации,National Research Tomsk State University,course,https://www.coursera.org/learn/russian,language-learning/other-languages
Spanish Vocabulary: Careers and Social Events,"University of California, Davis",course,https://www.coursera.org/learn/spanish-vocabulary-careers,language-learning/other-languages
Learn Mandarin Chinese: Intermediate,Shanghai Jiao Tong University,specialization,https://www.coursera.org/specializations/learn-mandarin-chinese-intermediate,language-learning/other-languages
"Spanish Vocabulary: Sports, Travel, and the Home","University of California, Davis",course,https://www.coursera.org/learn/spanish-vocabulary-sports-travel-home,language-learning/other-languages
Spanish Vocabulary Project,"University of California, Davis",course,https://www.coursera.org/learn/spanish-vocabulary-project,language-learning/other-languages
Mandarin Chinese for Intermediate Learners: Part 1,Shanghai Jiao Tong University,course,https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1,language-learning/other-languages
Business Chinese 1 中级汉语 （上）,Shanghai Jiao Tong University,course,https://www.coursera.org/learn/intermediate-business-chinese-1,language-learning/other-languages
