title,university,form,link,category
Dog Emotion and Cognition,Duke University,course,https://www.coursera.org/learn/dog-emotion-and-cognition,life-sciences/animal-health
Animal Behaviour and Welfare,The University of Edinburgh,course,https://www.coursera.org/learn/animal-welfare,life-sciences/animal-health
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,course,https://www.coursera.org/learn/becoming-a-veterinarian,life-sciences/animal-health
The Truth About Cats and Dogs,The University of Edinburgh,course,https://www.coursera.org/learn/cats-and-dogs,life-sciences/animal-health
Bugs 101: Insect-Human Interactions,University of Alberta,course,https://www.coursera.org/learn/bugs-101,life-sciences/animal-health
Equine Welfare and Management,"University of California, Davis",course,https://www.coursera.org/learn/equine,life-sciences/animal-health
The Horse Course: Introduction to Basic Care and Management,University of Florida,course,https://www.coursera.org/learn/horse-care,life-sciences/animal-health
Dairy Production and Management,The Pennsylvania State University,course,https://www.coursera.org/learn/dairy-production,life-sciences/animal-health
Chicken Behaviour and Welfare,The University of Edinburgh,course,https://www.coursera.org/learn/chickens,life-sciences/animal-health
Sustainable Food Production Through Livestock Health Management,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/livestock-farming,life-sciences/animal-health
