title,university,form,link,category
Science of Exercise,University of Colorado Boulder,course,https://www.coursera.org/learn/science-exercise,life-sciences/basic-science
Writing in the Sciences,Stanford University,course,https://www.coursera.org/learn/sciwrite,life-sciences/basic-science
Introductory Human Physiology,Duke University,course,https://www.coursera.org/learn/physiology,life-sciences/basic-science
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,course,https://www.coursera.org/learn/trunk-anatomy,life-sciences/basic-science
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,course,https://www.coursera.org/learn/neurobiology,life-sciences/basic-science
Positive Psychiatry and Mental Health,The University of Sydney,course,https://www.coursera.org/learn/positive-psychiatry,life-sciences/basic-science
Introduction to the Biology of Cancer,Johns Hopkins University,course,https://www.coursera.org/learn/cancer,life-sciences/basic-science
Anatomy,University of Michigan,specialization,https://www.coursera.org/specializations/anatomy,life-sciences/basic-science
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,course,https://www.coursera.org/learn/epidemics,life-sciences/basic-science
¡¿Cómo?! ¿Química en mi casa?,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/quimica-en-mi-casa,life-sciences/basic-science
Biohacking Your Brain's Health,Emory University,course,https://www.coursera.org/learn/biohacking-your-brains-health,life-sciences/basic-science
Introduction to Genetics and Evolution,Duke University,course,https://www.coursera.org/learn/genetics-evolution,life-sciences/basic-science
Fundamentals of Immunology,Rice University,specialization,https://www.coursera.org/specializations/immunology,life-sciences/basic-science
Introduction to Dental Medicine,University of Pennsylvania,course,https://www.coursera.org/learn/dental-medicine-penn,life-sciences/basic-science
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,course,https://www.coursera.org/learn/plantknows,life-sciences/basic-science
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,course,https://www.coursera.org/learn/immunologyfundamentalsimmunitybcells,life-sciences/basic-science
Origens da Vida no Contexto Cósmico,Universidade de São Paulo,course,https://www.coursera.org/learn/origensdavida,life-sciences/basic-science
Introduction to Forensic Science,"Nanyang Technological University, Singapore",course,https://www.coursera.org/learn/forensic-science,life-sciences/basic-science
Hacking Exercise For Health. The surprising new science of fitness.,McMaster University,course,https://www.coursera.org/learn/hacking-exercise-health,life-sciences/basic-science
Introduction to Breast Cancer,Yale University,course,https://www.coursera.org/learn/breast-cancer-causes-prevention,life-sciences/basic-science
The Addicted Brain,Emory University,course,https://www.coursera.org/learn/addiction-and-the-brain,life-sciences/basic-science
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,course,https://www.coursera.org/learn/anatomy403-1x,life-sciences/basic-science
Engineering Health: Introduction to Yoga and Physiology,New York University Tandon School of Engineering,course,https://www.coursera.org/learn/engineering-health-yoga-physiology,life-sciences/basic-science
Dino 101: Dinosaur Paleobiology,University of Alberta,course,https://www.coursera.org/learn/dino101,life-sciences/basic-science
The Science of Gastronomy,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/gastronomy,life-sciences/basic-science
Industrial Biotechnology,University of Manchester,course,https://www.coursera.org/learn/industrial-biotech,life-sciences/basic-science
Implant Dentistry,The University of Hong Kong,course,https://www.coursera.org/learn/implant-dentistry,life-sciences/basic-science
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,course,https://www.coursera.org/learn/neuroscience-neuroimaging,life-sciences/basic-science
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,course,https://www.coursera.org/learn/global-sustainable-development,life-sciences/basic-science
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,course,https://www.coursera.org/learn/ecology-conservation,life-sciences/basic-science
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,course,https://www.coursera.org/learn/oralcavity,life-sciences/basic-science
Bugs 101: Insect-Human Interactions,University of Alberta,course,https://www.coursera.org/learn/bugs-101,life-sciences/basic-science
Gut Check: Exploring Your Microbiome,University of Colorado Boulder,course,https://www.coursera.org/learn/microbiome,life-sciences/basic-science
Everyday Chinese Medicine,The Chinese University of Hong Kong,course,https://www.coursera.org/learn/everyday-chinese-medicine,life-sciences/basic-science
Основы вирусологии (Introduction to Virology),Novosibirsk State University,course,https://www.coursera.org/learn/nsu-virology,life-sciences/basic-science
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,Universiteit Leiden,course,https://www.coursera.org/learn/abdomen-anatomy,life-sciences/basic-science
Understanding Cancer Metastasis,Johns Hopkins University,course,https://www.coursera.org/learn/cancer-metastasis,life-sciences/basic-science
Epigenetic Control of Gene Expression,The University of Melbourne,course,https://www.coursera.org/learn/epigenetics,life-sciences/basic-science
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,course,https://www.coursera.org/learn/sleep,life-sciences/basic-science
"Química, guerra y ética",Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/quimica-etica,life-sciences/basic-science
Charles Darwin: El origen del evolucionismo moderno,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/darwin-origen-evolucionismo-moderno,life-sciences/basic-science
Chemicals and Health,Johns Hopkins University,course,https://www.coursera.org/learn/chemicals-health,life-sciences/basic-science
The Science of Stem Cells,American Museum of Natural History,course,https://www.coursera.org/learn/stem-cells,life-sciences/basic-science
Генетика (Genetics),Novosibirsk State University,course,https://www.coursera.org/learn/nsu-genetics,life-sciences/basic-science
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),course,https://www.coursera.org/learn/antimicrobial-resistance,life-sciences/basic-science
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,course,https://www.coursera.org/learn/truthinourbones-osteoarchaeology-archaeology,life-sciences/basic-science
Music as Biology: What We Like to Hear and Why,Duke University,course,https://www.coursera.org/learn/music-as-biology,life-sciences/basic-science
"Synapses, Neurons and Brains",Hebrew University of Jerusalem,course,https://www.coursera.org/learn/synapses,life-sciences/basic-science
Genomics: Decoding the Universal Language of Life,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/genomics-research,life-sciences/basic-science
Advanced Neurobiology I,Peking University,course,https://www.coursera.org/learn/advanced-neurobiology1,life-sciences/basic-science
