title,university,form,link,category
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,course,https://www.coursera.org/learn/bioinformatics,life-sciences/health-informatics
Bioinformatics,University of California San Diego,specialization,https://www.coursera.org/specializations/bioinformatics,life-sciences/health-informatics
Finding Hidden Messages in DNA (Bioinformatics I),University of California San Diego,course,https://www.coursera.org/learn/dna-analysis,life-sciences/health-informatics
Computational Neuroscience,University of Washington,course,https://www.coursera.org/learn/computational-neuroscience,life-sciences/health-informatics
Bioinformatic Methods I,University of Toronto,course,https://www.coursera.org/learn/bioinformatics-methods-1,life-sciences/health-informatics
Python for Genomic Data Science,Johns Hopkins University,course,https://www.coursera.org/learn/python-genomics,life-sciences/health-informatics
Health Informatics,Johns Hopkins University,specialization,https://www.coursera.org/specializations/health-informatics,life-sciences/health-informatics
Genomic Data Science with Galaxy,Johns Hopkins University,course,https://www.coursera.org/learn/galaxy-project,life-sciences/health-informatics
The Social and Technical Context of Health Informatics,Johns Hopkins University,course,https://www.coursera.org/learn/the-socio-technical-health-informatics-context,life-sciences/health-informatics
Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,Peking University,course,https://www.coursera.org/learn/bioinformatics-pku,life-sciences/health-informatics
"Big Data, Genes, and Medicine",The State University of New York,course,https://www.coursera.org/learn/data-genes-medicine,life-sciences/health-informatics
Principles of fMRI 1,Johns Hopkins University,course,https://www.coursera.org/learn/functional-mri,life-sciences/health-informatics
Введение в биоинформатику (Introduction to Bioinformatics),Saint Petersburg State University,course,https://www.coursera.org/learn/bioinformatika,life-sciences/health-informatics
Introduction to Clinical Data Science,University of Colorado System,course,https://www.coursera.org/learn/introduction-clinical-data-science,life-sciences/health-informatics
Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,course,https://www.coursera.org/learn/datascimed,life-sciences/health-informatics
Algorithms on Strings,University of California San Diego,course,https://www.coursera.org/learn/algorithms-on-strings,life-sciences/health-informatics
Statistics for Genomic Data Science,Johns Hopkins University,course,https://www.coursera.org/learn/statistical-genomics,life-sciences/health-informatics
Command Line Tools for Genomic Data Science,Johns Hopkins University,course,https://www.coursera.org/learn/genomic-tools,life-sciences/health-informatics
