title,university,form,link,category
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,course,https://www.coursera.org/learn/manage-health-covid-19,life-sciences/healthcare-management
Drug Discovery,University of California San Diego,course,https://www.coursera.org/learn/drug-discovery,life-sciences/healthcare-management
The Business of Health Care,University of Pennsylvania,specialization,https://www.coursera.org/specializations/healthcare-administration-management,life-sciences/healthcare-management
Saúde Baseada em Evidências,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/sbe,life-sciences/healthcare-management
Leading Healthcare Quality and Safety,The George Washington University,course,https://www.coursera.org/learn/quality-healthcare,life-sciences/healthcare-management
Drug Commercialization,University of California San Diego,course,https://www.coursera.org/learn/drug-commercialization,life-sciences/healthcare-management
Healthcare Marketplace,University of Minnesota,specialization,https://www.coursera.org/specializations/healthcare-marketplace,life-sciences/healthcare-management
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,course,https://www.coursera.org/learn/clinicalsimulations,life-sciences/healthcare-management
Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I),Johns Hopkins University,course,https://www.coursera.org/learn/patient-safety-systems-view,life-sciences/healthcare-management
Foundations of Public Health Practice,Imperial College London,specialization,https://www.coursera.org/specializations/foundations-public-health-practice,life-sciences/healthcare-management
The Economics of Health Care Delivery,University of Pennsylvania,course,https://www.coursera.org/learn/health-economics-us-healthcare-systems,life-sciences/healthcare-management
Healthcare Organization Operations,Rutgers the State University of New Jersey,specialization,https://www.coursera.org/specializations/healthcare-organization-operations,life-sciences/healthcare-management
eHealth: More than just an electronic record,The University of Sydney,course,https://www.coursera.org/learn/ehealth,life-sciences/healthcare-management
Health Care Innovation,University of Pennsylvania,course,https://www.coursera.org/learn/wo-pmo-healthcareinnovation,life-sciences/healthcare-management
Healthcare Law,University of Pennsylvania,specialization,https://www.coursera.org/specializations/healthcare-law,life-sciences/healthcare-management
Healthcare Marketplace,University of Minnesota,course,https://www.coursera.org/learn/healthcare-marketplace,life-sciences/healthcare-management
Health Care IT: Challenges and Opportunities,Icahn School of Medicine at Mount Sinai,course,https://www.coursera.org/learn/healthcare-it,life-sciences/healthcare-management
Healthcare Organizations and the Health System,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/healthcare-organizations-health-system,life-sciences/healthcare-management
Population Health: Fundamentals of Population Health Management,Universiteit Leiden,course,https://www.coursera.org/learn/fundamentals-population-health-management,life-sciences/healthcare-management
Healthcare Trends for Business Professionals,Northeastern University,specialization,https://www.coursera.org/specializations/healthcare-trends-business-professionals,life-sciences/healthcare-management
U.S. Health Law Fundamentals,University of Pennsylvania,course,https://www.coursera.org/learn/health-law-fundamentals,life-sciences/healthcare-management
Clinical Data Models and Data Quality Assessments,University of Colorado System,course,https://www.coursera.org/learn/clinical-data-models-and-data-quality-assessments,life-sciences/healthcare-management
Severe to Profound Intellectual Disability: Circles of Care and Education,University of Cape Town,course,https://www.coursera.org/learn/intellectual-disability-care-education,life-sciences/healthcare-management
Medical Technology and Evaluation,University of Minnesota,course,https://www.coursera.org/learn/healthcare-medical-technology,life-sciences/healthcare-management
Quality Improvement in Healthcare Organizations,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/quality-improvement-in-healthcare-organizations,life-sciences/healthcare-management
Setting the Stage for Success: An Eye on Safety Culture and Teamwork (Patient Safety II),Johns Hopkins University,course,https://www.coursera.org/learn/patient-safety-culture,life-sciences/healthcare-management
The Science of Health Care Delivery,Arizona State University,course,https://www.coursera.org/learn/science-healthcare-delivery,life-sciences/healthcare-management
Business Models for Innovative Care for Older People,University of Copenhagen,course,https://www.coursera.org/learn/business-models-innovative-care,life-sciences/healthcare-management
Business Process Management in Healthcare Organizations,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/business-process-management-in-healthcare-organizations,life-sciences/healthcare-management
Planning a Patient Safety or Quality Improvement Project (Patient Safety III),Johns Hopkins University,course,https://www.coursera.org/learn/patient-safety-project-planning,life-sciences/healthcare-management
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",Columbia University,course,https://www.coursera.org/learn/hi-five-admin-it,life-sciences/healthcare-management
Leading Change in Health Informatics,Johns Hopkins University,course,https://www.coursera.org/learn/leading-change-health-informatics,life-sciences/healthcare-management
Foundations of Public Health Practice: The Public Health Toolkit,Imperial College London,course,https://www.coursera.org/learn/the-public-health-toolkit,life-sciences/healthcare-management
Healthcare Consumerism and Implication for Care Delivery,Northeastern University,course,https://www.coursera.org/learn/healthcareconsumerism,life-sciences/healthcare-management
Fixing Healthcare Delivery,University of Florida,course,https://www.coursera.org/learn/fixing-healthcare,life-sciences/healthcare-management
Healthcare Delivery Providers,University of Minnesota,course,https://www.coursera.org/learn/healthcare-delivery-providers,life-sciences/healthcare-management
Fixing Healthcare Delivery 2.0: Advanced Lean,University of Florida,course,https://www.coursera.org/learn/fixing-healthcare-delivery-advanced-lean,life-sciences/healthcare-management
Future Healthcare Payment Models,Northeastern University,course,https://www.coursera.org/learn/healthcare-payment-models,life-sciences/healthcare-management
Intellectual Property in the Healthcare Industry,University of Pennsylvania,course,https://www.coursera.org/learn/intellectual-property-healthcare-industry,life-sciences/healthcare-management
Population Health: Alternative Payment Models,Universiteit Leiden,course,https://www.coursera.org/learn/alternative-payment-models,life-sciences/healthcare-management
