title,university,form,link,category
Stanford Introduction to Food and Health,Stanford University,course,https://www.coursera.org/learn/food-and-health,life-sciences/nutrition
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,life-sciences/nutrition
Child Nutrition and Cooking,Stanford University,course,https://www.coursera.org/learn/childnutrition,life-sciences/nutrition
Weight Management: Beyond Balancing Calories,Emory University,course,https://www.coursera.org/learn/weight-management-beyond-balancing-calories,life-sciences/nutrition
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2,life-sciences/nutrition
Agricultura urbana y periurbana,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/agricultura-urbana,life-sciences/nutrition
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",course,https://www.coursera.org/learn/wine,life-sciences/nutrition
Designing Your Personal Weight Loss Plan,Case Western Reserve University,course,https://www.coursera.org/learn/weight-loss-plan,life-sciences/nutrition
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),course,https://www.coursera.org/learn/nutrition-pregnancy,life-sciences/nutrition
"Молекулярная диетология: гены, еда и здоровье",National Research Tomsk State University,course,https://www.coursera.org/learn/molekulyarnaya-dietologiya,life-sciences/nutrition
Innovación agroalimentaria,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/innovacion-agro,life-sciences/nutrition
Understanding Obesity,The University of Edinburgh,course,https://www.coursera.org/learn/understanding-obesity,life-sciences/nutrition
Seguridad agroalimentaria,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/seguridad-alimentaria,life-sciences/nutrition
Diabetes – the Essential Facts,University of Copenhagen,course,https://www.coursera.org/learn/diabetes-essential-facts,life-sciences/nutrition
Alimentación y dietética para una vuelta al mundo a vela,Universitat de Barcelona,course,https://www.coursera.org/learn/alimentacion-vuelta-al-mundo,life-sciences/nutrition
The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,course,https://www.coursera.org/learn/new-nordic-diet,life-sciences/nutrition
The Meat We Eat,University of Florida,course,https://www.coursera.org/learn/meat-we-eat,life-sciences/nutrition
食品安全與毒理 (Food Safety & Toxicology),National Taiwan University,course,https://www.coursera.org/learn/shipin-anquan,life-sciences/nutrition
ГМО: технологии создания и применение,Novosibirsk State University,course,https://www.coursera.org/learn/gmo,life-sciences/nutrition
食品安全與風險分析（Food Safety＆Risk Analysis）,National Taiwan University,course,https://www.coursera.org/learn/foodsafety2,life-sciences/nutrition
