title,university,form,link,category
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,course,https://www.coursera.org/learn/vital-signs,life-sciences/patient-care
Farmacología para odontólogos,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/farmaco-odontologos,life-sciences/patient-care
COVID-19: What You Need to Know (CME Eligible),Osmosis,course,https://www.coursera.org/learn/covid-19-what-you-need-to-know,life-sciences/patient-care
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/cuidado-heridas,life-sciences/patient-care
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/enfermedades-no-transmisibles,life-sciences/patient-care
Autism Spectrum Disorder,"University of California, Davis",course,https://www.coursera.org/learn/autism-spectrum-disorder,life-sciences/patient-care
Clinical Terminology for International and U.S. Students,University of Pittsburgh,course,https://www.coursera.org/learn/clinical-terminology,life-sciences/patient-care
Inclusión social de personas con discapacidad desde un enfoque de derechos.,Universidad de Chile,course,https://www.coursera.org/learn/inclusion-social-personas-discapacidad,life-sciences/patient-care
Diálisis peritoneal,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/dialisis-peritoneal,life-sciences/patient-care
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,course,https://www.coursera.org/learn/addiction-treatment,life-sciences/patient-care
Become an EMT,University of Colorado System,specialization,https://www.coursera.org/specializations/become-an-emt,life-sciences/patient-care
Stanford's Short Course on Breastfeeding,Stanford University,course,https://www.coursera.org/learn/breastfeeding,life-sciences/patient-care
Integrative Health and Medicine,University of Minnesota,specialization,https://www.coursera.org/specializations/integrative-health-and-medicine,life-sciences/patient-care
Spanish for Successful Communication in Healthcare Settings,Rice University,course,https://www.coursera.org/learn/spanish-in-healthcare-settings,life-sciences/patient-care
Manejo moderno de la caries dental,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/tratamiento-caries,life-sciences/patient-care
Bacteria and Chronic Infections,University of Copenhagen,course,https://www.coursera.org/learn/bacterial-infections,life-sciences/patient-care
Troubles du spectre de l'autisme : diagnostic,University of Geneva,course,https://www.coursera.org/learn/troubles-spectre-autisme-diagnostic,life-sciences/patient-care
Dermatology: Trip to skin,Novosibirsk State University,course,https://www.coursera.org/learn/dermatology,life-sciences/patient-care
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,course,https://www.coursera.org/learn/physical-therapy-exercise,life-sciences/patient-care
Evaluación del Aprendizaje en Escenarios Clínicos,Tecnológico de Monterrey,course,https://www.coursera.org/learn/evaluacion-aprendizaje-escenarios-clinicos,life-sciences/patient-care
EMT Foundations,University of Colorado System,course,https://www.coursera.org/learn/emt-foundations,life-sciences/patient-care
Patient Safety,Johns Hopkins University,specialization,https://www.coursera.org/specializations/patient-safety,life-sciences/patient-care
School Health for Children and Adolescents,University of Colorado System,specialization,https://www.coursera.org/specializations/school-health-for-children-and-adolescents,life-sciences/patient-care
"Medical Emergencies: Airway, Breathing, and Circulation",University of Colorado System,course,https://www.coursera.org/learn/medical-emergencies-airway-breathing-circulation,life-sciences/patient-care
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,course,https://www.coursera.org/learn/clinicalsimulations,life-sciences/patient-care
Herbal Medicine,University of Minnesota,course,https://www.coursera.org/learn/herbalmedicine,life-sciences/patient-care
Farmacovigilancia ocular,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/farmacovigilancia-ocular,life-sciences/patient-care
Health Concepts in Chinese Medicine,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/health-concepts-chinese-medicine,life-sciences/patient-care
Dentistry 101,University of Michigan,course,https://www.coursera.org/learn/dentistry101,life-sciences/patient-care
Preventing Chronic Pain: A Human Systems Approach,University of Minnesota,course,https://www.coursera.org/learn/chronic-pain,life-sciences/patient-care
Newborn Baby Care,University of Colorado System,specialization,https://www.coursera.org/specializations/newborn-baby-care,life-sciences/patient-care
Case Studies in Personalized Medicine,Vanderbilt University,course,https://www.coursera.org/learn/personalizedmed,life-sciences/patient-care
Myocardial Infarction,University of Zurich,course,https://www.coursera.org/learn/infarction,life-sciences/patient-care
Medical Cannabis for Pain Control,Technion - Israel Institute of Technology,course,https://www.coursera.org/learn/medical-cannabis-pain-control,life-sciences/patient-care
Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,course,https://www.coursera.org/learn/healthcarejobs,life-sciences/patient-care
Actúa ante el dolor crónico,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/actua-dolor-cronico,life-sciences/patient-care
Introduction to Integrative Therapies and Healing Practices,University of Minnesota,course,https://www.coursera.org/learn/integrative-therapies-and-healing-practices,life-sciences/patient-care
"Managing ADHD, Autism, Learning Disabilities, and Concussion in School",University of Colorado System,course,https://www.coursera.org/learn/managing-adhd-autism-learning-disabilities-and-concussion-in-school,life-sciences/patient-care
"Medical Emergencies: CPR, Toxicology, and Wilderness",University of Colorado System,course,https://www.coursera.org/learn/medical-emergencies-cpr-toxicology-wilderness,life-sciences/patient-care
"Clinical Kidney, Pancreas and Islet Transplantation",Universiteit Leiden,course,https://www.coursera.org/learn/clinical-kidney-transplantation,life-sciences/patient-care
Preventative Healthcare for the Newborn Baby,University of Colorado System,course,https://www.coursera.org/learn/preventive-healthcare-newborn-baby,life-sciences/patient-care
Trauma Emergencies and Care,University of Colorado System,course,https://www.coursera.org/learn/trauma-emergencies-and-care,life-sciences/patient-care
The Basics of Trauma Surgery,Technische Universität München (TUM),course,https://www.coursera.org/learn/trauma-surgery-basics,life-sciences/patient-care
Acute and Chronic Rhinosinusitis: A Comprehensive Review,Icahn School of Medicine at Mount Sinai,course,https://www.coursera.org/learn/icahn-school-of-medicine-at-mount-sinai-acute-and-chronic-rhinosinusitis,life-sciences/patient-care
Introduction to Cataract Surgery,University of Michigan,course,https://www.coursera.org/learn/cataract-surgery,life-sciences/patient-care
Michigan Sport-Related Concussion Training Certification,University of Michigan,course,https://www.coursera.org/learn/michigan-sport-related-concussion-training-certification,life-sciences/patient-care
