title,university,form,link,category
Introduction to Psychology,Yale University,course,https://www.coursera.org/learn/introduction-psychology,life-sciences/psychology
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/pap,life-sciences/psychology
Social Psychology,Wesleyan University,course,https://www.coursera.org/learn/social-psychology,life-sciences/psychology
Buddhism and Modern Psychology,Princeton University,course,https://www.coursera.org/learn/science-of-meditation,life-sciences/psychology
Psychological First Aid,Johns Hopkins University,course,https://www.coursera.org/learn/psychological-first-aid,life-sciences/psychology
Neurolinguistics,Saint Petersburg State University,course,https://www.coursera.org/learn/neuroling,life-sciences/psychology
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,course,https://www.coursera.org/learn/mindshift,life-sciences/psychology
Introduction to Psychology,University of Toronto,course,https://www.coursera.org/learn/introduction-psych,life-sciences/psychology
A Life of Happiness and Fulfillment,Indian School of Business,course,https://www.coursera.org/learn/happiness,life-sciences/psychology
Moralities of Everyday Life,Yale University,course,https://www.coursera.org/learn/moralities,life-sciences/psychology
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,course,https://www.coursera.org/learn/manage-health-covid-19,life-sciences/psychology
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,course,https://www.coursera.org/learn/human-needs,life-sciences/psychology
Everyday Parenting: The ABCs of Child Rearing,Yale University,course,https://www.coursera.org/learn/everyday-parenting,life-sciences/psychology
Sexualidad...mucho más que sexo,Universidad de los Andes,course,https://www.coursera.org/learn/sexualidad,life-sciences/psychology
Positive Psychology,The University of North Carolina at Chapel Hill,course,https://www.coursera.org/learn/positive-psychology,life-sciences/psychology
Preparing to Manage Human Resources,University of Minnesota,course,https://www.coursera.org/learn/managing-human-resources,life-sciences/psychology
Introduction to User Experience Design,Georgia Institute of Technology,course,https://www.coursera.org/learn/user-experience-design,life-sciences/psychology
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,course,https://www.coursera.org/learn/positive-psychology-visionary-science,life-sciences/psychology
Основы поиска дела жизни. Часть 1. Как перестать откладывать дела на потом?,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/prednaznachenie-delo-jizni,life-sciences/psychology
Positive Psychology: Resilience Skills,University of Pennsylvania,course,https://www.coursera.org/learn/positive-psychology-resilience,life-sciences/psychology
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,course,https://www.coursera.org/learn/neuromarketing,life-sciences/psychology
Психология сознания (Psychology of consciousness),Saint Petersburg State University,course,https://www.coursera.org/learn/psikhologiya-soznaniya,life-sciences/psychology
Психология коммуникации,National Research University Higher School of Economics,course,https://www.coursera.org/learn/psikhologiya-kommunikacii,life-sciences/psychology
"Bienestar, equidad y derechos humanos",Universidad de los Andes,course,https://www.coursera.org/learn/bienestar-equidad-derechos-humanos,life-sciences/psychology
Психолингвистика (Psycholinguistics),Saint Petersburg State University,course,https://www.coursera.org/learn/psikholingvistika,life-sciences/psychology
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,course,https://www.coursera.org/learn/addiction-treatment,life-sciences/psychology
Diseño de proyectos para promover el bienestar,Universidad de los Andes,course,https://www.coursera.org/learn/diseno-proyectos-promocion-bienestar,life-sciences/psychology
Développement psychologique de l'enfant,University of Geneva,course,https://www.coursera.org/learn/enfant-developpement,life-sciences/psychology
Understanding Memory: Explaining the Psychology of Memory through Movies,Wesleyan University,course,https://www.coursera.org/learn/memory-and-movies,life-sciences/psychology
Sexualidad y educación,Universidad de los Andes,course,https://www.coursera.org/learn/sexualidad-y-educacion,life-sciences/psychology
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,course,https://www.coursera.org/learn/childrens-rights,life-sciences/psychology
Improving your statistical inferences,Eindhoven University of Technology,course,https://www.coursera.org/learn/statistical-inferences,life-sciences/psychology
Troubles du spectre de l'autisme : diagnostic,University of Geneva,course,https://www.coursera.org/learn/troubles-spectre-autisme-diagnostic,life-sciences/psychology
Emotions: a Philosophical Introduction,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/emotions,life-sciences/psychology
Primeros Auxilios Psicológicos (PAP). Edición especial COVID-19,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/pap-covid19,life-sciences/psychology
