title,university,form,link,category
Science Matters: Let's Talk About COVID-19,Imperial College London,course,https://www.coursera.org/learn/covid-19,life-sciences/public-health
Fighting COVID-19 with Epidemiology: A Johns Hopkins Teach-Out,Johns Hopkins University,course,https://www.coursera.org/learn/covid19-epidemiology,life-sciences/public-health
Epidemiology in Public Health Practice,Johns Hopkins University,specialization,https://www.coursera.org/specializations/professional-epidemiology,life-sciences/public-health
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,course,https://www.coursera.org/learn/epidemiology-tools,life-sciences/public-health
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/revisao-sistematica,life-sciences/public-health
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,course,https://www.coursera.org/learn/epidemiology,life-sciences/public-health
COVID-19: What You Need to Know (CME Eligible),Osmosis,course,https://www.coursera.org/learn/covid-19-what-you-need-to-know,life-sciences/public-health
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,course,https://www.coursera.org/learn/cuidados-del-recien-nacido,life-sciences/public-health
International Women's Health and Human Rights,Stanford University,course,https://www.coursera.org/learn/womens-health-human-rights,life-sciences/public-health
Essentials of Global Health,Yale University,course,https://www.coursera.org/learn/essentials-global-health,life-sciences/public-health
Inclusión social de personas con discapacidad desde un enfoque de derechos.,Universidad de Chile,course,https://www.coursera.org/learn/inclusion-social-personas-discapacidad,life-sciences/public-health
Biostatistics in Public Health,Johns Hopkins University,specialization,https://www.coursera.org/specializations/biostatistics-public-health,life-sciences/public-health
Statistical Analysis with R for Public Health,Imperial College London,specialization,https://www.coursera.org/specializations/statistical-analysis-r-public-health,life-sciences/public-health
Compreendendo o Zika e doenças emergentes,Universidade de São Paulo,course,https://www.coursera.org/learn/zika-e-doencas-emergentes,life-sciences/public-health
Stories of Infection,Stanford University,course,https://www.coursera.org/learn/stories-of-infection,life-sciences/public-health
Summary Statistics in Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/summary-statistics,life-sciences/public-health
Data and Health Indicators in Public Health Practice,Johns Hopkins University,course,https://www.coursera.org/learn/data-public-health,life-sciences/public-health
Dermatology: Trip to skin,Novosibirsk State University,course,https://www.coursera.org/learn/dermatology,life-sciences/public-health
Antibiotic Stewardship,Stanford University,course,https://www.coursera.org/learn/antibiotic-stewardship,life-sciences/public-health
Foundations of Global Health,Johns Hopkins University,specialization,https://www.coursera.org/specializations/global-health,life-sciences/public-health
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,course,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health,life-sciences/public-health
Evaluación del Aprendizaje en Escenarios Clínicos,Tecnológico de Monterrey,course,https://www.coursera.org/learn/evaluacion-aprendizaje-escenarios-clinicos,life-sciences/public-health
Outbreaks and Epidemics,Johns Hopkins University,course,https://www.coursera.org/learn/outbreaks-epidemics,life-sciences/public-health
Health Across the Gender Spectrum,Stanford University,course,https://www.coursera.org/learn/health-gender-spectrum,life-sciences/public-health
The Challenges of Global Health,Duke University,course,https://www.coursera.org/learn/global-health,life-sciences/public-health
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,course,https://www.coursera.org/learn/resilience-in-children,life-sciences/public-health
Systems Thinking In Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/systems-thinking,life-sciences/public-health
Epidemics,The University of Hong Kong,course,https://www.coursera.org/learn/hkuepidemics,life-sciences/public-health
