title,university,form,link,category
Science Matters: Let's Talk About COVID-19,Imperial College London,course,https://www.coursera.org/learn/covid-19,life-sciences/research
Medical Neuroscience,Duke University,course,https://www.coursera.org/learn/medical-neuroscience,life-sciences/research
Epidemiology in Public Health Practice,Johns Hopkins University,specialization,https://www.coursera.org/specializations/professional-epidemiology,life-sciences/research
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,course,https://www.coursera.org/learn/epidemiology-tools,life-sciences/research
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/revisao-sistematica,life-sciences/research
Understanding Clinical Research: Behind the Statistics,University of Cape Town,course,https://www.coursera.org/learn/clinical-research,life-sciences/research
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,course,https://www.coursera.org/learn/systematic-review,life-sciences/research
Design and Interpretation of Clinical Trials,Johns Hopkins University,course,https://www.coursera.org/learn/clinical-trials,life-sciences/research
Drug Development,University of California San Diego,course,https://www.coursera.org/learn/drug-development,life-sciences/research
Data Management for Clinical Research,Vanderbilt University,course,https://www.coursera.org/learn/clinical-data-management,life-sciences/research
Outbreaks and Epidemics,Johns Hopkins University,course,https://www.coursera.org/learn/outbreaks-epidemics,life-sciences/research
Whole genome sequencing of bacterial genomes - tools and applications,Technical University of Denmark (DTU),course,https://www.coursera.org/learn/wgs-bacteria,life-sciences/research
Genomics: Decoding the Universal Language of Life,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/genomics-research,life-sciences/research
Surveillance Systems: The Building Blocks,Johns Hopkins University,course,https://www.coursera.org/learn/epidemiology-surveillance-systems,life-sciences/research
Aromatherapy: Clinical Use of Essential Oils,University of Minnesota,course,https://www.coursera.org/learn/aromatherapy-clinical-use-essential-oils,life-sciences/research
"Surveillance Systems: Analysis, Dissemination, and Special Systems",Johns Hopkins University,course,https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis,life-sciences/research
Getting started in cryo-EM,Caltech,course,https://www.coursera.org/learn/cryo-em,life-sciences/research
MRI Fundamentals,Korea Advanced Institute of Science and Technology(KAIST),course,https://www.coursera.org/learn/mri-fundamentals,life-sciences/research
Pharmaceutical and Medical Device Innovations,University of Minnesota,course,https://www.coursera.org/learn/pharma-medical-device-innovations,life-sciences/research
Mindfulness in Integrative Healthcare,University of Minnesota,course,https://www.coursera.org/learn/mindfulness-integrative-healthcare,life-sciences/research
Experimental Methods in Systems Biology,Icahn School of Medicine at Mount Sinai,course,https://www.coursera.org/learn/experimental-methods,life-sciences/research
Medical Applications of Particle Accelerators (NPAP MOOC),Lund University,course,https://www.coursera.org/learn/medical-applications-particle-accelerators,life-sciences/research
Guided Imagery,University of Minnesota,course,https://www.coursera.org/learn/guided-imagery,life-sciences/research
Power and Sample Size for Multilevel and Longitudinal Study Designs,University of Florida,course,https://www.coursera.org/learn/power-sample-size,life-sciences/research
Extracellular Vesicles in Health and Disease,"University of California, Irvine",course,https://www.coursera.org/learn/extracellular-vesicles-health-disease,life-sciences/research
Population Health: Study Design,Universiteit Leiden,course,https://www.coursera.org/learn/population-health-study-design,life-sciences/research
Биосенсоры,Novosibirsk State University,course,https://www.coursera.org/learn/biosensory,life-sciences/research
社会调查与研究方法 （上）Methodologies in Social Research (Part I),Peking University,course,https://www.coursera.org/learn/shehu-yanjiu-fangfa,life-sciences/research
Doing Clinical Research: Biostatistics with the Wolfram Language,University of Cape Town,course,https://www.coursera.org/learn/clinical-research-biostatistics-wolfram,life-sciences/research
Foundations of Health Equity Research,Johns Hopkins University,course,https://www.coursera.org/learn/health-equity-research,life-sciences/research
