title,university,form,link,category
The Data Scientist’s Toolbox,Johns Hopkins University,course,https://www.coursera.org/learn/data-scientists-tools,math-and-logic/math-and-logic
Mathematics for Machine Learning,Imperial College London,specialization,https://www.coursera.org/specializations/mathematics-machine-learning,math-and-logic/math-and-logic
Game Theory,Stanford University,course,https://www.coursera.org/learn/game-theory-1,math-and-logic/math-and-logic
Álgebra Básica,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/algebra-basica,math-and-logic/math-and-logic
SQL for Data Science,"University of California, Davis",course,https://www.coursera.org/learn/sql-for-data-science,math-and-logic/math-and-logic
Mathematics for Machine Learning: Linear Algebra,Imperial College London,course,https://www.coursera.org/learn/linear-algebra-machine-learning,math-and-logic/math-and-logic
Introduction to Mathematical Thinking,Stanford University,course,https://www.coursera.org/learn/mathematical-thinking,math-and-logic/math-and-logic
Data Science Math Skills,Duke University,course,https://www.coursera.org/learn/datasciencemathskills,math-and-logic/math-and-logic
Introduction to Calculus,The University of Sydney,course,https://www.coursera.org/learn/introduction-to-calculus,math-and-logic/math-and-logic
Calculus: Single Variable Part 1 - Functions,University of Pennsylvania,course,https://www.coursera.org/learn/single-variable-calculus,math-and-logic/math-and-logic
Cryptography I,Stanford University,course,https://www.coursera.org/learn/crypto,math-and-logic/math-and-logic
Estadística y probabilidad,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/estadistica-probabilidad,math-and-logic/math-and-logic
Introduction to Logic,Stanford University,course,https://www.coursera.org/learn/logic-introduction,math-and-logic/math-and-logic
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,course,https://www.coursera.org/learn/algorithms-divide-conquer,math-and-logic/math-and-logic
How Things Work: An Introduction to Physics,University of Virginia,course,https://www.coursera.org/learn/how-things-work,math-and-logic/math-and-logic
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,specialization,https://www.coursera.org/specializations/discrete-mathematics,math-and-logic/math-and-logic
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",course,https://www.coursera.org/learn/bayesian-statistics,math-and-logic/math-and-logic
Probability and Statistics: To p or not to p?,University of London,course,https://www.coursera.org/learn/probability-statistics,math-and-logic/math-and-logic
