title,university,form,link,category
The Science of Well-Being,Yale University,course,https://www.coursera.org/learn/the-science-of-well-being,personal-development/personal-development
Learning How to Learn: Powerful mental tools to help you master tough subjects,McMaster University,course,https://www.coursera.org/learn/learning-how-to-learn,personal-development/personal-development
Successful Negotiation: Essential Strategies and Skills,University of Michigan,course,https://www.coursera.org/learn/negotiation-skills,personal-development/personal-development
Social Psychology,Wesleyan University,course,https://www.coursera.org/learn/social-psychology,personal-development/personal-development
Chinese for Beginners,Peking University,course,https://www.coursera.org/learn/learn-chinese,personal-development/personal-development
First Step Korean,Yonsei University,course,https://www.coursera.org/learn/learn-korean,personal-development/personal-development
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-contagious-viral-marketing,personal-development/personal-development
Career Success,"University of California, Irvine",specialization,https://www.coursera.org/specializations/career-success,personal-development/personal-development
Academic English: Writing,"University of California, Irvine",specialization,https://www.coursera.org/specializations/academic-english,personal-development/personal-development
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,course,https://www.coursera.org/learn/mindshift,personal-development/personal-development
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),McMaster University,course,https://www.coursera.org/learn/aprendiendo-a-aprender,personal-development/personal-development
Achieving Personal and Professional Success,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-success,personal-development/personal-development
Grammar and Punctuation,"University of California, Irvine",course,https://www.coursera.org/learn/grammar-punctuation,personal-development/personal-development
Science of Exercise,University of Colorado Boulder,course,https://www.coursera.org/learn/science-exercise,personal-development/personal-development
A Life of Happiness and Fulfillment,Indian School of Business,course,https://www.coursera.org/learn/happiness,personal-development/personal-development
Writing in the Sciences,Stanford University,course,https://www.coursera.org/learn/sciwrite,personal-development/personal-development
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/competencias-digitales-ofimatica,personal-development/personal-development
Introduction to Mathematical Thinking,Stanford University,course,https://www.coursera.org/learn/mathematical-thinking,personal-development/personal-development
Arizona State University TESOL,Arizona State University,not specified,https://www.coursera.org/specializations/arizona-state-university-tesol,personal-development/personal-development
Think Again I: How to Understand Arguments,Duke University,course,https://www.coursera.org/learn/understanding-arguments,personal-development/personal-development
Aprender,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/aprendo,personal-development/personal-development
