title,university,form,link,category
¡¿Cómo?! ¿Química en mi casa?,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/quimica-en-mi-casa,physical-science-and-engineering/chemistry
Chemistry,University of Kentucky,course,https://www.coursera.org/learn/chemistry-1,physical-science-and-engineering/chemistry
Introduction to Chemistry: Reactions and Ratios,Duke University,course,https://www.coursera.org/learn/intro-chemistry,physical-science-and-engineering/chemistry
The Science of Gastronomy,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/gastronomy,physical-science-and-engineering/chemistry
Introduction to Molecular Spectroscopy,University of Manchester,course,https://www.coursera.org/learn/spectroscopy,physical-science-and-engineering/chemistry
Nanotechnology: A Maker’s Course,Duke University,course,https://www.coursera.org/learn/nanotechnology,physical-science-and-engineering/chemistry
Introduction to Physical Chemistry,University of Manchester,course,https://www.coursera.org/learn/physical-chemistry,physical-science-and-engineering/chemistry
"Nanotechnology and Nanosensors, Part1",Technion - Israel Institute of Technology,course,https://www.coursera.org/learn/nanotechnology1,physical-science-and-engineering/chemistry
Chemicals and Health,Johns Hopkins University,course,https://www.coursera.org/learn/chemicals-health,physical-science-and-engineering/chemistry
Una aproximación a la Química del Carbono,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/qimica-carbono,physical-science-and-engineering/chemistry
Advanced Chemistry,University of Kentucky,course,https://www.coursera.org/learn/advanced-chemistry,physical-science-and-engineering/chemistry
Introduction to Chemistry: Structures and Solutions,Duke University,course,https://www.coursera.org/learn/basic-chemistry,physical-science-and-engineering/chemistry
"Creativity, Innovation, and Change",The Pennsylvania State University,course,https://www.coursera.org/learn/creativity-innovation,physical-science-and-engineering/chemistry
General Chemistry: Concept Development and Application,Rice University,course,https://www.coursera.org/learn/general-chemistry,physical-science-and-engineering/chemistry
Mastering bitumen for better roads and innovative applications,École des Ponts ParisTech,course,https://www.coursera.org/learn/mastering-bitumen,physical-science-and-engineering/chemistry
Органическая химия,Novosibirsk State University,course,https://www.coursera.org/learn/organicheskaya-khimiya,physical-science-and-engineering/chemistry
Exploring Quantum Physics,"University of Maryland, College Park",course,https://www.coursera.org/learn/quantum-physics,physical-science-and-engineering/chemistry
DNA Decoded,McMaster University,course,https://www.coursera.org/learn/dna-decoded,physical-science-and-engineering/chemistry
Неорганическая химия,Novosibirsk State University,course,https://www.coursera.org/learn/neorganicheskayakhimiya,physical-science-and-engineering/chemistry
Statistical Thermodynamics,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/statistical-thermodynamics-engineering,physical-science-and-engineering/chemistry
Materials in Oral Health,The University of Hong Kong,course,https://www.coursera.org/learn/materials-oral-health,physical-science-and-engineering/chemistry
Физическая химия,Novosibirsk State University,course,https://www.coursera.org/learn/fizicheskaya-khimiya,physical-science-and-engineering/chemistry
Неорганическая химия: Введение в химию элементов (Inorganic chemistry: Introduction to chemistry of the elements),Saint Petersburg State University,course,https://www.coursera.org/learn/neorganicheskaya-khimiya,physical-science-and-engineering/chemistry
Statistical Molecular Thermodynamics,University of Minnesota,course,https://www.coursera.org/learn/statistical-thermodynamics,physical-science-and-engineering/chemistry
Quantum Mechanics,University of Colorado Boulder,course,https://www.coursera.org/learn/quantum-mechanics,physical-science-and-engineering/chemistry
Organic Solar Cells - Theory and Practice,Technical University of Denmark (DTU),course,https://www.coursera.org/learn/solar-cell,physical-science-and-engineering/chemistry
Materials Data Sciences and Informatics,Georgia Institute of Technology,course,https://www.coursera.org/learn/material-informatics,physical-science-and-engineering/chemistry
Fundamentals of Macroscopic and Microscopic Thermodynamics,University of Colorado Boulder,course,https://www.coursera.org/learn/macroscopic-microscopic-thermodynamics,physical-science-and-engineering/chemistry
Introduction to High-Throughput Materials Development,Georgia Institute of Technology,course,https://www.coursera.org/learn/high-throughput,physical-science-and-engineering/chemistry
Teaching in University Science Laboratories (Developing Best Practice),University of Amsterdam,course,https://www.coursera.org/learn/developing-university-lab-education,physical-science-and-engineering/chemistry
