title,university,form,link,category
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",specialization,https://www.coursera.org/specializations/iot,physical-science-and-engineering/electrical-engineering
Introduction to Electronics,Georgia Institute of Technology,course,https://www.coursera.org/learn/electronics,physical-science-and-engineering/electrical-engineering
Digital Signal Processing,École Polytechnique Fédérale de Lausanne,course,https://www.coursera.org/learn/dsp,physical-science-and-engineering/electrical-engineering
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,course,https://www.coursera.org/learn/linear-circuits-dcanalysis,physical-science-and-engineering/electrical-engineering
The Arduino Platform and C Programming,"University of California, Irvine",course,https://www.coursera.org/learn/arduino-platform,physical-science-and-engineering/electrical-engineering
Computer Architecture,Princeton University,course,https://www.coursera.org/learn/comparch,physical-science-and-engineering/electrical-engineering
Self-Driving Cars,University of Toronto,specialization,https://www.coursera.org/specializations/self-driving-cars,physical-science-and-engineering/electrical-engineering
"Energy Production, Distribution & Safety",The State University of New York,specialization,https://www.coursera.org/specializations/energy-industry,physical-science-and-engineering/electrical-engineering
Wind Energy,Technical University of Denmark (DTU),course,https://www.coursera.org/learn/wind-energy,physical-science-and-engineering/electrical-engineering
Robotics,University of Pennsylvania,specialization,https://www.coursera.org/specializations/robotics,physical-science-and-engineering/electrical-engineering
Electrones en Acción: Electrónica y Arduinos para tus propios Inventos,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/electrones-en-accion,physical-science-and-engineering/electrical-engineering
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/explorando-energia-sustentable,physical-science-and-engineering/electrical-engineering
Electric Power Systems,University at Buffalo,course,https://www.coursera.org/learn/electric-power-systems,physical-science-and-engineering/electrical-engineering
Power Electronics,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/power-electronics,physical-science-and-engineering/electrical-engineering
Fundamentals of Digital Image and Video Processing,Northwestern University,course,https://www.coursera.org/learn/digital,physical-science-and-engineering/electrical-engineering
Digital Manufacturing & Design Technology,The State University of New York,specialization,https://www.coursera.org/specializations/digital-manufacturing-design-technology,physical-science-and-engineering/electrical-engineering
Arduino y algunas aplicaciones,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/arduino-aplicaciones,physical-science-and-engineering/electrical-engineering
Solar Energy Basics,The State University of New York,course,https://www.coursera.org/learn/solar-energy-basics,physical-science-and-engineering/electrical-engineering
Building Arduino robots and devices,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/arduino,physical-science-and-engineering/electrical-engineering
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,course,https://www.coursera.org/learn/introduction-embedded-systems,physical-science-and-engineering/electrical-engineering
Embedding Sensors and Motors,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/embedding-sensors-motors,physical-science-and-engineering/electrical-engineering
Introdução ao Controle de Sistemas,Instituto Tecnológico de Aeronáutica,course,https://www.coursera.org/learn/controle,physical-science-and-engineering/electrical-engineering
Digital Systems: From Logic Gates to Processors,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/digital-systems,physical-science-and-engineering/electrical-engineering
Introduction to TCP/IP,Yonsei University,course,https://www.coursera.org/learn/tcpip,physical-science-and-engineering/electrical-engineering
Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/matrix-algebra-engineers,physical-science-and-engineering/electrical-engineering
Introduction to Power Electronics,University of Colorado Boulder,course,https://www.coursera.org/learn/power-electronics,physical-science-and-engineering/electrical-engineering
Introduction to FPGA Design for Embedded Systems,University of Colorado Boulder,course,https://www.coursera.org/learn/intro-fpga-design-embedded-systems,physical-science-and-engineering/electrical-engineering
Introduction to solar cells,Technical University of Denmark (DTU),course,https://www.coursera.org/learn/solar-cells,physical-science-and-engineering/electrical-engineering
Algorithms for Battery Management Systems,University of Colorado System,specialization,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,physical-science-and-engineering/electrical-engineering
Differential Equations for Engineers,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/differential-equations-engineers,physical-science-and-engineering/electrical-engineering
Nanotechnology: A Maker’s Course,Duke University,course,https://www.coursera.org/learn/nanotechnology,physical-science-and-engineering/electrical-engineering
Interfacing with the Arduino,"University of California, Irvine",course,https://www.coursera.org/learn/interface-with-arduino,physical-science-and-engineering/electrical-engineering
Exploratory Data Analysis with MATLAB,MathWorks,course,https://www.coursera.org/learn/exploratory-data-analysis-matlab,physical-science-and-engineering/electrical-engineering
Introduction to battery-management systems,University of Colorado System,course,https://www.coursera.org/learn/battery-management-systems,physical-science-and-engineering/electrical-engineering
Hardware Description Languages for FPGA Design,University of Colorado Boulder,course,https://www.coursera.org/learn/fpga-hardware-description-languages,physical-science-and-engineering/electrical-engineering
