title,university,form,link,category
Calculus: Single Variable Part 1 - Functions,University of Pennsylvania,course,https://www.coursera.org/learn/single-variable-calculus,physical-science-and-engineering/mechanical-engineering
Introduction to Engineering Mechanics,Georgia Institute of Technology,course,https://www.coursera.org/learn/engineering-mechanics-statics,physical-science-and-engineering/mechanical-engineering
Robótica,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/robotica-inicial,physical-science-and-engineering/mechanical-engineering
Cómo autoconstruir tu vivienda,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/como-autoconstruir-tu-vivienda,physical-science-and-engineering/mechanical-engineering
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,course,https://www.coursera.org/learn/autodesk-autocad-design-drafting,physical-science-and-engineering/mechanical-engineering
Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,Georgia Institute of Technology,course,https://www.coursera.org/learn/mechanics-1,physical-science-and-engineering/mechanical-engineering
Design: Creation of Artifacts in Society,University of Pennsylvania,course,https://www.coursera.org/learn/design,physical-science-and-engineering/mechanical-engineering
Wind Energy,Technical University of Denmark (DTU),course,https://www.coursera.org/learn/wind-energy,physical-science-and-engineering/mechanical-engineering
CAD and Digital Manufacturing,Autodesk,specialization,https://www.coursera.org/specializations/cad-design-digital-manufacturing,physical-science-and-engineering/mechanical-engineering
Power Electronics,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/power-electronics,physical-science-and-engineering/mechanical-engineering
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,course,https://www.coursera.org/learn/thermodynamics-intro,physical-science-and-engineering/mechanical-engineering
Machine Design Part I,Georgia Institute of Technology,course,https://www.coursera.org/learn/machine-design1,physical-science-and-engineering/mechanical-engineering
Digital Manufacturing & Design Technology,The State University of New York,specialization,https://www.coursera.org/specializations/digital-manufacturing-design-technology,physical-science-and-engineering/mechanical-engineering
Robotics: Aerial Robotics,University of Pennsylvania,course,https://www.coursera.org/learn/robotics-flight,physical-science-and-engineering/mechanical-engineering
Embedding Sensors and Motors,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/embedding-sensors-motors,physical-science-and-engineering/mechanical-engineering
Introdução ao Controle de Sistemas,Instituto Tecnológico de Aeronáutica,course,https://www.coursera.org/learn/controle,physical-science-and-engineering/mechanical-engineering
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,course,https://www.coursera.org/learn/fe-exam,physical-science-and-engineering/mechanical-engineering
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,course,https://www.coursera.org/learn/autodesk-revit-architectural-design,physical-science-and-engineering/mechanical-engineering
"Modern Robotics: Mechanics, Planning, and Control",Northwestern University,specialization,https://www.coursera.org/specializations/modernrobotics,physical-science-and-engineering/mechanical-engineering
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",course,https://www.coursera.org/learn/materials-science,physical-science-and-engineering/mechanical-engineering
BIM Fundamentals for Engineers,National Taiwan University,course,https://www.coursera.org/learn/bim-fundamentals,physical-science-and-engineering/mechanical-engineering
Introduction to Power Electronics,University of Colorado Boulder,course,https://www.coursera.org/learn/power-electronics,physical-science-and-engineering/mechanical-engineering
"Modern Robotics, Course 1: Foundations of Robot Motion",Northwestern University,course,https://www.coursera.org/learn/modernrobotics-course1,physical-science-and-engineering/mechanical-engineering
