title,university,form,link,category
Astronomy: Exploring Time and Space,University of Arizona,course,https://www.coursera.org/learn/astro,physical-science-and-engineering/physics-and-astronomy
How Things Work: An Introduction to Physics,University of Virginia,course,https://www.coursera.org/learn/how-things-work,physical-science-and-engineering/physics-and-astronomy
Understanding Einstein: The Special Theory of Relativity,Stanford University,course,https://www.coursera.org/learn/einstein-relativity,physical-science-and-engineering/physics-and-astronomy
Origens da Vida no Contexto Cósmico,Universidade de São Paulo,course,https://www.coursera.org/learn/origensdavida,physical-science-and-engineering/physics-and-astronomy
"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",UNSW Sydney (The University of New South Wales),course,https://www.coursera.org/learn/mechanics-particles-planets,physical-science-and-engineering/physics-and-astronomy
Particle Physics: an Introduction,University of Geneva,course,https://www.coursera.org/learn/particle-physics,physical-science-and-engineering/physics-and-astronomy
The Science of the Solar System,Caltech,course,https://www.coursera.org/learn/solar-system,physical-science-and-engineering/physics-and-astronomy
From the Big Bang to Dark Energy,The University of Tokyo,course,https://www.coursera.org/learn/big-bang,physical-science-and-engineering/physics-and-astronomy
Tesoros de la Física y sus Descubridores I,Universidad de los Andes,course,https://www.coursera.org/learn/tesoros-de-la-fisica,physical-science-and-engineering/physics-and-astronomy
Introduction to Ordinary Differential Equations,Korea Advanced Institute of Science and Technology(KAIST),course,https://www.coursera.org/learn/ordinary-differential-equations,physical-science-and-engineering/physics-and-astronomy
Big History: Connecting Knowledge,Macquarie University,course,https://www.coursera.org/learn/big-history,physical-science-and-engineering/physics-and-astronomy
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,course,https://www.coursera.org/learn/astrobiology,physical-science-and-engineering/physics-and-astronomy
"Física: Vectores, Trabajo y Energía",Tecnológico de Monterrey,course,https://www.coursera.org/learn/fisica-vectores-trabajo-energia,physical-science-and-engineering/physics-and-astronomy
Archaeoastronomy,Politecnico di Milano,course,https://www.coursera.org/learn/archaeoastronomy,physical-science-and-engineering/physics-and-astronomy
Imagining Other Earths,Princeton University,course,https://www.coursera.org/learn/life-on-other-planets,physical-science-and-engineering/physics-and-astronomy
Semiconductor Devices,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/semiconductor-devices,physical-science-and-engineering/physics-and-astronomy
Data-driven Astronomy,The University of Sydney,course,https://www.coursera.org/learn/data-driven-astronomy,physical-science-and-engineering/physics-and-astronomy
The Evolving Universe,Caltech,course,https://www.coursera.org/learn/evolvinguniverse,physical-science-and-engineering/physics-and-astronomy
