title,university,form,link,category
Understanding Research Methods,University of London,course,https://www.coursera.org/learn/research-methods,physical-science-and-engineering/research-methods
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,course,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,physical-science-and-engineering/research-methods
Quantitative Methods,University of Amsterdam,course,https://www.coursera.org/learn/quantitative-methods,physical-science-and-engineering/research-methods
Cybersecurity,"University of Maryland, College Park",specialization,https://www.coursera.org/specializations/cyber-security,physical-science-and-engineering/research-methods
Plant Bioinformatic Methods,University of Toronto,specialization,https://www.coursera.org/specializations/plant-bioinformatic-methods,physical-science-and-engineering/research-methods
Philosophy of Science,University of Pennsylvania,course,https://www.coursera.org/learn/philosophy-of-science,physical-science-and-engineering/research-methods
Usable Security,"University of Maryland, College Park",course,https://www.coursera.org/learn/usable-security,physical-science-and-engineering/research-methods
Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,course,https://www.coursera.org/learn/global-warming,physical-science-and-engineering/research-methods
Frozen in the Ice: Exploring the Arctic,University of Colorado Boulder,course,https://www.coursera.org/learn/frozen-in-the-ice,physical-science-and-engineering/research-methods
Técnicas Microscópicas de Caracterización,Universitat de Barcelona,course,https://www.coursera.org/learn/tecnicas-microscopicas-caracterizacion,physical-science-and-engineering/research-methods
Software Security,"University of Maryland, College Park",course,https://www.coursera.org/learn/software-security,physical-science-and-engineering/research-methods
Simulation and modeling of natural processes,University of Geneva,course,https://www.coursera.org/learn/modeling-simulation-natural-processes,physical-science-and-engineering/research-methods
Transferencia tecnológica: De la investigación al mercado.,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/transferencia-tecnologica-investigacion,physical-science-and-engineering/research-methods
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",Ludwig-Maximilians-Universität München (LMU),course,https://www.coursera.org/learn/computers-waves-simulations,physical-science-and-engineering/research-methods
Experimentation for Improvement,McMaster University,course,https://www.coursera.org/learn/experimentation,physical-science-and-engineering/research-methods
"Excel/VBA for Creative Problem Solving, Part 2",University of Colorado Boulder,course,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-2,physical-science-and-engineering/research-methods
Nuclear Reactor Physics Basics,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/nuclear-reactor-physics-basics,physical-science-and-engineering/research-methods
Cryptography,"University of Maryland, College Park",course,https://www.coursera.org/learn/cryptography,physical-science-and-engineering/research-methods
ГМО: технологии создания и применение,Novosibirsk State University,course,https://www.coursera.org/learn/gmo,physical-science-and-engineering/research-methods
Методологические проблемы психологии,Saint Petersburg State University,course,https://www.coursera.org/learn/metodologicheskiye-problemy-psikhologii,physical-science-and-engineering/research-methods
Risk in Modern Society,Universiteit Leiden,course,https://www.coursera.org/learn/risk-in-modern-society,physical-science-and-engineering/research-methods
Драгоценные камни: диагностика и экспертиза,Novosibirsk State University,course,https://www.coursera.org/learn/kamni,physical-science-and-engineering/research-methods
Hardware Security,"University of Maryland, College Park",course,https://www.coursera.org/learn/hardware-security,physical-science-and-engineering/research-methods
Физика в опытах. Часть 4. Волны и оптика,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/fizika-volny-optika,physical-science-and-engineering/research-methods
"Ethics, Technology and Engineering",Eindhoven University of Technology,course,https://www.coursera.org/learn/ethics-technology-engineering,physical-science-and-engineering/research-methods
История изобретений и открытий — Вторая история человечества,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/istoriya-izobretenii-i-otkritii,physical-science-and-engineering/research-methods
Introduction to Particle Accelerators (NPAP MOOC),Lund University,course,https://www.coursera.org/learn/introduction-particle-accelerators,physical-science-and-engineering/research-methods
Methods of Surface Analysis,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/methods-surface-analysis,physical-science-and-engineering/research-methods
Применение производной и интеграла в курсе общей физики,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/proizvodnaya-i-integral-v-fizike,physical-science-and-engineering/research-methods
Plant Bioinformatics,University of Toronto,course,https://www.coursera.org/learn/plant-bioinformatics,physical-science-and-engineering/research-methods
Искусство системного инжиниринга и менеджмента 2.0,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/systems-engineering-1,physical-science-and-engineering/research-methods
Физика как глобальный проект,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/physics-global-project,physical-science-and-engineering/research-methods
Коммерциализация результатов НИОКР,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/kommercializaciya-niokr,physical-science-and-engineering/research-methods
On Being a Scientist,Universiteit Leiden,course,https://www.coursera.org/learn/scientist,physical-science-and-engineering/research-methods
3D Data Visualization for Science Communication,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/data-visualization-science-communication,physical-science-and-engineering/research-methods
Методы и инструменты системного проектирования,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/systems-engineering-3,physical-science-and-engineering/research-methods
Физика в опытах. Часть 3. Колебания и молекулярная физика,National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/molekulyarnaya-fizika,physical-science-and-engineering/research-methods
Введение в системное проектирование,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/systems-engineering-2,physical-science-and-engineering/research-methods
Методологические проблемы психологии. Часть 2,Saint Petersburg State University,course,https://www.coursera.org/learn/method-psychology-pt2,physical-science-and-engineering/research-methods
Cybersecurity Capstone Project,"University of Maryland, College Park",course,https://www.coursera.org/learn/cyber-security-capstone,physical-science-and-engineering/research-methods
