title,university,form,link,category
Financial Markets,Yale University,course,https://www.coursera.org/learn/financial-markets-global,social-sciences/economics
Marketing in a Digital World,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/marketing-digital,social-sciences/economics
Game Theory,Stanford University,course,https://www.coursera.org/learn/game-theory-1,social-sciences/economics
The Global Financial Crisis,Yale University,course,https://www.coursera.org/learn/global-financial-crisis,social-sciences/economics
Экономика для неэкономистов (Economics for non-economists),National Research University Higher School of Economics,course,https://www.coursera.org/learn/ekonomika-dlya-neekonomistov,social-sciences/economics
Economics of Money and Banking,Columbia University,course,https://www.coursera.org/learn/money-banking,social-sciences/economics
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,course,https://www.coursera.org/learn/introancientegypt,social-sciences/economics
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",course,https://www.coursera.org/learn/principles-of-macroeconomics,social-sciences/economics
Microeconomics Principles,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/microeconomics,social-sciences/economics
Trading Strategies in Emerging Markets,Indian School of Business,specialization,https://www.coursera.org/specializations/trading-strategy,social-sciences/economics
Финансовые рынки и институты (Financial Markets and Institutions),National Research University Higher School of Economics,course,https://www.coursera.org/learn/finansovye-rynki,social-sciences/economics
Model Thinking,University of Michigan,course,https://www.coursera.org/learn/model-thinking,social-sciences/economics
Trading Basics,Indian School of Business,course,https://www.coursera.org/learn/trading-basics,social-sciences/economics
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,course,https://www.coursera.org/learn/neuroeconomics,social-sciences/economics
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,course,https://www.coursera.org/learn/geopoliticaygobernanzaglobal,social-sciences/economics
Introduction to Economic Theories,Erasmus University Rotterdam,course,https://www.coursera.org/learn/intro-economic-theories,social-sciences/economics
Wonders of Ancient Egypt,University of Pennsylvania,course,https://www.coursera.org/learn/wonders-ancient-egypt,social-sciences/economics
Introduction to Financial Markets,Indian School of Business,course,https://www.coursera.org/learn/financial-markets-intro,social-sciences/economics
Макроэкономика (Macroeconomics),National Research University Higher School of Economics,course,https://www.coursera.org/learn/makrojekonomika,social-sciences/economics
Organizational Analysis,Stanford University,course,https://www.coursera.org/learn/organizational-analysis,social-sciences/economics
Эконометрика (Econometrics),National Research University Higher School of Economics,course,https://www.coursera.org/learn/ekonometrika,social-sciences/economics
Основы Digital Маркетинга,National Research University Higher School of Economics,specialization,https://www.coursera.org/specializations/fundamentals-digital-marketing,social-sciences/economics
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",course,https://www.coursera.org/learn/principles-of-microeconomics,social-sciences/economics
Основы корпоративных финансов (Fundamentals of Corporate Finance),National Research University Higher School of Economics,course,https://www.coursera.org/learn/osnovy-korporativnykh-finansov,social-sciences/economics
Sustentabilidad y Economías Sociales,Universidad de Chile,course,https://www.coursera.org/learn/sustentabilidad-economias-sociales,social-sciences/economics
Microeconomics: The Power of Markets,University of Pennsylvania,course,https://www.coursera.org/learn/microeconomics-part1,social-sciences/economics
Теория игр (Game Theory),National Research University Higher School of Economics,course,https://www.coursera.org/learn/game-theory,social-sciences/economics
¿Cómo llegamos aquí? Una historia del poder en México,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/historia-de-mexico,social-sciences/economics
Politics and Economics of International Energy,Sciences Po,course,https://www.coursera.org/learn/global-energy,social-sciences/economics
Saúde Baseada em Evidências,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/sbe,social-sciences/economics
Introdução à Análise Macroeconômica,Universidade de São Paulo,course,https://www.coursera.org/learn/introducao-analise-macroeconomica,social-sciences/economics
Welcome to Game Theory,The University of Tokyo,course,https://www.coursera.org/learn/game-theory-introduction,social-sciences/economics
Social and Economic Networks: Models and Analysis,Stanford University,course,https://www.coursera.org/learn/social-economic-networks,social-sciences/economics
Systems Thinking In Public Health,Johns Hopkins University,course,https://www.coursera.org/learn/systems-thinking,social-sciences/economics
International Business I,University of New Mexico,course,https://www.coursera.org/learn/international-business,social-sciences/economics
