title,university,form,link,category
What Is Contemporary Art?,The Museum of Modern Art,course,https://www.coursera.org/learn/contemporary-art,social-sciences/education
Academic English: Writing,"University of California, Irvine",specialization,https://www.coursera.org/specializations/academic-english,social-sciences/education
Cómo hacer una tesis,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/como-hacer-una-tesis,social-sciences/education
Aprender,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/aprendo,social-sciences/education
Foundations of Positive Psychology,University of Pennsylvania,specialization,https://www.coursera.org/specializations/positivepsychology,social-sciences/education
Fundamentos de la escritura,Tecnológico de Monterrey,course,https://www.coursera.org/learn/escritura-esp,social-sciences/education
Learning to Teach Online,UNSW Sydney (The University of New South Wales),course,https://www.coursera.org/learn/teach-online,social-sciences/education
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,specialization,https://www.coursera.org/specializations/tesol,social-sciences/education
The Science of Success: What Researchers Know that You Should Know,University of Michigan,course,https://www.coursera.org/learn/success,social-sciences/education
Teach English Now! Foundational Principles,Arizona State University,course,https://www.coursera.org/learn/english-principles,social-sciences/education
How to Write and Publish a Scientific Paper (Project-Centered Course),École Polytechnique,course,https://www.coursera.org/learn/how-to-write-a-scientific-paper,social-sciences/education
Introducción a la Producción Audiovisual,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/intro-produccion-audiovisual,social-sciences/education
Magic in the Middle Ages,Universitat de Barcelona,course,https://www.coursera.org/learn/magic-middle-ages,social-sciences/education
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,course,https://www.coursera.org/learn/aulaconstructivista,social-sciences/education
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,specialization,https://www.coursera.org/specializations/tesol-certificate-2,social-sciences/education
Autism Spectrum Disorder,"University of California, Davis",course,https://www.coursera.org/learn/autism-spectrum-disorder,social-sciences/education
Potenciando mi aprendizaje en el primer año de Universidad,Universidad de Chile,course,https://www.coursera.org/learn/potenciando-aprendizaje,social-sciences/education
Supporting children with difficulties in reading and writing,University of London,course,https://www.coursera.org/learn/dyslexia-difficulties,social-sciences/education
"Sit Less, Get Active",The University of Edinburgh,course,https://www.coursera.org/learn/get-active,social-sciences/education
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),course,https://www.coursera.org/learn/transmedia-storytelling,social-sciences/education
Aprendiendo a Aprender,IE Business School,course,https://www.coursera.org/learn/aprendiendo-a-aprender-ie,social-sciences/education
Academic Skills for University Success,The University of Sydney,specialization,https://www.coursera.org/specializations/academic-skills,social-sciences/education
Fundamentos de la escritura académica,Tecnológico de Monterrey,course,https://www.coursera.org/learn/escritura-academica-esp,social-sciences/education
Teach English Now! Theories of Second Language Acquisition,Arizona State University,course,https://www.coursera.org/learn/language-theories,social-sciences/education
Teach English Now! Lesson Design and Assessment,Arizona State University,course,https://www.coursera.org/learn/lesson-design,social-sciences/education
Diseño de proyectos para promover el bienestar,Universidad de los Andes,course,https://www.coursera.org/learn/diseno-proyectos-promocion-bienestar,social-sciences/education
Développement psychologique de l'enfant,University of Geneva,course,https://www.coursera.org/learn/enfant-developpement,social-sciences/education
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,course,https://www.coursera.org/learn/teaching-character,social-sciences/education
Usos Didácticos del Cine: Introducción al Análisis,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/usos-didacticos-del-cine,social-sciences/education
ADHD: Everyday Strategies for Elementary Students,The State University of New York,course,https://www.coursera.org/learn/adhd-treatment,social-sciences/education
Sexualidad y educación,Universidad de los Andes,course,https://www.coursera.org/learn/sexualidad-y-educacion,social-sciences/education
English for Research Publication Purposes,Moscow Institute of Physics and Technology,specialization,https://www.coursera.org/specializations/english-for-research-publication-purposes,social-sciences/education
Representaciones culturales de las sexualidades,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/representaciones-culturales,social-sciences/education
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/instructional-design-foundations-applications,social-sciences/education
Understanding child development: from synapse to society,Utrecht University,course,https://www.coursera.org/learn/child-development,social-sciences/education
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,specialization,https://www.coursera.org/specializations/creatividad-diseno-innovacion,social-sciences/education
Exploring Emerging Technologies for Lifelong Learning and Success,The State University of New York,course,https://www.coursera.org/learn/emerging-technologies-lifelong-learning,social-sciences/education
Teaching EFL/ESL Reading: A Task Based Approach,University of London,course,https://www.coursera.org/learn/esl-reading,social-sciences/education
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/elearning,social-sciences/education
Art & Inquiry: Museum Teaching Strategies For Your Classroom,The Museum of Modern Art,course,https://www.coursera.org/learn/artinquiry,social-sciences/education
Get Interactive: Practical Teaching with Technology,University of London,course,https://www.coursera.org/learn/getinmooc,social-sciences/education
What future for education?,University of London,course,https://www.coursera.org/learn/future-education,social-sciences/education
