title,university,form,link,category
Fighting COVID-19 with Epidemiology: A Johns Hopkins Teach-Out,Johns Hopkins University,course,https://www.coursera.org/learn/covid19-epidemiology,social-sciences/governance-and-society
Methods and Statistics in Social Sciences,University of Amsterdam,specialization,https://www.coursera.org/specializations/social-science,social-sciences/governance-and-society
Moral Foundations of Politics,Yale University,course,https://www.coursera.org/learn/moral-politics,social-sciences/governance-and-society
English for Journalism,University of Pennsylvania,course,https://www.coursera.org/learn/journalism,social-sciences/governance-and-society
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,course,https://www.coursera.org/learn/modern-world,social-sciences/governance-and-society
Global Diplomacy – Diplomacy in the Modern World,University of London,course,https://www.coursera.org/learn/global-diplomacy,social-sciences/governance-and-society
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,course,https://www.coursera.org/learn/epidemic-pandemic-outbreak,social-sciences/governance-and-society
"Social Norms, Social Change I",University of Pennsylvania,course,https://www.coursera.org/learn/norms,social-sciences/governance-and-society
International Women's Health and Human Rights,Stanford University,course,https://www.coursera.org/learn/womens-health-human-rights,social-sciences/governance-and-society
Психология коммуникации,National Research University Higher School of Economics,course,https://www.coursera.org/learn/psikhologiya-kommunikacii,social-sciences/governance-and-society
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,course,https://www.coursera.org/learn/neuroeconomics,social-sciences/governance-and-society
Understanding International Relations Theory,National Research University Higher School of Economics,course,https://www.coursera.org/learn/international-relations-theory,social-sciences/governance-and-society
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/democracia,social-sciences/governance-and-society
Greening the Economy: Sustainable Cities,Lund University,course,https://www.coursera.org/learn/gte-sustainable-cities,social-sciences/governance-and-society
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,course,https://www.coursera.org/learn/terrorism,social-sciences/governance-and-society
Classical Sociological Theory,University of Amsterdam,course,https://www.coursera.org/learn/classical-sociological-theory,social-sciences/governance-and-society
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/anticorrupcion-introduccion,social-sciences/governance-and-society
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,course,https://www.coursera.org/learn/solid-waste-management,social-sciences/governance-and-society
Business Strategies for A Better World,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-global-business-strategy,social-sciences/governance-and-society
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,course,https://www.coursera.org/learn/competencias-lab,social-sciences/governance-and-society
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,course,https://www.coursera.org/learn/geopoliticaygobernanzaglobal,social-sciences/governance-and-society
Objetivos de desarrollo sostenible para América Latina y el Caribe,Universidad de los Andes,course,https://www.coursera.org/learn/objetivos-desarrollo-sostenible,social-sciences/governance-and-society
International Humanitarian Law in Theory and Practice,Universiteit Leiden,course,https://www.coursera.org/learn/international-humanitarian-law,social-sciences/governance-and-society
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,course,https://www.coursera.org/learn/global-sustainable-development,social-sciences/governance-and-society
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/periodismo-digital,social-sciences/governance-and-society
Global Diplomacy: the United Nations in the World,University of London,course,https://www.coursera.org/learn/global-diplomacy-un,social-sciences/governance-and-society
Paradoxes of War,Princeton University,course,https://www.coursera.org/learn/war,social-sciences/governance-and-society
"The Modern World, Part Two: Global History since 1910",University of Virginia,course,https://www.coursera.org/learn/modern-world-2,social-sciences/governance-and-society
Introduction to Communication Science,University of Amsterdam,course,https://www.coursera.org/learn/communication,social-sciences/governance-and-society
Introduction to Contemporary Geopolitics,National Research University Higher School of Economics,course,https://www.coursera.org/learn/contemprorary-geopolitics,social-sciences/governance-and-society
Arts and Culture Strategy,University of Pennsylvania,course,https://www.coursera.org/learn/arts-culture-strategy,social-sciences/governance-and-society
¿Cómo llegamos aquí? Una historia del poder en México,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/historia-de-mexico,social-sciences/governance-and-society
Data and Health Indicators in Public Health Practice,Johns Hopkins University,course,https://www.coursera.org/learn/data-public-health,social-sciences/governance-and-society
Innovación agroalimentaria,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/innovacion-agro,social-sciences/governance-and-society
Unraveling the Cycling City,University of Amsterdam,course,https://www.coursera.org/learn/unraveling-the-cycling-city,social-sciences/governance-and-society
Foundations of Global Health,Johns Hopkins University,specialization,https://www.coursera.org/specializations/global-health,social-sciences/governance-and-society
Seguridad agroalimentaria,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/seguridad-alimentaria,social-sciences/governance-and-society
América Latina en los cambios internacionales: amenazas y oportunidades.,Universidad de Chile,course,https://www.coursera.org/learn/america-latina,social-sciences/governance-and-society
Qualitative Research Methods,University of Amsterdam,course,https://www.coursera.org/learn/qualitative-methods,social-sciences/governance-and-society
Introduction aux Droits de l’Homme,University of Geneva,course,https://www.coursera.org/learn/droits-de-lhomme,social-sciences/governance-and-society
Acuerdos globales para el desarrollo sostenible,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/acuerdos-globales,social-sciences/governance-and-society
Public Policy Challenges of the 21st Century,University of Virginia,course,https://www.coursera.org/learn/public-policy,social-sciences/governance-and-society
Become a Journalist: Report the News!,Michigan State University,specialization,https://www.coursera.org/specializations/become-a-journalist,social-sciences/governance-and-society
International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,course,https://www.coursera.org/learn/international-law-in-action-2,social-sciences/governance-and-society
Los gobiernos locales como actores internacionales,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/gobiernos-locales,social-sciences/governance-and-society
"Globalization, Economic Growth and Stability",IE Business School,specialization,https://www.coursera.org/specializations/globalization-economic-growth-and-stability,social-sciences/governance-and-society
The Changing Global Order,Universiteit Leiden,course,https://www.coursera.org/learn/changing-global-order,social-sciences/governance-and-society
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,course,https://www.coursera.org/learn/smart-cities,social-sciences/governance-and-society
Global Trends for Business and Society,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-global-trends-business,social-sciences/governance-and-society
Sports and Society,Duke University,course,https://www.coursera.org/learn/sports-society,social-sciences/governance-and-society
Intelligence Tools for the Digital Age,IE Business School,course,https://www.coursera.org/learn/intelligence-tools-digital-age,social-sciences/governance-and-society
Introduction to Key Constitutional Concepts and Supreme Court Cases,University of Pennsylvania,course,https://www.coursera.org/learn/constitution,social-sciences/governance-and-society
Roman Art and Archaeology,University of Arizona,course,https://www.coursera.org/learn/roman-art-archaeology,social-sciences/governance-and-society
Возможно ли воспитать детей «правильно»?,National Research University Higher School of Economics,course,https://www.coursera.org/learn/vospitat-detei-pravilno,social-sciences/governance-and-society
Electric Vehicles and Mobility,École des Ponts ParisTech,course,https://www.coursera.org/learn/electric-vehicles-mobility,social-sciences/governance-and-society
Ecosystem Services: a Method for Sustainable Development,University of Geneva,course,https://www.coursera.org/learn/ecosystem-services,social-sciences/governance-and-society
"Drugs, drug use, drug policy and health",University of Geneva,course,https://www.coursera.org/learn/drugs,social-sciences/governance-and-society
International Cyber Conflicts,The State University of New York,course,https://www.coursera.org/learn/cyber-conflicts,social-sciences/governance-and-society
Global Energy and Climate Policy,University of London,course,https://www.coursera.org/learn/globalenergyandclimatepolicy,social-sciences/governance-and-society
Sustainable Tourism – promoting environmental public health,University of Copenhagen,course,https://www.coursera.org/learn/sustainable-tourism,social-sciences/governance-and-society
Discover Best Practice Farming for a Sustainable 2050,University of Western Australia,course,https://www.coursera.org/learn/best-practice-farming-sustainable-2050,social-sciences/governance-and-society
Introduction to Household Water Treatment and Safe Storage,École Polytechnique Fédérale de Lausanne,course,https://www.coursera.org/learn/water-treatment,social-sciences/governance-and-society
Geopolitics of Europe,Sciences Po,course,https://www.coursera.org/learn/geopolitics-europe,social-sciences/governance-and-society
Communicating During Global Emergencies,Emory University,course,https://www.coursera.org/learn/communicating-during-global-emergencies,social-sciences/governance-and-society
Политическая география,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),course,https://www.coursera.org/learn/politicheskaya-geografiya,social-sciences/governance-and-society
Understanding economic policymaking,IE Business School,course,https://www.coursera.org/learn/economic-policy,social-sciences/governance-and-society
The Social Context of Mental Health and Illness,University of Toronto,course,https://www.coursera.org/learn/mental-health,social-sciences/governance-and-society
The Cosmopolitan Medieval Arabic World,Universiteit Leiden,course,https://www.coursera.org/learn/medieval-arabia,social-sciences/governance-and-society
Cities are back in town : urban sociology for a globalizing urban world,Sciences Po,course,https://www.coursera.org/learn/urban-development,social-sciences/governance-and-society
Communication theory: bridging academia and practice,National Research University Higher School of Economics,course,https://www.coursera.org/learn/communicationtheory-academia-practice,social-sciences/governance-and-society
Chinese Politics Part 1 – China and Political Science,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/chinesepolitics1,social-sciences/governance-and-society
La verde y sus verdades,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/verde-verdades,social-sciences/governance-and-society
International migrations: a global issue,Sciences Po,course,https://www.coursera.org/learn/international-migrations,social-sciences/governance-and-society
"Urban Nature: Connecting Cities, Nature and Innovation",Lund University,course,https://www.coursera.org/learn/urban-nature,social-sciences/governance-and-society
