title,university,form,link,category
An Introduction to American Law,University of Pennsylvania,course,https://www.coursera.org/learn/american-law,social-sciences/law
A Law Student's Toolkit,Yale University,course,https://www.coursera.org/learn/law-student,social-sciences/law
Introduction to International Criminal Law,Case Western Reserve University,course,https://www.coursera.org/learn/international-criminal-law,social-sciences/law
Introduction to English Common Law,University of London,course,https://www.coursera.org/learn/intro-common-law,social-sciences/law
Regulatory Compliance,University of Pennsylvania,specialization,https://www.coursera.org/specializations/regulatory-compliance,social-sciences/law
American Contract Law I,Yale University,course,https://www.coursera.org/learn/contracts-1,social-sciences/law
Rethinking International Tax Law,Universiteit Leiden,course,https://www.coursera.org/learn/international-taxation,social-sciences/law
International Humanitarian Law in Theory and Practice,Universiteit Leiden,course,https://www.coursera.org/learn/international-humanitarian-law,social-sciences/law
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,course,https://www.coursera.org/learn/childrens-rights,social-sciences/law
Intellectual Property Law,University of Pennsylvania,specialization,https://www.coursera.org/specializations/introduction-intellectual-property,social-sciences/law
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,course,https://www.coursera.org/learn/arbitration-international-disputes,social-sciences/law
Introduction aux Droits de l’Homme,University of Geneva,course,https://www.coursera.org/learn/droits-de-lhomme,social-sciences/law
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,course,https://www.coursera.org/learn/internetgiants,social-sciences/law
Public Policy Challenges of the 21st Century,University of Virginia,course,https://www.coursera.org/learn/public-policy,social-sciences/law
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,course,https://www.coursera.org/learn/international-law-in-action,social-sciences/law
European Business Law: Understanding the Fundamentals,Lund University,course,https://www.coursera.org/learn/european-law-fundamentals,social-sciences/law
International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,course,https://www.coursera.org/learn/international-law-in-action-2,social-sciences/law
Ценные бумаги: правовое регулирование,National Research University Higher School of Economics,course,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie,social-sciences/law
Introduction to Key Constitutional Concepts and Supreme Court Cases,University of Pennsylvania,course,https://www.coursera.org/learn/constitution,social-sciences/law
What is Compliance?,University of Pennsylvania,course,https://www.coursera.org/learn/what-is-compliance,social-sciences/law
Introduction to Intellectual Property,University of Pennsylvania,course,https://www.coursera.org/learn/introduction-intellectual-property,social-sciences/law
Privacy Law and Data Protection,University of Pennsylvania,course,https://www.coursera.org/learn/privacy-law-data-protection,social-sciences/law
Российское предпринимательское право,National Research University Higher School of Economics,course,https://www.coursera.org/learn/rus-business-law,social-sciences/law
Rédaction de contrats,University of Geneva,course,https://www.coursera.org/learn/contrats,social-sciences/law
What is Corruption: Anti-Corruption and Compliance,University of Pennsylvania,course,https://www.coursera.org/learn/what-is-corruption-anti-corruption-compliance,social-sciences/law
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,course,https://www.coursera.org/learn/challenging-forensic-science,social-sciences/law
Hot Topics in Criminal Justice,Vanderbilt University,course,https://www.coursera.org/learn/hot-topics-criminal-justice,social-sciences/law
Налоговое право (Tax law),Saint Petersburg State University,course,https://www.coursera.org/learn/nalogovoye-pravo,social-sciences/law
Constitutional Struggles in the Muslim World,University of Copenhagen,course,https://www.coursera.org/learn/muslim-world,social-sciences/law
Becoming a Sports Agent,Case Western Reserve University,course,https://www.coursera.org/learn/sports-agent,social-sciences/law
Human Rights for Open Societies,Utrecht University,course,https://www.coursera.org/learn/humanrights,social-sciences/law
EU policy and implementation: making Europe work!,Universiteit Leiden,course,https://www.coursera.org/learn/eu-making-europe-work,social-sciences/law
After the Arab Spring – Democratic Aspirations and State Failure,University of Copenhagen,course,https://www.coursera.org/learn/after-the-arab-spring,social-sciences/law
European Business Law: Doing Business in Europe,Lund University,course,https://www.coursera.org/learn/eu-law-doing-business,social-sciences/law
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,course,https://www.coursera.org/learn/environmental-law,social-sciences/law
Contratación y mercado digital. Aspectos legales y otras cuestiones de interés,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/mercado-digital,social-sciences/law
Effective Compliance Programs,University of Pennsylvania,course,https://www.coursera.org/learn/effective-compliance-programs,social-sciences/law
America's Unwritten Constitution,Yale University,course,https://www.coursera.org/learn/unwritten-constitution,social-sciences/law
Healthcare Law,University of Pennsylvania,specialization,https://www.coursera.org/specializations/healthcare-law,social-sciences/law
Corporate governance. Mitos y realidades,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/corporate-governance-mitos-realidades,social-sciences/law
International Water Law,University of Geneva,course,https://www.coursera.org/learn/international-water-law,social-sciences/law
Правовое регулирование отношений в Интернете. Российская перспектива,Saint Petersburg State University,course,https://www.coursera.org/learn/regulirovaniye-interneta,social-sciences/law
"Making Successful Decisions through the Strategy, Law & Ethics Model",University of Michigan,course,https://www.coursera.org/learn/strategy-law-ethics,social-sciences/law
Trademark Law,University of Pennsylvania,course,https://www.coursera.org/learn/trademark-law,social-sciences/law
Copyright Law,University of Pennsylvania,course,https://www.coursera.org/learn/copyright-law,social-sciences/law
American Contract Law II,Yale University,course,https://www.coursera.org/learn/contracts-2,social-sciences/law
Property and Liability: An Introduction to Law and Economics,Wesleyan University,course,https://www.coursera.org/learn/property-law-and-economics,social-sciences/law
Patent Law,University of Pennsylvania,course,https://www.coursera.org/learn/patents,social-sciences/law
Economic Growth and Distributive Justice Part I -The Role of the State,Tel Aviv University,course,https://www.coursera.org/learn/economic-growth-part-1,social-sciences/law
European Business Law: Competing in Europe,Lund University,course,https://www.coursera.org/learn/eu-competition-law,social-sciences/law
Chemerinsky on Constitutional Law - The Structure of Government,"University of California, Irvine",course,https://www.coursera.org/learn/chemerinsky-on-constitutional-law-structure-of-government,social-sciences/law
Citizenship and the Rule of Law,University of London,course,https://www.coursera.org/learn/citizenship-rule-of-law,social-sciences/law
Chemerinsky on Constitutional Law – Individual Rights and Liberties,"University of California, Irvine",course,https://www.coursera.org/learn/chemerinsky-individual-rights,social-sciences/law
Юридическое оформление инвестиционных идей,National Research University Higher School of Economics,course,https://www.coursera.org/learn/law-invest-ideas,social-sciences/law
Privacy in Europe,EIT Digital,course,https://www.coursera.org/learn/privacy-eu,social-sciences/law
Historia de las reglas del fútbol en Inglaterra y en Argentina,Universidad Austral,course,https://www.coursera.org/learn/historia-reglas-futbol,social-sciences/law
U.S. Health Law Fundamentals,University of Pennsylvania,course,https://www.coursera.org/learn/health-law-fundamentals,social-sciences/law
